Country,Year,Group,food,Price_elasticity
AGO,SSP1_2030,cheese,cheese,-0.766659
AGO,SSP1_2030,cheese,eggs,-0.0192347
AGO,SSP1_2030,cheese,fats_and_oils,-0.0354901
AGO,SSP1_2030,cheese,fresh_dairy,-0.00253934
AGO,SSP1_2030,cheese,fruits_vegetables_pulses,-0.0516741
AGO,SSP1_2030,cheese,grains_flours,-0.148037
AGO,SSP1_2030,cheese,pork,-0.0219256
AGO,SSP1_2030,cheese,poultry,-0.0556175
AGO,SSP1_2030,cheese,pres_other_dairy,-0.0120554
AGO,SSP1_2030,cheese,ruminants,-0.0385923
AGO,SSP1_2030,cheese,seafood,-0.0515816
AGO,SSP1_2030,cheese,Other,-0.0485934
AGO,SSP1_2030,eggs,cheese,-0.00129268
AGO,SSP1_2030,eggs,eggs,-0.845418
AGO,SSP1_2030,eggs,fats_and_oils,0.0198101
AGO,SSP1_2030,eggs,fresh_dairy,-0.00312739
AGO,SSP1_2030,eggs,fruits_vegetables_pulses,-0.149715
AGO,SSP1_2030,eggs,grains_flours,-0.0403498
AGO,SSP1_2030,eggs,pork,-0.0270031
AGO,SSP1_2030,eggs,poultry,-0.0823279
AGO,SSP1_2030,eggs,pres_other_dairy,-0.0331925
AGO,SSP1_2030,eggs,ruminants,-0.0372645
AGO,SSP1_2030,eggs,seafood,-0.0165636
AGO,SSP1_2030,eggs,Other,-0.0525626
AGO,SSP1_2030,fats_and_oils,cheese,-0.000936668
AGO,SSP1_2030,fats_and_oils,eggs,-0.017165
AGO,SSP1_2030,fats_and_oils,fats_and_oils,-0.582876
AGO,SSP1_2030,fats_and_oils,fresh_dairy,-0.00226609
AGO,SSP1_2030,fats_and_oils,fruits_vegetables_pulses,-0.0903657
AGO,SSP1_2030,fats_and_oils,grains_flours,-0.0417089
AGO,SSP1_2030,fats_and_oils,pork,-0.0140353
AGO,SSP1_2030,fats_and_oils,poultry,-0.0657203
AGO,SSP1_2030,fats_and_oils,pres_other_dairy,-0.0305805
AGO,SSP1_2030,fats_and_oils,ruminants,-0.0629875
AGO,SSP1_2030,fats_and_oils,seafood,-0.110942
AGO,SSP1_2030,fats_and_oils,Other,-0.0631549
AGO,SSP1_2030,fresh_dairy,cheese,-0.000932084
AGO,SSP1_2030,fresh_dairy,eggs,-0.017081
