# Building sector technology efficiencies,,,,,,,,,,,,
supplysector,subsector,technology,minicam.energy.input,1971,2010,2015,2020,2025,2030,2035,2040,2100
resid heating,biomass,wood furnace,delivered biomass,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
resid heating,coal,coal furnace,delivered coal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
resid heating,gas,gas furnace,delivered gas,0.780,0.780,0.800,0.800,0.800,0.800,0.800,0.800,0.800
resid heating,gas,gas furnace hi-eff,delivered gas,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980
resid heating,electricity,electric furnace,elect_td_bld,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990
resid heating,electricity,electric heat pump,elect_td_bld,2.258,2.258,2.673,2.673,2.673,2.737,2.737,2.769,2.769
resid heating,refined liquids,fuel furnace,refined liquids enduse,0.800,0.800,0.830,0.830,0.830,0.830,0.830,0.830,0.830
resid heating,refined liquids,fuel furnace hi-eff,refined liquids enduse,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970
resid cooling,electricity,air conditioning,elect_td_bld,3.043,3.043,3.810,3.810,3.810,3.810,3.810,3.810,3.810
resid cooling,electricity,air conditioning hi-eff,elect_td_bld,7.030,7.030,7.030,7.030,7.030,7.030,7.030,7.030,7.030
resid hot water,gas,gas water heater,delivered gas,0.590,0.590,0.620,0.620,0.620,0.620,0.620,0.620,0.620
resid hot water,gas,gas water heater hi-eff,delivered gas,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820
resid hot water,electricity,electric resistance water heater,elect_td_bld,0.894,0.894,0.900,0.900,0.900,0.900,0.900,0.900,0.900
resid hot water,electricity,electric resistance water heater hi-eff,elect_td_bld,0.950,0.950,0.950,0.960,0.960,0.960,0.960,0.960,0.960
resid hot water,electricity,electric heat pump water heater,elect_td_bld,2.000,2.000,2.300,2.300,2.300,2.450,2.450,2.500,2.500
resid hot water,refined liquids,fuel water heater,refined liquids enduse,0.590,0.590,0.620,0.620,0.620,0.620,0.620,0.620,0.620
resid hot water,refined liquids,fuel water heater hi-eff,refined liquids enduse,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820
resid lighting,electricity,incandescent,elect_td_bld,4.028,4.028,5.500,5.500,5.500,5.500,5.500,5.500,5.500
resid lighting,electricity,fluorescent,elect_td_bld,18.667,18.667,18.667,19.167,19.167,19.639,19.639,20.139,20.139
resid lighting,electricity,solid state,elect_td_bld,12.222,12.222,25.556,43.611,49.861,56.111,56.111,56.111,56.111
resid refrigerators,electricity,refrigerator,elect_td_bld,1.919,1.919,2.534,2.534,2.534,2.534,2.534,2.534,2.534
resid refrigerators,electricity,refrigerator hi-eff,elect_td_bld,2.000,2.000,2.970,2.970,2.970,2.970,2.970,2.970,2.970
resid freezers,electricity,freezer,elect_td_bld,0.997,0.997,1.391,1.391,1.391,1.391,1.391,1.391,1.391
resid freezers,electricity,freezer hi-eff,elect_td_bld,1.391,1.391,1.462,1.462,1.462,1.462,1.462,1.462,1.462
resid dishwashers,electricity,dishwasher,elect_td_bld,194.444,194.444,194.444,194.444,194.444,194.444,194.444,194.444,194.444
resid dishwashers,electricity,dishwasher hi-eff,elect_td_bld,333.333,333.333,333.333,333.333,333.333,333.333,333.333,333.333,333.333
resid cooking,electricity,electric oven,elect_td_bld,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621
resid cooking,gas,gas oven,delivered gas,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399
resid cooking,gas,gas oven hi-eff,delivered gas,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.420
resid cooking,refined liquids,lpg oven,refined liquids enduse,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399
resid cooking,refined liquids,lpg oven hi-eff,refined liquids enduse,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.420
resid clothes dryers,electricity,clothes dryer,elect_td_bld,447.694,447.694,470.394,480.483,480.483,480.483,480.483,480.483,480.483
