region,supplysector,subsector,technology,minicam.energy.input,secondary.output,1971,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2100
USA,industrial energy use,biomass,biomass,delivered biomass,,0.746423292,0.799,0.798333333,0.798333333,0.81775182,0.851171251,0.868354863,0.868354863,0.868354863,0.868354863,0.868354863,0.868354863
USA,industrial energy use,biomass,biomass cogen,delivered biomass,electricity,0.515676667,0.552,0.554666667,0.554666667,0.568158258,0.591377437,0.591377437,0.591377437,0.591377437,0.591377437,0.591377437,0.591377437
USA,industrial energy use,coal,coal,delivered coal,,0.808080285,0.865,0.873666667,0.873666667,0.894917545,0.931490542,0.950295656,0.950295656,0.950295656,0.950295656,0.950295656,0.950295656
USA,industrial energy use,coal,coal cogen,delivered coal,electricity,0.582004645,0.623,0.625,0.625,0.640202364,0.666365802,0.666365802,0.666365802,0.666365802,0.666365802,0.666365802,0.666365802
USA,industrial energy use,electricity,electricity,elect_td_ind,,0.934196861,1,1.005,1.005,1.029445402,1.071516209,1.115306344,1.161009602,1.184511058,1.208488237,1.232950767,1.447345444
USA,industrial energy use,gas,gas,wholesale gas,,0.825830025,0.884,0.888666667,0.888666667,0.910282402,0.947483321,0.966611301,0.98612544,1.006033534,1.026343537,1.047063562,1.086030485
USA,industrial energy use,gas,gas cogen,wholesale gas,electricity,0.563320707,0.603,0.606,0.606,0.620740212,0.646108281,0.659152042,0.672459133,0.686034871,0.699884678,0.714014087,0.743134406
USA,industrial energy use,hydrogen,hydrogen,H2 enduse,,1,1,1,1,1.024323783,1.066185283,1.087709641,1.087709641,1.087709641,1.087709641,1.087709641,1.087709641
USA,industrial energy use,hydrogen,hydrogen cogen,H2 enduse,electricity,0.457,0.457,0.457,0.457,0.468115969,0.487246674,0.497083306,0.507118521,0.51735633,0.527800821,0.538456168,0.560416541
USA,industrial energy use,refined liquids,refined liquids,refined liquids industrial,,0.917381318,0.982,0.988333333,0.988333333,1.012373339,1.053746455,1.075019695,1.096722404,1.118863252,1.141451083,1.164494922,1.261417283
USA,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,electricity,0.565189101,0.605,0.608,0.608,0.62278886,0.648240652,0.648240652,0.648240652,0.648240652,0.648240652,0.648240652,0.648240652
USA,industrial feedstocks,gas,gas,wholesale gas,,1,1,1,1,1,1,1,1,1,1,1,1
USA,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,,1,1,1,1,1,1,1,1,1,1,1,1
