region,supplysector,subsector,technology,minicam.energy.input,secondary.output,1971,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2100
USA,industrial energy use,biomass,biomass,delivered biomass,,0.746423292,0.799,0.798333333,0.839504895,0.88171125,0.924952395,0.969228334,1.014539063,1.060884583,1.084684792,1.108485,1.108485
USA,industrial energy use,biomass,biomass cogen,delivered biomass,electricity,0.515676667,0.552,0.554666667,0.589746563,0.625861251,0.66301073,0.701195001,0.740414063,0.780667917,0.804468126,0.7896245,0.7896245
USA,industrial energy use,coal,coal,delivered coal,,0.808080285,0.865,0.873666667,0.916721563,0.960811251,1.00593573,1.052095001,1.099289063,1.147517917,1.171318126,1.2439665,1.2439665
USA,industrial energy use,coal,coal cogen,delivered coal,electricity,0.582004645,0.623,0.625,0.661838229,0.69971125,0.738619063,0.778561667,0.819539063,0.86155125,0.885351459,0.881314,0.881314
USA,industrial energy use,electricity,electricity,elect_td_ind,,0.934196861,1,1.005,1.051338229,1.09871125,1.147119063,1.196561667,1.247039063,1.29855125,1.322351459,1.431451,1.431451
USA,industrial energy use,gas,gas,wholesale gas,,0.825830025,0.884,0.888666667,0.932096563,0.976561251,1.02206073,1.068595001,1.116164063,1.164767917,1.188568126,1.267231,1.267231
USA,industrial energy use,gas,gas cogen,wholesale gas,electricity,0.563320707,0.603,0.606,0.642363229,0.67976125,0.718194063,0.757661667,0.798164063,0.83970125,0.863501459,0.862155,0.862155
USA,industrial energy use,hydrogen,hydrogen,H2 enduse,,1,1,1,1.046213229,1.09346125,1.141744063,1.191061667,1.241414063,1.29280125,1.316601459,1.409555,1.409555
USA,industrial energy use,hydrogen,hydrogen cogen,H2 enduse,electricity,0.457,0.457,0.457,0.489638229,0.52331125,0.558019063,0.593761667,0.630539063,0.66835125,0.692151459,0.6445635,0.6445635
USA,industrial energy use,refined liquids,refined liquids,refined liquids industrial,,0.917381318,0.982,0.988333333,1.034254895,1.08121125,1.129202395,1.178228334,1.228289063,1.279384583,1.303184792,1.4136605,1.4136605
USA,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,electricity,0.565189101,0.605,0.608,0.644413229,0.68186125,0.720344063,0.759861667,0.800414063,0.84200125,0.865801459,0.864892,0.864892
USA,industrial feedstocks,gas,gas,wholesale gas,,1,1,1,1.03,1.06,1.09,1.12,1.15,1.18,1.18,1.18,1.18
USA,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,,1,1,1,1.03,1.06,1.09,1.12,1.15,1.18,1.18,1.18,1.18
