UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2010,2015,2020,2025,2030,2035,2050,2065,2080,2095
Africa,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478
Africa,Passenger,LDV_3W,Three-Wheeler,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478
Africa,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391
Africa,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391
Africa,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391
Africa,Passenger,LDV_4W,Multipurpose Vehicle,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391
Australia_NZ,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438
Australia_NZ,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081
Australia_NZ,Passenger,LDV_4W,Midsize Car,All,All,annual travel per vehicle,vkt/veh/yr,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081
Australia_NZ,Passenger,LDV_4W,Large Car,All,All,annual travel per vehicle,vkt/veh/yr,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543
Australia_NZ,Passenger,LDV_4W,Light Truck and SUV,All,All,annual travel per vehicle,vkt/veh/yr,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543
Canada,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
