"Wind.Resource.Region","TRG","CF"
1,"class10",0.421261740264269
1,"class2",0.437560838221005
1,"class3",0.396231966469064
1,"class4",0.346261752652397
1,"class6",0.449616202932991
1,"class7",0.411779463061301
1,"class9",0.438531109437557
10,"class10",0.415184452767352
10,"class3",0.378708309125228
10,"class4",0.334469397317237
10,"class7",0.384506661271575
10,"class9",0.439540217135502
125,"class10",0.39801726526484
125,"class3",0.380752019264954
125,"class4",0.331774092213128
125,"class7",0.378493761390525
129,"class10",0.394960196353539
129,"class3",0.385889858306621
129,"class4",0.341740578417009
129,"class7",0.388681835113242
13,"class10",0.427310522482877
13,"class3",0.380494123299543
13,"class4",0.34127711938984
13,"class6",0.43560104268516
13,"class7",0.408322556669064
13,"class9",0.442370718357991
14,"class1",0.492697703835046
14,"class10",0.398697690368265
14,"class2",0.449898509548973
14,"class3",0.398310077125457
14,"class4",0.337779216446461
14,"class5",0.502341691940982
14,"class6",0.455665109382192
14,"class7",0.397593481845091
14,"class8",0.509548328681279
14,"class9",0.458111797001826
15,"class10",0.415672242335274
15,"class4",0.335083420297603
15,"class7",0.394043732919863
15,"class9",0.444725771026142
162,"class3",0.376667347459817
162,"class4",0.358675036930936
162,"class7",0.3726616647871
174,"class1",0.506110382199772
174,"class10",0.412663119532877
174,"class2",0.462648851858105
174,"class3",0.411629940486187
174,"class4",0.367432969824429
174,"class5",0.502942653528767
174,"class6",0.460126305961872
174,"class7",0.405308512453082
174,"class9",0.451234145247374
175,"class10",0.38515673162032
175,"class3",0.38114224055742
175,"class4",0.366202189293151
175,"class7",0.387167957131507
191,"class1",0.483586725815525
191,"class10",0.411839176216438
191,"class2",0.433328788166096
191,"class3",0.393163720365982
191,"class4",0.344550745357534
191,"class5",0.483021522499429
191,"class6",0.433923337420434
191,"class7",0.401475951868836
191,"class8",0.484516766311416
191,"class9",0.450477721162557
192,"class3",0.389104285533562
192,"class4",0.34791366519863
192,"class7",0.399705126620548
197,"class2",0.435622110424658
197,"class3",0.400477542221461
197,"class4",0.352246537659589
197,"class6",0.440232458405822
197,"class7",0.40334114507911
197,"class9",0.454222746033676
198,"class10",0.417756392802169
198,"class2",0.447797893449772
198,"class3",0.405906716694406
198,"class4",0.354231368065982
198,"class6",0.440711344281849
198,"class7",0.412663862334018
198,"class9",0.444198308054795
2,"class4",0.321338227589155
20,"class10",0.408693558795548
20,"class2",0.436798500985046
20,"class3",0.400476363901142
20,"class4",0.341454990602283
20,"class5",0.489780207474087
20,"class6",0.456506115984247
20,"class7",0.396565800720776
20,"class8",0.504682869086758
20,"class9",0.454329426282763
206,"class10",0.431733698473744
206,"class2",0.430168050355137
206,"class3",0.405555272740868
206,"class4",0.3534268687129
206,"class6",0.43459598477774
206,"class7",0.428866425832648
206,"class9",0.43847545996016
211,"class10",0.404960883649772
211,"class2",0.429417241741096
211,"class3",0.391393322835388
211,"class4",0.340853561296461
211,"class5",0.481395853915297
211,"class6",0.429445438459931
211,"class7",0.398557895640068
211,"class8",0.475077168573858
211,"class9",0.437548403011073
212,"class10",0.420461714371804
212,"class2",0.43647129552169
212,"class3",0.409766440287557
212,"class4",0.358834888030251
212,"class5",0.47870535254258
212,"class6",0.437296263476941
212,"class7",0.422048095082763
212,"class9",0.448766279207763
213,"class10",0.421690139643721
213,"class3",0.405444532859589
213,"class4",0.370357804411644
213,"class6",0.436244947840982
213,"class7",0.413197002614269
213,"class9",0.442629326766096
214,"class10",0.409801801300114
214,"class2",0.435571598319406
214,"class3",0.403759866092123
214,"class4",0.348434804470091
214,"class6",0.434444504698059
214,"class7",0.401682095000228
214,"class9",0.437569324149201
216,"class10",0.412205739255594
216,"class2",0.451144363219178
216,"class3",0.389094654394178
216,"class4",0.348153529865753
216,"class6",0.44528321877774
216,"class7",0.407797326263927
216,"class9",0.447376655972489
217,"class3",0.372797798545091
217,"class4",0.342301418548402
218,"class10",0.428518459996918
218,"class2",0.43434165547637
218,"class3",0.397897345626826
218,"class4",0.35075281422032
218,"class6",0.439690569326142
218,"class7",0.407649959854566
218,"class9",0.440015777539269
219,"class10",0.420417139800114
219,"class3",0.41167857404863
219,"class4",0.365198340834132
219,"class7",0.41617251518379
227,"class3",0.385479343697603
227,"class4",0.354795995810845
234,"class2",0.43916044850331
234,"class3",0.408277370577854
234,"class4",0.358379583357306
25,"class10",0.406534282018493
25,"class2",0.441164723047032
25,"class3",0.390876453520206
25,"class4",0.335318148086872
25,"class6",0.441164723047032
25,"class7",0.384288830077854
25,"class8",0.488366688220434
25,"class9",0.459622838827169
256,"class10",0.367952590219406
256,"class3",0.376141337648288
256,"class4",0.366059571906963
256,"class7",0.367952590219406
261,"class4",0.33913592494532
264,"class4",0.331816409052511
267,"class4",0.326573045724315
268,"class4",0.322939791808333
269,"class4",0.327818919452626
270,"class4",0.320719675739612
275,"class10",0.38590704085468
275,"class3",0.383323210994977
275,"class4",0.353635423409589
275,"class7",0.391276396017009
29,"class1",0.491120590299772
29,"class10",0.401492936448858
29,"class2",0.45466169467968
29,"class3",0.389511670517922
29,"class4",0.334894549067808
29,"class5",0.479489739155594
29,"class6",0.44689996968984
29,"class7",0.394785958095548
29,"class8",0.484948638965753
29,"class9",0.45394196484258
292,"class10",0.400895347779452
292,"class2",0.431645003230936
292,"class3",0.410639722846804
292,"class4",0.352495978000457
292,"class6",0.437995703142237
292,"class7",0.422836073558447
292,"class9",0.439207196616781
293,"class10",0.381520666251256
293,"class2",0.43141591353984
293,"class3",0.407286169466552
293,"class4",0.354141262649087
293,"class6",0.432971743808904
293,"class7",0.425529635765297
293,"class9",0.436764802061301
294,"class10",0.408497274668721
294,"class2",0.439365808575
294,"class3",0.414832359357306
294,"class4",0.357642226875114
294,"class6",0.441115802065069
294,"class7",0.429386471369406
294,"class9",0.447535607065868
297,"class10",0.401046767710731
297,"class3",0.386083417113242
297,"class4",0.370266011275799
297,"class7",0.396767285845091
298,"class10",0.425346426181963
298,"class2",0.432233240696119
298,"class3",0.413664587223174
298,"class4",0.372539716586187
298,"class6",0.433170289190639
298,"class7",0.425995221385845
298,"class9",0.432586461992694
299,"class10",0.41694659528847
299,"class3",0.399780259516552
299,"class4",0.370427131810502
299,"class6",0.426849285637671
299,"class7",0.408507668525285
3,"class4",0.344096493141552
305,"class4",0.350473551287249
307,"class10",0.408345510014041
307,"class2",0.437305772049429
307,"class3",0.411573524813927
307,"class4",0.361034792660616
307,"class6",0.439699600578881
307,"class7",0.432994826561073
307,"class9",0.44736933893242
309,"class4",0.312386881448402
31,"class10",0.403790793838813
31,"class3",0.393207783356849
31,"class4",0.3581439711871
31,"class7",0.392774764143607
31,"class9",0.445114509110502
310,"class10",0.366375331814612
310,"class4",0.327586159511872
310,"class7",0.366375331814612
311,"class4",0.317870700622489
312,"class4",0.308899025439155
313,"class4",0.317928203040183
314,"class10",0.430127727797831
314,"class2",0.437805362114612
314,"class3",0.412943346228881
314,"class4",0.36317085467637
314,"class6",0.441276792823059
314,"class7",0.428886648217237
314,"class9",0.442259531359247
315,"class10",0.424546869117237
315,"class3",0.410845212615525
315,"class4",0.351822244932877
315,"class6",0.435983222615068
315,"class7",0.422984013291781
315,"class9",0.43491091518847
316,"class4",0.323137733031621
317,"class4",0.329715028561416
318,"class3",0.404715324328082
318,"class4",0.361492052609703
318,"class7",0.421271682778196
320,"class2",0.431841790406507
320,"class3",0.408042518473402
320,"class4",0.353295209949658
320,"class6",0.43358722663847
320,"class7",0.418632202945776
330,"class10",0.427118019022717
330,"class2",0.454781936742808
330,"class3",0.419038607329224
330,"class4",0.368706161043151
330,"class5",0.508765871333105
330,"class6",0.468489091450913
330,"class7",0.427056301586644
330,"class9",0.467935856071918
331,"class4",0.343019152286416
332,"class10",0.435237395169406
332,"class2",0.442759590977397
332,"class3",0.417452931418265
332,"class4",0.363819708409475
332,"class6",0.445279914263242
332,"class7",0.428899919802626
332,"class9",0.448643982168265
333,"class10",0.410637717156849
333,"class2",0.437388524856279
333,"class3",0.396400636708447
333,"class4",0.362449000375228
333,"class6",0.441728854679338
333,"class7",0.405366263843037
334,"class10",0.420384632935274
334,"class3",0.390959504703767
334,"class4",0.355490956681393
334,"class6",0.443908584199886
334,"class7",0.407472082402397
334,"class9",0.438572293259018
336,"class10",0.407651142795205
336,"class3",0.394990618073858
336,"class4",0.356015914518037
336,"class7",0.398719290982877
341,"class3",0.403795279074315
341,"class4",0.348216655012329
342,"class1",0.502330315227397
342,"class10",0.406071738517922
342,"class2",0.459027515011301
342,"class3",0.407256753476598
342,"class4",0.359805781418379
342,"class5",0.486153172998059
342,"class6",0.474568104385959
342,"class7",0.395054888205708
342,"class8",0.487430834711187
342,"class9",0.480834873559817
344,"class10",0.392199671168037
344,"class3",0.39594943498516
344,"class4",0.357014110677018
344,"class7",0.394582765093721
345,"class1",0.483137332809247
345,"class10",0.441088879501941
345,"class2",0.465153955724886
345,"class3",0.420438595786416
345,"class4",0.364231366390297
345,"class5",0.487020810073402
345,"class6",0.471132398430479
345,"class7",0.41680596053105
345,"class8",0.488479102101598
345,"class9",0.483241851785731
346,"class2",0.456262075776256
346,"class3",0.423284560077626
346,"class4",0.365231920818379
346,"class5",0.500531770806963
346,"class6",0.470382969640411
346,"class7",0.440328030089498
348,"class10",0.434009412016096
348,"class2",0.44304312629863
348,"class3",0.410491809112443
348,"class4",0.366768909249543
348,"class5",0.484466261182648
348,"class6",0.447873376069178
348,"class7",0.424733464984589
348,"class8",0.497530726796918
348,"class9",0.453543046757534
349,"class1",0.495883123994064
349,"class10",0.412070463035616
349,"class2",0.465687103824315
349,"class3",0.418507601453881
349,"class4",0.380429662231507
349,"class5",0.503068918731164
349,"class6",0.478383015087215
349,"class7",0.420712144841781
349,"class8",0.503476076364155
349,"class9",0.479855691759931
354,"class3",0.400307425676027
354,"class4",0.375461344536986
356,"class1",0.492082917380365
356,"class10",0.427011412005251
356,"class2",0.45763473587169
356,"class3",0.409864042260046
356,"class4",0.362055339434703
356,"class5",0.495993004118607
356,"class6",0.459597541417694
356,"class7",0.415517942161986
356,"class8",0.513596623882877
356,"class9",0.462918024764041
