State,State_FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Alabama,1000,1020,1239,959,1049,1056,1123,1129,1236,1183,1374,1094,1115,991,1227,1120,1173,1084,1283,1053,1209,1249,1143,1049,1357,1328,1410,1244,1373,1168,1303,1243,1211,1178,1232,1259,1356,1245,1228,1504,1240,1427,1402,1476,1305,1383,1367,1334,1378,1494,1400,1466
Alaska,2000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Arizona,4000,2288,2129,2356,2172,2513,2333,2218,2457,2567,2429,2129,2270,2574,2520,2471,2572,2472,2312,2297,2296,2477,2384,2661,2303,2581,2553,2496,2668,2121,2438,2600,2656,2583,2520,2576,2781,2631,2431,2659,2731,2619,2836,2889,2467,2794,2564,2712,2745,2711,3024,2756
Arkansas,5000,940,1236,986,1064,1126,1253,1116,1297,1251,1507,1027,1258,1078,1350,1402,1159,1138,1355,1046,1159,1331,1176,1208,1383,1314,1328,1250,1467,1202,1351,1455,1421,1423,1370,1349,1437,1440,1249,1608,1298,1531,1644,1509,1374,1535,1492,1360,1442,1617,1489,1639
California,6000,623,710,762,683,753,634,695,698,687,741,577,586,844,651,781,845,824,837,807,638,645,558,931,639,701,805,691,677,701,759,705,817,848,840,865,859,757,728,1050,855,801,794,973,788,1048,961,890,889,979,1003,853
Colorado,8000,301,423,278,419,396,361,364,495,514,556,279,387,493,448,489,423,473,413,389,443,487,379,524,386,513,383,446,623,376,453,529,636,597,461,510,627,546,547,582,444,605,700,557,448,642,547,494,578,665,687,699
Connecticut,9000,303,433,286,315,327,327,304,456,370,438,315,443,356,390,438,310,364,450,455,386,559,466,444,314,409,538,492,387,413,489,514,396,571,438,403,572,440,360,416,396,526,456,474,499,526,533,459,492,422,366,588
Delaware,10000,602,707,517,601,668,675,621,824,668,751,607,703,592,739,796,636,623,810,771,716,827,779,735,676,718,862,784,790,802,908,824,777,883,800,750,899,743,742,823,684,891,812,881,843,805,892,843,809,834,747,914
Florida,12000,2234,2284,2055,2167,2062,2270,2228,2184,2436,2393,2225,2167,2316,2213,1981,2169,2293,2196,2333,2588,2363,2313,2164,2452,2469,2490,2409,2453,2405,2317,2291,2263,2322,2520,2614,2328,2398,2320,2433,2302,2376,2358,2419,2318,2603,2513,2325,2653,2744,2728,2559
Georgia,13000,1011,1225,944,1037,1034,1113,1100,1232,1162,1337,1083,1097,962,1199,1117,1152,1054,1238,1055,1193,1221,1117,1037,1320,1305,1398,1226,1348,1149,1310,1230,1192,1172,1209,1236,1345,1219,1223,1462,1206,1391,1374,1454,1296,1337,1350,1296,1359,1487,1358,1446
Hawaii,15000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Idaho,16000,658,552,672,606,781,720,601,816,698,727,744,622,890,669,737,778,878,709,788,651,656,537,739,525,684,738,803,625,646,701,758,626,738,756,769,882,773,699,1012,819,781,936,1043,661,899,817,669,885,966,986,957
Illinois,17000,463,612,378,490,489,574,450,830,599,711,535,653,533,639,707,519,517,580,550,566,614,696,619,526,622,733,641,758,670,768,766,753,840,568,626,871,747,677,786,515,729,765,815,799,659,709,655,683,736,615,945
Indiana,18000,467,627,398,503,503,579,461,834,610,720,550,661,537,661,732,533,530,611,570,578,647,699,642,541,643,734,659,780,696,782,785,770,855,596,650,884,759,702,816,537,758,781,834,820,679,740,678,703,760,650,950
Iowa,19000,508,696,448,569,636,645,506,985,678,829,554,697,659,667,788,572,644,623,613,650,691,692,751,552,655,779,716,892,795,749,838,873,863,652,677,951,855,712,918,562,767,875,934,799,783,823,651,793,899,732,1090
Kansas,20000,631,951,631,817,861,883,791,1147,984,1148,735,936,838,1057,1079,778,831,877,777,827,974,885,921,832,970,974,916,1245,1003,1029,1175,1102,1123,987,948,1169,1111,960,1277,824,1142,1321,1179,1086,1102,1135,929,1070,1343,1097,1381
Kentucky,21000,700,918,651,794,761,846,830,1064,913,1043,840,946,768,1011,1105,803,830,1018,896,799,1027,903,955,912,982,969,930,1148,967,1099,1136,1123,1132,1001,1027,1184,1065,1055,1231,924,1126,1167,1254,1193,1060,1109,995,1100,1236,1011,1332
Louisiana,22000,1459,1605,1417,1417,1520,1691,1534,1579,1723,1959,1460,1732,1689,1752,1740,1568,1671,1879,1517,1725,1807,1787,1658,1869,1789,1778,1833,1881,1676,1715,1847,1863,1761,1998,1862,1829,1913,1717,2013,1801,1957,2010,1967,1772,2130,1971,1903,1936,1918,2042,2061
Maine,23000,251,354,207,271,268,304,240,453,319,365,279,406,346,295,386,296,321,329,366,265,432,388,397,258,352,392,405,317,320,392,463,355,506,287,349,595,406,325,346,281,435,425,406,383,453,419,423,401,317,316,526
Maryland,24000,771,857,609,741,831,852,763,967,855,933,719,800,693,949,948,831,755,983,932,874,963,909,874,868,875,1070,949,994,922,1104,984,940,1042,978,918,1040,882,934,1061,904,1128,983,1133,1036,972,1076,1014,1012,1058,947,1075
Massachusetts,25000,334,462,308,339,355,356,334,495,400,467,334,469,379,416,469,341,394,482,486,414,586,492,470,341,438,565,523,422,444,522,546,431,604,470,434,604,473,395,468,429,564,498,515,527,556,564,483,515,468,397,614
Michigan,26000,386,539,324,404,420,477,349,700,499,572,478,571,438,552,596,454,426,519,489,470,557,593,516,427,531,590,574,620,610,676,646,629,736,509,535,761,607,593,661,442,631,651,714,672,568,599,570,596,582,540,778
