state_name,state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,AL,2095,1759,2148,1761,1886,1916,2096,2221,1913,1869,2291,2103,2023,1839,1919,2138,2435,2080,2302,2380
Alaska,AK,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Arizona,AZ,3300,3359,3173,3378,3210,2914,2648,2875,2595,2754,2580,2710,2842,2688,2592,2631,2745,2804,2729,2628
Arkansas,AR,1997,1865,1859,1645,1632,1989,1944,2018,1670,1567,2211,2156,2211,1781,1620,1895,2132,1773,2056,1979
California,CA,963,1023,924,1125,967,918,1154,1025,1203,1118,856,913,1150,1104,1279,1277,1154,1258,1135,988
Colorado,CO,511,482,567,487,223,435,441,500,362,229,401,494,590,491,300,370,429,375,476,467
Connecticut,CT,332,633,695,566,496,667,658,675,580,443,856,734,730,710,496,713,867,635,841,658
Delaware,DE,1029,1150,1459,1115,1230,1371,1034,1218,1074,977,1473,1419,1344,1214,1001,1263,1456,1232,1419,1415
District of Columbia,DC,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Florida,FL,3233,3292,3520,3540,3276,3320,3126,3283,3103,3302,3113,3376,3251,3276,3169,3826,3600,3554,3624,3715
Georgia,GA,1659,1523,1905,1512,1700,1691,1799,1887,1697,1671,2088,1984,1822,1563,1749,1916,2199,1813,2097,2172
Hawaii,HI,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Idaho,ID,827,845,995,762,587,983,849,941,618,459,943,933,1053,851,627,733,923,793,993,806
Illinois,IL,809,910,1152,760,663,1148,864,1044,737,554,1127,1041,1183,849,739,814,1141,840,1116,941
Indiana,IN,816,917,1197,742,778,1105,860,1166,804,664,1209,1069,1154,901,782,875,1173,868,1221,1060
Iowa,IA,775,817,961,736,553,950,813,898,593,430,906,894,1025,810,615,704,892,751,956,788
Kansas,KS,1751,1598,1643,1405,1159,1514,1570,1517,1209,1086,1614,1788,1765,1413,1352,1464,1601,1391,1657,1484
Kentucky,KY,1184,1244,1522,1020,1121,1360,1136,1587,1150,1004,1535,1329,1358,1113,1107,1213,1570,1188,1621,1500
Louisiana,LA,2790,2472,2727,2534,2656,2735,2496,2510,2363,2447,2723,2783,2622,2467,2343,2781,2800,2635,2665,2734
Maine,ME,131,313,288,258,142,317,206,172,156,139,315,209,255,251,182,240,302,212,361,213
Maryland,MD,1090,1175,1512,1053,1208,1236,1157,1346,1116,1044,1521,1426,1368,1211,1022,1299,1491,1280,1525,1558
Massachusetts,MA,461,676,770,608,491,770,599,624,520,409,763,650,656,664,459,654,873,601,781,616
Michigan,MI,460,603,815,470,412,827,552,662,458,316,747,694,787,554,406,515,792,548,780,577
Minnesota,MN,374,528,580,493,253,525,516,510,291,211,478,467,562,434,327,412,388,307,536,377
Mississippi,MS,2316,1975,2267,1992,2044,2165,2279,2363,2084,2116,2510,2365,2269,2139,2091,2428,2580,2243,2409,2462
Missouri,MO,1326,1278,1402,1131,968,1459,1318,1475,1027,917,1479,1487,1582,1189,1129,1251,1474,1219,1605,1352
Montana,MT,555,564,564,622,378,563,555,674,387,337,425,480,600,490,412,477,491,505,497,417
Nebraska,NE,1127,1073,1252,968,752,1131,1025,1076,750,591,1020,985,1246,1005,777,892,1034,938,1087,984
Nevada,NV,2203,2318,2119,2300,2022,1734,1951,2068,1968,1964,1849,1677,2157,2002,2017,2071,2239,2221,2326,2000
New Hampshire,NH,123,296,430,345,187,524,417,373,311,239,515,394,440,447,312,437,529,404,554,388
New Jersey,NJ,699,804,1025,763,808,1146,839,912,863,665,1141,1039,998,922,720,1000,1132,882,1065,962
New Mexico,NM,1221,1088,1164,1242,918,985,871,951,786,865,1015,1155,1127,1088,992,1066,1172,1081,1182,1110
New York,NY,364,556,728,507,426,858,471,487,445,316,618,540,589,539,356,532,676,452,682,453
North Carolina,NC,1370,1346,1683,1305,1491,1525,1433,1732,1520,1505,1954,1777,1597,1421,1510,1702,1919,1572,1881,1827
North Dakota,ND,363,499,525,514,204,373,484,426,258,175,311,354,453,356,259,409,322,335,415,305
Ohio,OH,605,707,1024,573,598,942,736,970,721,572,1043,964,1012,813,701,834,1148,781,1149,996
Oklahoma,OK,2062,2054,1833,1799,1649,1993,2116,1880,1732,1673,2149,2509,2325,1899,1823,1920,2140,1848,2053,2000
Oregon,OR,165,156,210,340,305,233,269,151,203,258,157,145,175,308,331,338,222,349,260,153
Pennsylvania,PA,603,681,951,655,686,933,719,805,685,549,975,917,888,766,601,834,1033,749,976,880
Rhode Island,RI,484,708,722,626,513,796,625,648,583,403,781,701,672,672,479,706,946,639,810,640
South Carolina,SC,1832,1759,2104,1692,1963,1907,1777,1968,1801,1800,2204,2117,1912,1685,1877,2062,2332,1994,2233,2235
South Dakota,SD,766,852,1003,801,509,866,800,807,509,348,616,679,914,650,457,623,691,609,744,598
Tennessee,TN,1425,1306,1581,1157,1258,1508,1378,1700,1325,1209,1743,1513,1473,1224,1251,1364,1670,1279,1649,1568
Texas,TX,2997,2687,2661,2663,2560,2803,2861,2566,2634,2702,2747,3325,2996,2749,2610,2798,2956,2866,2763,2934
Utah,UT,1227,1250,1169,1341,967,866,908,1074,837,741,767,784,1033,1077,803,860,961,919,904,754
Vermont,VT,249,412,473,434,303,619,321,270,234,206,399,315,349,371,220,307,399,294,484,276
Virginia,VA,974,948,1298,986,1147,1274,1109,1322,1104,1050,1527,1372,1272,1158,1046,1280,1541,1257,1529,1491
Washington,WA,137,135,176,269,270,166,204,139,136,219,125,95,139,210,213,274,163,251,214,103
West Virginia,WV,737,748,1037,674,746,989,683,927,638,584,1012,908,923,756,683,863,1078,750,1139,1017
Wisconsin,WI,432,580,690,477,312,710,562,615,403,289,668,597,766,494,363,442,613,454,653,481
Wyoming,WY,392,468,408,472,190,341,409,480,279,152,248,338,489,435,222,284,332,327,288,294
