State,State_FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Alabama,1000,1502,1500,1568,1592,1698,1360,1505,1584,1189,1153,1448,1528,1249,1529,1637,1639,1470,1551,1124,1117,1393,1195,1558,1434,1524,1122,1211,1244,1402,1400,1509,1427,1329,1251,1143,1327,1385,1399,1448,1490,1335,1501,1337,1579,1204,1269,1449,1230,1078,1017,1296
Alaska,2000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Arizona,4000,838,659,657,856,651,801,733,587,878,717,685,671,657,609,568,663,722,623,706,719,547,577,463,686,709,464,573,752,697,728,436,662,544,540,773,440,436,472,498,359,403,489,462,594,593,371,474,456,414,434,643
Arkansas,5000,1939,1949,1976,2224,2167,1729,1858,1809,1807,1509,1947,1716,1698,1773,1761,2249,1805,1780,1591,1644,1749,1550,1717,1761,2078,1352,1390,1679,1788,1815,1752,1784,1612,1664,1659,1607,1711,1759,1868,1675,1489,1787,1670,1965,1550,1601,1629,1645,1420,1493,1707
California,6000,1244,1101,1104,1162,927,1122,1045,1012,1185,1190,944,1118,1053,946,810,803,1021,883,1140,1069,1006,912,694,926,915,853,891,1075,1070,904,801,1001,818,835,1087,820,797,731,762,661,734,821,722,915,873,658,714,794,724,759,895
Colorado,8000,3467,3388,3463,4004,3337,3314,3154,3066,3363,3055,3494,3083,3229,3092,2877,3344,3331,3185,3243,3271,3226,3089,2882,3347,3281,2692,3005,3282,3366,3148,2744,3218,3031,2886,3366,2835,2835,2921,3021,2793,2794,2803,2708,3138,2825,2823,2889,2852,2734,2836,2961
Connecticut,9000,3431,3375,3468,3416,3509,3219,3313,3062,3328,3392,3258,3053,3223,3583,3424,3625,3453,3418,3010,2968,3226,3149,3279,3112,3125,3118,2870,3197,3254,3113,3377,3160,2895,3033,2983,2897,3156,3072,3173,3421,3134,3146,2948,3380,3321,2954,3008,3025,2906,3094,3080
Delaware,10000,2685,2603,2671,2603,2750,2430,2603,2509,2419,2516,2450,2479,2388,2645,2721,2747,2660,2631,2144,2140,2460,2318,2607,2329,2448,2287,2156,2371,2453,2366,2596,2410,2206,2338,2189,2255,2451,2349,2421,2626,2330,2541,2221,2615,2428,2283,2323,2282,2058,2209,2334
Florida,12000,113,141,163,152,146,77,93,197,57,43,97,183,73,138,250,141,98,156,63,73,80,69,170,130,191,102,140,40,89,90,140,98,88,113,49,99,95,165,177,202,137,106,93,149,110,84,138,91,56,37,51
Georgia,13000,1510,1489,1568,1559,1683,1342,1497,1583,1181,1155,1400,1530,1237,1530,1657,1623,1433,1557,1116,1102,1392,1201,1578,1416,1505,1142,1209,1240,1385,1380,1498,1416,1322,1268,1100,1326,1377,1407,1461,1518,1352,1499,1345,1551,1232,1273,1461,1206,1055,1029,1283
Hawaii,15000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Idaho,16000,3289,3065,3129,3379,2703,3164,2711,2850,3384,3082,2914,2765,3021,2894,2393,2759,3101,2607,2999,3048,3157,2881,2329,2901,3116,2359,2684,3160,3028,2714,2689,2937,2684,2722,3105,2694,2505,2636,2587,2392,2536,2738,2443,2762,2715,2326,2415,2539,2525,2627,2747
Illinois,17000,3635,3505,3610,3839,3678,3306,3440,3336,3495,3170,3431,3069,3424,3569,3312,3756,3456,3289,3105,3080,3441,3226,3409,3108,3551,2964,2757,3304,3494,3055,3233,3258,3201,3477,3073,3052,3298,3412,3430,3465,3211,3357,3107,3363,3448,3085,3157,3054,2853,3162,3159
Indiana,18000,3485,3376,3477,3653,3524,3176,3327,3222,3323,3045,3280,2978,3263,3414,3209,3621,3322,3170,2950,2922,3309,3090,3310,3005,3402,2857,2666,3151,3341,2941,3157,3146,3068,3315,2921,2934,3159,3260,3280,3328,3074,3215,2949,3253,3286,2977,3032,2934,2723,3012,3035
Iowa,19000,3822,3647,3778,4133,3894,3497,3446,3389,3671,3192,3681,3164,3585,3621,3238,4007,3540,3313,3435,3308,3506,3445,3373,3235,3771,2930,2846,3612,3747,3234,3323,3490,3329,3525,3282,3022,3331,3493,3655,3506,3229,3323,3160,3471,3408,3233,3193,3216,2842,3353,3256
Kansas,20000,3177,2952,3053,3506,3109,2704,2727,2687,2959,2487,2979,2579,2854,2911,2552,3327,2808,2738,2668,2747,2738,2681,2585,2597,3083,2165,2238,2830,2898,2694,2526,2848,2591,2731,2714,2366,2614,2829,2822,2597,2417,2662,2513,2887,2551,2508,2543,2546,2187,2595,2687
Kentucky,21000,2530,2463,2589,2691,2688,2234,2534,2456,2338,2144,2395,2364,2213,2451,2455,2775,2456,2375,2045,2032,2412,2147,2522,2311,2510,2073,1954,2201,2406,2196,2459,2382,2234,2364,2057,2214,2268,2316,2443,2408,2171,2412,2274,2490,2233,2138,2229,2128,1924,2065,2230
Louisiana,22000,819,865,899,1038,1000,741,788,784,779,579,928,806,634,748,863,1035,857,806,585,663,704,540,719,811,952,499,586,599,743,792,826,787,648,702,722,690,720,698,742,654,575,808,740,944,605,617,697,725,585,457,747
Maine,23000,4275,4190,4236,4212,4284,4110,4181,3806,4085,4106,4095,3739,3924,4387,4147,4393,4360,4404,3763,3641,4000,3946,4064,3812,3961,3938,3669,4050,4133,3721,4195,3900,3665,4008,3756,3661,3924,3962,4065,4263,3973,3737,3663,4221,4226,3708,3807,3868,3748,3923,3816
