state_name,state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,AL,2728,2600,2766,2731,2836,2701,2402,2417,2677,2675,3174,2568,1967,2679,2917,2218,2133,1961,2494,2191
Alaska,AK,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Arizona,AZ,1868,2058,1857,1735,2432,1870,1970,1992,2041,1981,2157,2205,1773,2094,1587,1808,1599,1503,1927,2042
Arkansas,AR,3487,3306,3580,3431,3193,3288,2975,3139,3518,3446,3558,3289,2621,3690,3855,3142,2793,2622,3602,3346
California,CA,2456,2621,2662,2549,2701,2385,2588,2481,2542,2515,2723,2800,2385,2321,1775,2028,2101,2196,2297,2652
Colorado,CO,6697,6696,7083,6587,6712,6594,6501,6773,6996,6952,6655,6988,5988,7051,6664,6216,6186,6071,6531,7016
Connecticut,CT,6461,5831,5895,6597,6285,6751,5467,6032,6006,6236,5554,5647,5087,6040,6320,6130,5469,5720,5973,6006
Delaware,DE,4673,4331,4248,4897,4584,4766,4163,4623,4531,4732,4635,4243,3883,4598,4885,4507,4237,4086,4619,4288
District of Columbia,DC,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Florida,FL,584,580,639,685,1046,619,547,494,576,665,1256,498,426,452,624,388,448,338,473,365
Georgia,GA,3006,2712,2918,2875,2992,2967,2553,2537,2853,2903,3354,2669,2154,2807,3061,2355,2366,2180,2642,2335
Hawaii,HI,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Idaho,ID,6666,6545,6707,6883,6514,6517,6050,6627,7406,7002,6882,6848,5646,7376,7579,6311,5948,6089,7116,7208
Illinois,IL,6127,5758,6095,6241,5924,5991,5525,5938,6590,6324,6051,6043,5127,6573,7049,5918,5451,5437,6229,6261
Indiana,IN,5744,5263,5582,5847,5472,5581,5041,5410,5879,5734,5718,5463,4770,5897,6420,5470,5051,4928,5711,5601
Iowa,IA,6737,6606,6755,6963,6577,6599,6137,6697,7493,7105,6938,6938,5739,7464,7697,6401,6019,6165,7152,7257
Kansas,KS,4892,4610,5002,4922,4753,4907,4340,4858,5286,5171,5076,5109,3958,5422,5363,4444,4124,4209,5154,5222
Kentucky,KY,4507,4171,4340,4455,4186,4390,4021,4120,4561,4523,4799,4260,3737,4695,4953,4227,3975,3725,4416,4111
Louisiana,LA,1706,1626,1818,1822,1909,1628,1501,1640,1736,1689,2218,1730,1177,1781,2007,1451,1285,1132,1602,1549
Maine,ME,8114,7800,8121,8424,8369,8065,7249,8296,8027,8329,7139,7610,7238,7903,8078,8121,7260,7609,7973,8138
Maryland,MD,4593,4251,4327,4937,4610,4921,4065,4529,4523,4716,4623,4309,3905,4688,5004,4564,4268,4041,4532,4257
Massachusetts,MA,6251,5833,5880,6571,6357,6462,5591,6216,6117,6339,5737,5783,5267,6143,6351,6155,5466,5739,6036,6105
Michigan,MI,6735,6267,6711,7072,6782,6777,6102,6550,7006,7005,6429,6692,5772,6994,7611,6645,6041,6180,6738,6822
Minnesota,MN,8373,8073,8531,8572,8153,8087,7548,8208,9134,8909,8160,8476,7343,9255,9420,7802,7440,7997,8926,9110
Mississippi,MS,2472,2426,2556,2575,2425,2480,2207,2228,2477,2415,2880,2388,1762,2552,2770,2057,1940,1728,2337,2168
Missouri,MO,5083,4812,5134,5124,4834,4927,4475,4849,5423,5156,5173,5019,4022,5455,5645,4658,4324,4234,5274,5190
Montana,MT,7215,6852,7406,7021,6855,7045,6628,6878,7517,7397,7278,7395,6544,7280,7382,6507,6472,7048,7626,7922
Nebraska,NE,6185,6056,6388,6248,6027,6064,5694,6218,6849,6713,6428,6523,5299,6693,6625,5695,5390,5678,6745,6672
Nevada,NV,3484,3533,3639,3419,3837,3699,3543,3344,3532,3630,3682,3799,3168,3515,2831,2966,2896,2869,3144,3512
New Hampshire,NH,7903,7484,7500,8002,7805,7577,6667,7485,7344,7603,6751,7071,6469,7342,7520,7354,6647,6953,7233,7429
New Jersey,NJ,5504,5110,5114,5759,5390,5441,4715,5269,5229,5387,5127,4991,4556,5364,5657,5267,4859,4923,5342,5172
