# Subsector share-weights which need a to-value,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
USA,base load generation,biomass,share-weight,final-calibration-year,end-year,1,linear
USA,intermediate generation,biomass,share-weight,final-calibration-year,end-year,1,linear
USA,subpeak generation,biomass,share-weight,final-calibration-year,end-year,1,linear
USA,peak generation,biomass,share-weight,final-calibration-year,end-year,1,linear
USA,base load generation,geothermal,share-weight,final-calibration-year,end-year,1,linear
USA,intermediate generation,geothermal,share-weight,final-calibration-year,end-year,1,linear
USA,subpeak generation,geothermal,share-weight,final-calibration-year,end-year,1,linear
USA,peak generation,geothermal,share-weight,final-calibration-year,end-year,1,linear
USA,base load generation,nuclear,share-weight,final-calibration-year,2020,0.2,linear
USA,intermediate generation,nuclear,share-weight,final-calibration-year,2020,0.2,linear
USA,subpeak generation,nuclear,share-weight,final-calibration-year,2020,0.2,linear
USA,peak generation,nuclear,share-weight,final-calibration-year,2020,0.2,linear
USA,base load generation,nuclear,share-weight,2020,end-year,0.2,fixed
USA,intermediate generation,nuclear,share-weight,2020,end-year,0.2,fixed
USA,subpeak generation,nuclear,share-weight,2020,end-year,0.2,fixed
USA,peak generation,nuclear,share-weight,2020,end-year,0.2,fixed
USA,base load generation,wind,share-weight,final-calibration-year,2050,1,linear
USA,intermediate generation,wind,share-weight,final-calibration-year,2050,1,linear
USA,subpeak generation,wind,share-weight,final-calibration-year,2050,1,linear
USA,peak generation,wind,share-weight,final-calibration-year,2050,1,linear
USA,base load generation,wind,share-weight,2050,end-year,1,fixed
USA,intermediate generation,wind,share-weight,2050,end-year,1,fixed
USA,subpeak generation,wind,share-weight,2050,end-year,1,fixed
USA,peak generation,wind,share-weight,2050,end-year,1,fixed
USA,base load generation,solar,share-weight,final-calibration-year,2050,1,linear
USA,intermediate generation,solar,share-weight,final-calibration-year,2050,1,linear
USA,subpeak generation,solar,share-weight,final-calibration-year,2050,1,linear
USA,peak generation,solar,share-weight,final-calibration-year,2050,1,linear
USA,base load generation,solar,share-weight,2050,end-year,1,fixed
USA,intermediate generation,solar,share-weight,2050,end-year,1,fixed
USA,subpeak generation,solar,share-weight,2050,end-year,1,fixed
USA,peak generation,solar,share-weight,2050,end-year,1,fixed
USA,elect_td_bld,rooftop_pv,share-weight,final-calibration-year,2050,1,linear
USA,elect_td_bld,rooftop_pv,share-weight,2050,end-year,1,fixed
USA,peak generation,grid_storage,share-weight,final-calibration-year,end-year,1,linear
