# Specify final available year for technologies,,,,,
region,supplysector,subsector,stub-technology,initial-available-year,final-available-year
USA,subpeak generation,coal,coal_subpeak_conv pul,start-year,final-calibration-year
USA,peak generation,coal,coal_peak_conv pul,start-year,final-calibration-year
USA,subpeak generation,coal,coal_subpeak_conv pul_CCS,start-year,final-calibration-year
USA,peak generation,coal,coal_peak_conv pul_CCS,start-year,final-calibration-year
USA,subpeak generation,coal,coal_subpeak_conv pul_CCS,start-year,final-calibration-year
USA,peak generation,coal,coal_peak_conv pul_CCS,start-year,final-calibration-year
USA,subpeak generation,coal,coal_subpeak_IGCC,start-year,final-calibration-year
USA,peak generation,coal,coal_peak_IGCC,start-year,final-calibration-year
USA,subpeak generation,coal,coal_subpeak_IGCC_CCS,start-year,final-calibration-year
USA,peak generation,coal,coal_peak_IGCC_CCS,start-year,final-calibration-year
USA,base load generation,refined liquids,refined liquids_base_steam/CT,start-year,final-calibration-year
USA,intermediate generation,refined liquids,refined liquids_int_steam/CT,start-year,final-calibration-year
USA,subpeak generation,refined liquids,refined liquids_subpeak_steam/CT,start-year,final-calibration-year
USA,peak generation,refined liquids,refined liquids_peak_steam/CT,start-year,final-calibration-year
USA,base load generation,refined liquids,refined liquids_base_CC,start-year,final-calibration-year
USA,intermediate generation,refined liquids,refined liquids_int_CC,start-year,final-calibration-year
USA,subpeak generation,refined liquids,refined liquids_subpeak_CC,start-year,final-calibration-year
USA,peak generation,refined liquids,refined liquids_peak_CC,start-year,final-calibration-year
USA,base load generation,refined liquids,refined liquids_base_CC_CCS,start-year,final-calibration-year
USA,intermediate generation,refined liquids,refined liquids_int_CC_CCS,start-year,final-calibration-year
USA,subpeak generation,refined liquids,refined liquids_subpeak_CC_CCS,start-year,final-calibration-year
USA,peak generation,refined liquids,refined liquids_peak_CC_CCS,start-year,final-calibration-year
USA,subpeak generation,biomass,biomass_subpeak_conv_CCS,start-year,final-calibration-year
USA,peak generation,biomass,biomass_peak_conv,start-year,final-calibration-year
USA,subpeak generation,biomass,biomass_subpeak_conv_CCS,start-year,final-calibration-year
USA,subpeak generation,biomass,biomass_subpeak_IGCC,start-year,final-calibration-year
USA,peak generation,biomass,biomass_peak_IGCC,start-year,final-calibration-year
USA,subpeak generation,biomass,biomass_subpeak_IGCC_CCS,start-year,final-calibration-year
USA,peak generation,biomass,biomass_peak_IGCC_CCS,start-year,final-calibration-year
USA,base load generation,nuclear,nuc_base_Gen II,start-year,final-calibration-year
USA,intermediate generation,nuclear,nuc_int_Gen II,start-year,final-calibration-year
USA,subpeak generation,nuclear,nuc_subpeak_Gen II,start-year,final-calibration-year
USA,peak generation,nuclear,nuc_peak_Gen II,start-year,final-calibration-year
USA,intermediate generation,nuclear,nuc_int_Gen III,start-year,final-calibration-year
USA,subpeak generation,nuclear,nuc_subpeak_Gen III,start-year,final-calibration-year
USA,peak generation,nuclear,nuc_peak_Gen III,start-year,final-calibration-year
USA,intermediate generation,wind,wind_int_storage,start-year,final-calibration-year
USA,subpeak generation,wind,wind_subpeak_storage,start-year,final-calibration-year
USA,peak generation,wind,wind_peak_storage,start-year,final-calibration-year
USA,intermediate generation,solar,PV_int_storage,start-year,final-calibration-year
USA,subpeak generation,solar,PV_subpeak_storage,start-year,final-calibration-year
USA,peak generation,solar,PV_peak_storage,start-year,final-calibration-year
USA,intermediate generation,solar,CSP_int_storage,start-year,final-calibration-year
USA,subpeak generation,solar,CSP_subpeak_storage,start-year,final-calibration-year
USA,peak generation,solar,CSP_peak_storage,start-year,final-calibration-year
USA,intermediate generation,geothermal,geo_int,start-year,final-calibration-year
USA,subpeak generation,geothermal,geo_subpeak,start-year,final-calibration-year
USA,peak generation,geothermal,geo_peak,start-year,final-calibration-year
USA,intermediate generation,wind,wind_int,start-year,final-calibration-year
USA,subpeak generation,wind,wind_subpeak,start-year,final-calibration-year
USA,peak generation,wind,wind_peak,start-year,final-calibration-year
USA,base load generation,solar,PV_base,start-year,final-calibration-year
USA,base load generation,solar,CSP_base,start-year,final-calibration-year
