# Exogenous growth per unit floorspace assigned to each service,
supplysector,multiplier
resid heating,1.001
resid cooling,1.001
resid hot water,1.001
resid lighting,1.001
resid refrigerators,1.001
resid freezers,1.001
resid dishwashers,1.001
resid cooking,1.001
resid clothes dryers,1.001
resid clothes washers,1.001
resid televisions,1.001
resid computers,1.001
resid furnace fans,1.001
resid other,1.001
comm heating,1.001
comm cooling,1.001
comm hot water,1.001
comm ventilation,1.001
comm cooking,1.001
comm lighting,1.001
comm refrigeration,1.001
comm office,1.001
comm other,1.001
comm non-building,1.001
