# Building sector technology costs,,,,,,,,,
supplysector,subsector,technology,1971,2010,2015,2020,2035,2040,2100
resid heating,biomass,wood furnace,1.355,1.355,1.335,1.315,1.295,1.276,1.238
resid heating,coal,coal furnace,1.355,1.355,1.335,1.315,1.295,1.276,1.238
resid heating,gas,gas furnace,2.262,2.262,2.262,2.262,2.262,2.262,2.262
resid heating,gas,gas furnace hi-eff,3.512,3.512,3.512,3.512,3.512,3.512,3.512
resid heating,electricity,electric furnace,1.310,1.310,1.310,1.310,1.310,1.310,1.310
resid heating,electricity,electric heat pump,1.965,1.965,2.024,2.024,2.173,2.232,2.232
resid heating,refined liquids,fuel furnace,3.483,3.483,3.929,3.929,3.929,3.929,3.929
resid heating,refined liquids,fuel furnace hi-eff,5.804,5.804,5.804,5.804,5.804,5.804,5.804
resid cooling,electricity,air conditioning,5.527,5.527,5.527,5.527,5.527,5.527,5.527
resid cooling,electricity,air conditioning hi-eff,13.423,13.423,13.423,13.423,13.423,13.423,13.423
resid hot water,gas,gas water heater,7.170,7.170,7.206,7.206,7.206,7.206,7.206
resid hot water,gas,gas water heater hi-eff,12.045,12.045,12.045,12.045,12.045,12.045,12.045
resid hot water,electricity,electric resistance water heater,3.675,3.675,3.675,3.675,3.675,3.675,3.675
resid hot water,electricity,electric resistance water heater hi-eff,4.363,4.363,4.363,4.363,4.363,4.363,4.363
resid hot water,electricity,electric heat pump water heater,11.773,11.773,11.176,11.176,11.176,11.176,11.176
resid hot water,refined liquids,fuel water heater,7.170,7.170,7.206,7.206,7.206,7.206,7.206
resid hot water,refined liquids,fuel water heater hi-eff,12.045,12.045,12.045,12.045,12.045,12.045,12.045
resid lighting,electricity,incandescent,8.137,8.137,42.162,42.162,42.162,42.162,42.162
resid lighting,electricity,fluorescent,14.003,14.003,10.627,10.354,10.080,9.852,9.852
resid lighting,electricity,solid state,243.156,243.156,27.975,14.316,8.582,8.582,8.582
resid refrigerators,electricity,refrigerator,7.397,7.397,8.800,8.800,8.800,8.800,8.800
resid refrigerators,electricity,refrigerator hi-eff,10.840,10.840,11.860,11.860,11.860,11.860,11.860
resid freezers,electricity,freezer,18.523,18.523,19.553,19.553,19.553,19.553,19.553
resid freezers,electricity,freezer hi-eff,19.553,19.553,20.582,20.582,20.582,20.582,20.582
resid dishwashers,electricity,dishwasher,0.185,0.185,0.185,0.185,0.185,0.185,0.185
resid dishwashers,electricity,dishwasher hi-eff,0.205,0.205,0.205,0.205,0.205,0.205,0.205
resid cooking,electricity,electric oven,12.947,12.947,12.947,12.947,12.947,12.947,12.947
resid cooking,gas,gas oven,12.947,12.947,12.947,12.947,12.947,12.947,12.947
resid cooking,gas,gas oven hi-eff,14.797,14.797,14.797,14.797,14.797,14.797,14.797
resid cooking,refined liquids,lpg oven,12.947,12.947,12.947,12.947,12.947,12.947,12.947
resid cooking,refined liquids,lpg oven hi-eff,14.797,14.797,14.797,14.797,14.797,14.797,14.797
resid clothes dryers,electricity,clothes dryer,0.027,0.027,0.033,0.036,0.036,0.036,0.036
resid clothes dryers,electricity,clothes dryer hi-eff,0.036,0.036,0.040,0.046,0.046,0.046,0.046
resid clothes dryers,gas,clothes dryer,0.029,0.029,0.030,0.030,0.030,0.030,0.030
resid clothes washers,electricity,clothes washer,0.114,0.114,0.114,0.124,0.124,0.124,0.124
resid clothes washers,electricity,clothes washer hi-eff,0.117,0.117,0.117,0.171,0.171,0.171,0.171
resid televisions,electricity,electricity,66.773,66.773,65.779,64.799,63.834,62.883,61.024
resid computers,electricity,electricity,66.773,66.773,65.779,64.799,63.834,62.883,61.024
resid furnace fans,electricity,electricity,66.773,66.773,65.779,64.799,63.834,62.883,61.024
resid other,gas,gas,20,20,19.702,19.409,19.12,18.835,18.278
resid other,electricity,electricity,66.773,66.773,65.779,64.799,63.834,62.883,61.024
resid other,refined liquids,refined liquids,20,20,19.702,19.409,19.12,18.835,18.278
comm heating,biomass,wood furnace,1.335,1.335,1.335,1.315,1.295,1.276,1.238
comm heating,coal,coal furnace,1.355,1.355,1.335,1.315,1.295,1.276,1.238
comm heating,gas,gas furnace,0.789341982,0.789,0.789,0.880,0.880,0.880,0.880
comm heating,gas,gas furnace hi-eff,1.414696236,1.415,1.415,1.415,1.415,1.415,1.415
comm heating,electricity,electric furnace,1.078640691,1.079,1.239,1.239,1.239,1.239,1.239
comm heating,electricity,electric heat pump,4.661108581,4.661,4.661,4.661,4.661,4.661,4.661
comm heating,refined liquids,fuel furnace,0.697515794,0.698,0.715,0.715,0.715,0.715,0.715
comm cooling,gas,gas cooling,10.40504745,10.405,10.405,10.405,10.405,10.405,10.405
comm cooling,electricity,air conditioning,2.249081671,2.249,2.249,2.495,2.495,2.495,2.495
comm cooling,electricity,air conditioning hi-eff,2.741869818,2.742,2.742,2.742,2.742,2.742,2.742
comm hot water,gas,gas water heater,2.408623356,2.409,2.409,2.409,2.409,2.409,2.409
comm hot water,gas,gas water heater hi-eff,2.589237148,2.589,2.589,2.589,2.589,2.589,2.589
comm hot water,electricity,electric resistance water heater,2.724352778,2.724,2.724,2.724,2.724,2.724,2.724
comm hot water,electricity,electric heat pump water heater,23.40451347,23.405,23.405,22.268,22.268,22.268,22.268
comm hot water,refined liquids,fuel water heater,4.203150639,4.203,5.636,5.636,5.636,5.636,5.636
comm ventilation,electricity,ventilation,47.25771813,47.258,49.738,49.738,49.738,49.738,49.738
comm ventilation,electricity,ventilation hi-eff,66.16485393,66.165,66.165,66.165,66.165,66.165,66.165
comm cooking,gas,gas range,1.763321992,1.763,1.763,1.763,1.763,1.763,1.763
comm cooking,gas,gas range hi-eff,2.368268442,2.368,2.368,2.368,2.368,2.368,2.368
comm cooking,electricity,electric range,2.420842003,2.421,2.421,2.421,2.421,2.421,2.421
comm cooking,electricity,electric range hi-eff,2.814793225,2.815,2.815,2.815,2.815,2.815,2.815
comm lighting,electricity,incandescent,1.634219768,1.634,1.517,1.454,1.395,1.395,1.395
comm lighting,electricity,fluorescent,0.311276654,0.311,0.308,0.300,0.297,0.297,0.297
comm lighting,electricity,solid state,6.982933879,6.983,5.043,4.111,4.003,4.003,4.003
comm refrigeration,electricity,refrigeration,5.732301784,5.732,4.814,4.975,4.975,4.975,4.975
comm refrigeration,electricity,refrigeration hi-eff,5.732301784,5.732,4.888,5.385,5.385,5.385,5.385
comm office,electricity,office equipment,44.187,44.187,43.529,42.881,42.242,41.613,40.382
comm other,gas,gas,20,20,19.702,19.409,19.12,18.835,18.278
comm other,electricity,electricity,40.064,40.064,39.467,38.879,38.3,37.73,36.614
comm other,refined liquids,refined liquids,20,20,19.702,19.409,19.12,18.835,18.278
