# Building sector technology efficiencies,,,,,,,,,,,,
supplysector,subsector,technology,minicam.energy.input,1971,2010,2015,2020,2025,2030,2035,2040,2100
resid heating,biomass,wood furnace,delivered biomass,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
resid heating,coal,coal furnace,delivered coal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
resid heating,gas,gas furnace,delivered gas,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
resid heating,gas,gas furnace hi-eff,delivered gas,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
resid heating,electricity,electric furnace,elect_td_bld,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
resid heating,electricity,electric heat pump,elect_td_bld,2.258,2.258,2.258,2.258,2.258,2.258,2.258,2.258,2.258
resid heating,refined liquids,fuel furnace,refined liquids enduse,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
resid heating,refined liquids,fuel furnace hi-eff,refined liquids enduse,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
resid cooling,electricity,air conditioning,elect_td_bld,3.043,3.043,3.043,3.043,3.043,3.043,3.043,3.043,3.043
resid cooling,electricity,air conditioning hi-eff,elect_td_bld,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03
resid hot water,gas,gas water heater,delivered gas,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
resid hot water,gas,gas water heater hi-eff,delivered gas,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
resid hot water,electricity,electric resistance water heater,elect_td_bld,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894
resid hot water,electricity,electric resistance water heater hi-eff,elect_td_bld,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
resid hot water,electricity,electric heat pump water heater,elect_td_bld,2,2,2,2,2,2,2,2,2
resid hot water,refined liquids,fuel water heater,refined liquids enduse,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
resid hot water,refined liquids,fuel water heater hi-eff,refined liquids enduse,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
resid lighting,electricity,incandescent,elect_td_bld,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028
resid lighting,electricity,fluorescent,elect_td_bld,18.667,18.667,18.667,18.667,18.667,18.667,18.667,18.667,18.667
resid lighting,electricity,solid state,elect_td_bld,12.222,12.222,12.222,12.222,12.222,12.222,12.222,12.222,12.222
resid refrigerators,electricity,refrigerator,elect_td_bld,1.919,1.919,1.919,1.919,1.919,1.919,1.919,1.919,1.919
resid refrigerators,electricity,refrigerator hi-eff,elect_td_bld,2,2,2,2,2,2,2,2,2
resid freezers,electricity,freezer,elect_td_bld,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997
resid freezers,electricity,freezer hi-eff,elect_td_bld,1.391,1.391,1.391,1.391,1.391,1.391,1.391,1.391,1.391
resid dishwashers,electricity,dishwasher,elect_td_bld,194.444,194.444,194.444,194.444,194.444,194.444,194.444,194.444,194.444
resid dishwashers,electricity,dishwasher hi-eff,elect_td_bld,333.333,333.333,333.333,333.333,333.333,333.333,333.333,333.333,333.333
resid cooking,electricity,electric oven,elect_td_bld,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621
resid cooking,gas,gas oven,delivered gas,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399
resid cooking,gas,gas oven hi-eff,delivered gas,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
resid cooking,refined liquids,lpg oven,refined liquids enduse,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399
resid cooking,refined liquids,lpg oven hi-eff,refined liquids enduse,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
resid clothes dryers,electricity,clothes dryer,elect_td_bld,447.694,447.694,447.694,447.694,447.694,447.694,447.694,447.694,447.694
