# Building default technology efficiencies,,,,,,,,,,,,,
supplysector,subsector,technology,minicam.energy.input,1971,1990,2005,2020,2035,2050,2065,2080,2095,2100
resid heating,biomass,wood furnace,delivered biomass,0.4,0.4,0.4,0.4,0.406,0.412,0.418,0.425,0.431,0.438
resid heating,coal,coal furnace,delivered coal,0.4,0.4,0.4,0.4,0.406,0.412,0.418,0.425,0.431,0.438
resid heating,gas,gas furnace,delivered gas,0.665,0.665,0.78,0.78,0.78,0.792,0.804,0.816,0.828,0.841
resid heating,gas,gas furnace hi-eff,delivered gas,0.767,0.767,0.9,0.9,0.92,0.955,0.97,0.97,0.97,0.97
resid heating,electricity,electric furnace,elect_td_bld,1,1,1,1,1,1,1,1,1,1
resid heating,electricity,electric heat pump,elect_td_bld,1.584,1.584,2.095,2.488104642,2.872767213,2.83465738,2.877907171,2.921187428,2.921364379,3.032152498
resid heating,refined liquids,fuel furnace,refined liquids enduse,0.725,0.725,0.78,0.788353333,0.794236048,0.806455064,0.81867408,0.830893096,0.843112112,0.85634938
resid heating,refined liquids,fuel furnace hi-eff,refined liquids enduse,0.85,0.85,0.85,0.85,0.85,0.863,0.876,0.889,0.903,0.916
resid cooling,electricity,air conditioning,elect_td_bld,2.042,2.042,2.637,3.046835401,3.117672829,3.164219558,3.212603952,3.260471583,3.309832266,3.436813253
resid cooling,electricity,air conditioning hi-eff,elect_td_bld,3.063,3.063,3.956,3.956,4.107,4.263,4.426,4.595,4.77,4.952
resid hot water,gas,gas water heater,delivered gas,0.499,0.499,0.537,0.560495919,0.610832919,0.620150709,0.6294685,0.63878629,0.64810408,0.658457181
resid hot water,gas,gas water heater hi-eff,delivered gas,0.694,0.694,0.747,0.747,0.77,0.782,0.793,0.805,0.818,0.83
resid hot water,electricity,electric resistance water heater,elect_td_bld,0.803,0.803,0.842,0.842,0.9,0.914,0.927,0.941,0.956,0.97
resid hot water,electricity,electric resistance water heater hi-eff,elect_td_bld,0.859,0.859,0.901,0.901,0.95,0.964,0.979,0.994,1,1
resid hot water,electricity,electric heat pump water heater,elect_td_bld,2.2,2.2,2.2,2.2,2.2,2.233,2.267,2.301,2.336,2.371
resid hot water,refined liquids,fuel water heater,refined liquids enduse,0.498,0.498,0.53,0.53,0.53,0.538,0.546,0.554,0.563,0.571
resid hot water,refined liquids,fuel water heater hi-eff,refined liquids enduse,0.639,0.639,0.68,0.68,0.68,0.69,0.701,0.711,0.722,0.733
resid lighting,electricity,incandescent,elect_td_bld,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.023,0.023
resid lighting,electricity,fluorescent,elect_td_bld,0.12,0.12,0.12,0.12,0.122,0.124,0.126,0.127,0.129,0.131
resid lighting,electricity,solid state,elect_td_bld,0.154,0.154,0.154,0.234666667,0.243599623,0.262724806,0.282953058,0.304340646,0.328783299,0.339803969
