# Interpolation rule over-writes for selected technologies,,,,,,,
# Source: Tables_Bld_Data.xlsx,,,,,,,
supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function,to.value
resid hot water,electricity,electric heat pump water heater,share-weight,2005,2050,s-curve,1
resid lighting,electricity,incandescent,share-weight,2005,2050,s-curve,1
resid lighting,electricity,fluorescent,share-weight,2005,2050,s-curve,1
resid lighting,electricity,solid state,share-weight,2005,2050,s-curve,1
resid refrigerators,electricity,refrigerator hi-eff,share-weight,2005,2020,s-curve,1
resid freezers,electricity,freezer hi-eff,share-weight,2005,2020,s-curve,1
resid dishwashers,electricity,dishwasher hi-eff,share-weight,2005,2020,s-curve,1
resid cooking,electricity,oven hi-eff,share-weight,2005,2020,s-curve,1
resid cooking,gas,oven hi-eff,share-weight,2005,2020,s-curve,1
resid clothes dryers,electricity,clothes dryer hi-eff,share-weight,2005,2020,s-curve,1
resid clothes washers,electricity,clothes washer hi-eff,share-weight,2005,2020,s-curve,1
comm hot water,electricity,electric heat pump water heater,share-weight,2005,2050,s-curve,1
comm ventilation,electricity,ventilation hi-eff,share-weight,2005,2020,s-curve,1
comm lighting,electricity,incandescent,share-weight,2005,2050,s-curve,1
comm lighting,electricity,fluorescent,share-weight,2005,2050,s-curve,1
comm lighting,electricity,solid state,share-weight,2005,2050,s-curve,1
comm refrigeration,electricity,refrigeration hi-eff,share-weight,2005,2020,s-curve,1
