# Internal gain ratios (heat released per unit of energy input),,,
# Note: this table should include all techs of non-thermal services (even zeroes),,,
supplysector,subsector,technology,input.ratio
resid hot water,gas,gas water heater,0.112
resid hot water,gas,gas water heater hi-eff,0.112
resid hot water,electricity,electric resistance water heater,0.112
resid hot water,electricity,electric resistance water heater hi-eff,0.112
resid hot water,electricity,electric heat pump water heater,0.112
resid hot water,refined liquids,fuel water heater,0.112
resid hot water,refined liquids,fuel water heater hi-eff,0.112
resid lighting,electricity,incandescent,0.803
resid lighting,electricity,fluorescent,0.721
resid lighting,electricity,solid state,0.694
resid refrigerators,electricity,refrigerator,1
resid refrigerators,electricity,refrigerator hi-eff,1
resid freezers,electricity,freezer,1
resid freezers,electricity,freezer hi-eff,1
resid dishwashers,electricity,dishwasher,0.866
resid dishwashers,electricity,dishwasher hi-eff,0.866
resid cooking,electricity,oven,0.866
resid cooking,electricity,oven hi-eff,0.866
resid cooking,gas,oven,0.866
resid cooking,gas,oven hi-eff,0.866
resid cooking,refined liquids,refined liquids,0.866
resid clothes dryers,electricity,clothes dryer,0.632
resid clothes dryers,electricity,clothes dryer hi-eff,0.632
resid clothes dryers,gas,clothes dryer,0.632
resid clothes washers,electricity,clothes washer,0.632
resid clothes washers,electricity,clothes washer hi-eff,0.632
resid televisions,electricity,electricity,0.866
resid computers,electricity,electricity,0.866
resid furnace fans,electricity,electricity,0
resid other,gas,gas,0.866
resid other,electricity,electricity,0.866
resid other,refined liquids,refined liquids,0.866
comm hot water,gas,gas water heater,0.017
comm hot water,gas,gas water heater hi-eff,0.017
comm hot water,electricity,electric resistance water heater,0.017
comm hot water,electricity,electric heat pump water heater,0.017
comm hot water,refined liquids,fuel water heater,0.017
comm ventilation,electricity,ventilation,0
comm ventilation,electricity,ventilation hi-eff,0
comm cooking,gas,gas stove,0.5
comm cooking,electricity,electric stove,0.7
comm lighting,electricity,incandescent,0.979
comm lighting,electricity,fluorescent,0.88
comm lighting,electricity,solid state,0.846
comm refrigeration,electricity,refrigeration,1
comm refrigeration,electricity,refrigeration hi-eff,1
comm office,electricity,office equipment,0.8
comm other,gas,gas,0.048
comm other,electricity,electricity,0.048
comm other,refined liquids,refined liquids,0.048
comm non-building,electricity,electricity,0
