# Retirement function parameters,,,,,
supplysector,lifetime,half_life_stock,steepness_stock,half_life_new,steepness_new
resid heating,40,20,0.1219,20,0.1886
resid cooling,30,15,0.162,18,0.2598
resid hot water,30,15,0.162,17,0.2266
resid refrigerators,25,13,0.1932,14,0.2752
resid freezers,25,13,0.1932,14,0.2752
resid dishwashers,25,13,0.1932,14,0.2752
resid cooking,25,13,0.1932,14,0.2752
resid clothes dryers,25,13,0.1932,14,0.2752
resid clothes washers,25,13,0.1932,14,0.2752
comm heating,40,20,0.1219,20,0.1886
comm cooling,30,15,0.162,18,0.2598
comm hot water,30,15,0.162,17,0.2266
comm refrigeration,25,13,0.1932,14,0.2752
