supplysector,subsector,stub.technology,SO2,NOx,CO,BC,OC,NMVOC,PM2.5,PM10,NH3
electricity,biomass,biomass (conv),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,biomass,biomass (IGCC CCS),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,biomass,biomass (IGCC),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,coal,coal (conv pul),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,coal,coal (IGCC CCS),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,coal,coal (IGCC),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,gas,gas (CC CCS),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,gas,gas (CC),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,gas,gas (steam/CT),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,geothermal,geothermal,,,,,,,,,
electricity,hydro,hydro,,,,,,,,,
electricity,nuclear,Gen_II_LWR,,,,,,,,,
electricity,refined liquids,refined liquids (IGCC CCS),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,refined liquids,refined liquids (IGCC),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,refined liquids,refined liquids (steam/CT),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
electricity,solar,CSP,,,,,,,,,
electricity,solar,PV,,,,,,,,,
electricity,wind,wind,,,,,,,,,
