"# 2016 Form EIA-860 Data - Schedule 3, 'Generator Data' (Retired & Canceled Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://www.eia.gov/electricity/data/eia860/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
195,Alabama Power Co,3,Barry,AL,Mobile,3,Conventional Steam Coal,ST,,S,X,X,,,272,0.85,249,249,130,N, , ,RE,X,7,1959,8,2015,N,Electric Utility,1,X,BIT,,,,,,NG,,,,,, ,OVER,,Y,,,Y,,,,,
195,Alabama Power Co,8,Gorgas,AL,Walker,6,Conventional Steam Coal,ST,,S,X,X,,,125,0.85,103,103,50,N, , ,RE,X,4,1951,8,2015,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,, ,OVER,,Y,,,Y,,,,,
195,Alabama Power Co,8,Gorgas,AL,Walker,7,Conventional Steam Coal,ST,,S,X,X,,,125,0.85,104,104,50,N, , ,RE,X,7,1952,8,2015,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,, ,OVER,,Y,,,Y,,,,,
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,1,Conventional Steam Coal,ST,,S,X,X,,,200,0.9,178,182,56,N, , ,RE,X,1,1955,4,2016,N,Electric Utility,1,X,BIT,SUB,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,N,,N
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,2,Conventional Steam Coal,ST,,S,X,X,,,200,0.9,178,182,56,N, , ,RE,X,3,1955,4,2016,N,Electric Utility,1,X,BIT,SUB,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,N,,N
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,3,Conventional Steam Coal,ST,,S,X,X,,,200,0.9,178,182,56,N, , ,RE,X,7,1955,4,2016,N,Electric Utility,1,X,BIT,SUB,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,N,,N
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,4,Conventional Steam Coal,ST,,S,X,X,,,200,0.9,178,182,56,N, , ,RE,X,11,1955,4,2016,N,Electric Utility,1,X,BIT,SUB,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,N,,
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,5,Conventional Steam Coal,ST,,S,X,X,,,550,0.9,472,481,327,N, , ,RE,X,11,1965,4,2016,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,,N, ,OVER,,Y,,,Y,,,N,,
18642,Tennessee Valley Authority,50,Widows Creek,AL,Jackson,1,Conventional Steam Coal,ST,,S,X,X,,,140.6,0.9,111,113, ,N, , ,RE,X,7,1952,7,2014,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,,,
18642,Tennessee Valley Authority,50,Widows Creek,AL,Jackson,2,Conventional Steam Coal,ST,,S,X,X,,,140.6,0.9,111,113, ,N, , ,RE,X,10,1952,7,2014,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,,,
18642,Tennessee Valley Authority,50,Widows Creek,AL,Jackson,3,Conventional Steam Coal,ST,,S,X,X,,,140.6,0.9,111,113, ,N, , ,RE,X,11,1952,7,2013,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,,,
18642,Tennessee Valley Authority,50,Widows Creek,AL,Jackson,4,Conventional Steam Coal,ST,,S,X,X,,,140.6,0.9,111,113, ,N, , ,RE,X,1,1953,7,2014,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,,,
18642,Tennessee Valley Authority,50,Widows Creek,AL,Jackson,5,Conventional Steam Coal,ST,,S,X,X,,,140.6,0.8,111,113, ,N, , ,RE,X,6,1954,7,2013,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,,,
18642,Tennessee Valley Authority,50,Widows Creek,AL,Jackson,6,Conventional Steam Coal,ST,,S,X,X,,,140.6,0.8,111,113, ,N, , ,RE,X,7,1954,7,2014,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,,,
18642,Tennessee Valley Authority,50,Widows Creek,AL,Jackson,7,Conventional Steam Coal,ST,,S,X,X,,,575,0.9,473,476,252,N, , ,RE,X,2,1961,9,2015,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,,,
18642,Tennessee Valley Authority,50,Widows Creek,AL,Jackson,8,Conventional Steam Coal,ST,,S,X,X,,,550,0.9,465,469,252,N, , ,RE,X,2,1965,9,2015,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,,,
5580,"East Kentucky Power Coop, Inc",54,J K Smith,KY,Clark,GT11,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,98, ,74,98, ,, , ,IP,X, , , , ,N,Electric Utility,1,X,NG,,,,,,,,,,,, ,,,,,,,,,N,,
5580,"East Kentucky Power Coop, Inc",54,J K Smith,KY,Clark,GT12,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,98, ,74,98, ,, , ,IP,X, , , , ,N,Electric Utility,1,X,NG,,,,,,,,,,,, ,,,,,,,,,,,
5580,"East Kentucky Power Coop, Inc",54,J K Smith,KY,Clark,GT8,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,83, ,74,98, ,, , ,IP,X, , , , ,N,Electric Utility,1,X,NG,,,,,,,,,,,, ,,,,,,,,,,,
5580,"East Kentucky Power Coop, Inc",54,J K Smith,KY,Clark,ST1,Conventional Steam Coal,ST,,S,X,X,,,329.4, ,278,278, ,, , ,IP,X, , , , ,N,Electric Utility,1,X,BIT,,,,,,,,,,N,, ,,Y,,,,Y,,,,,
219,Alaska Power and Telephone Co,69,Haines,AK,Haines,9,Petroleum Liquids,IC,,S,X,X,,,1.1, ,1.1,1.1, ,, , ,RE,X,12,1989,6,2004,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,N,,
599,Anchorage Municipal Light and Power,75,Anchorage 1,AK,Anchorage,1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,12.5,0.8,14,16.2, ,N, , ,RE,X,11,1962,12,2016,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,Y,Y
599,Anchorage Municipal Light and Power,75,Anchorage 1,AK,Anchorage,2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,12.5,0.8,14,16.2, ,N, , ,RE,X,3,1962,12,2016,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,Y,Y
599,Anchorage Municipal Light and Power,75,Anchorage 1,AK,Anchorage,3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,16.3, ,17.7,19.4, ,, , ,RE,X,12,1968,8,2004,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,,,,,,,,,,Y,Y
599,Anchorage Municipal Light and Power,75,Anchorage 1,AK,Anchorage,D1,Petroleum Liquids,IC,,S,X,X,,,1.1, ,1.2,1.2, ,, , ,RE,X,0,1956,1,2010,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,,
599,Anchorage Municipal Light and Power,75,Anchorage 1,AK,Anchorage,D2,Petroleum Liquids,IC,,S,X,X,,,1.1, ,1.4,1.4, ,, , ,RE,X,0,1947,1,2010,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,,
986,Aurora Energy LLC,79,Aurora Energy LLC Chena,AK,Fairbanks North Star,3,Conventional Steam Coal,ST,,S,X,X,,,1.5, ,1.5,1.5, ,N, , ,RE,X,6,1952,8,2009,Y,IPP CHP,3,T,SUB,,,,,,WDS,DFO,,,N,N, ,12H,,,N,Y,Y,,,N,N,N
986,Aurora Energy LLC,79,Aurora Energy LLC Chena,AK,Fairbanks North Star,7,Conventional Steam Coal,ST,,S,X,X,,,2.3, ,2.3,2.3, ,N, , ,IP,X, , , , ,N,IPP CHP,3,X,SUB,,,,,,,,,,N,, ,12H,,,Y,N,Y,,,N,N,N
13642,Nome Joint Utility Systems,90,Snake River,AK,Nome,11,Petroleum Liquids,IC,,S,X,X,,,1.5, ,1.5,1.5, ,N, , ,RE,X,3,1988,3,2011,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,N,,
13642,Nome Joint Utility Systems,90,Snake River,AK,Nome,5,Petroleum Liquids,IC,,S,X,X,,,1.2, ,1.2,1.2, ,N, , ,RE,X,1,1974,1,2001,N,Electric Utility,1,X,DFO,,,,,,,,,,N,N, ,,,,,,,,,,,
13642,Nome Joint Utility Systems,90,Snake River,AK,Nome,6,Petroleum Liquids,IC,,S,X,X,,,1, ,1,1, ,N, , ,RE,X,1,1972,1,2008,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,,
13642,Nome Joint Utility Systems,90,Snake River,AK,Nome,9,Petroleum Liquids,IC,,S,X,X,,,2.8, ,2.9,2.9, ,N, , ,RE,X,12,1985,3,2011,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,,
16955,City of Seward - (AK),92,Seward (AK),AK,Kenai Peninsula,1,Petroleum Liquids,IC,,S,X,X,,,1.5, ,1,1.2, ,N, , ,RE,X,4,1965,9,2009,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,N,,
16955,City of Seward - (AK),92,Seward (AK),AK,Kenai Peninsula,2,Petroleum Liquids,IC,,S,X,X,,,1.5, ,1,1.2, ,N, , ,RE,X,4,1965,9,2009,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,N,,
17271,City & Borough of Sitka - (AK),93,Blue Lake Hydro,AK,Sitka,1,Conventional Hydroelectric,HY,,S,X,X,,,3.5,0.8,3.5,3.5,1,N, , ,RE,X,6,1961,8,2014,N,Electric Utility,1,X,WAT,,,,,,,,,,N,, ,1H,,,,,,,,N,N,
17271,City & Borough of Sitka - (AK),93,Blue Lake Hydro,AK,Sitka,2,Conventional Hydroelectric,HY,,S,X,X,,,3.5,0.8,3.5,3.5,1,N, , ,RE,X,6,1961,8,2014,N,Electric Utility,1,X,WAT,,,,,,,,,,N,, ,1H,,,,,,,,N,N,
21015,City of Wrangell - (AK),95,Wrangell,AK,Wrangell Petersburg,1,Petroleum Liquids,IC,,S,X,X,,,1.3, ,1.3,1.3, ,, , ,RE,X,8,1972,1,2001,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,N,,
21015,City of Wrangell - (AK),95,Wrangell,AK,Wrangell Petersburg,2,Petroleum Liquids,IC,,S,X,X,,,1.3, ,1.3,1.3, ,, , ,RE,X,8,1972,1,2001,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,N,,
21015,City of Wrangell - (AK),95,Wrangell,AK,Wrangell Petersburg,3,Petroleum Liquids,IC,,S,X,X,,,1.3, ,1.3,1.3, ,, , ,RE,X,8,1973,1,2001,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,N,,
21015,City of Wrangell - (AK),95,Wrangell,AK,Wrangell Petersburg,4,Petroleum Liquids,IC,,S,X,X,,,1.3, ,1.3,1.3, ,, , ,RE,X,8,1973,1,2001,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,N,,
21015,City of Wrangell - (AK),95,Wrangell,AK,Wrangell Petersburg,5,Petroleum Liquids,IC,,S,X,X,,,0.5, ,0.5,0.5, ,, , ,RE,X,88,1964,1,2009,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,N,,
21015,City of Wrangell - (AK),95,Wrangell,AK,Wrangell Petersburg,7,Petroleum Liquids,IC,,S,X,X,,,0.5, ,0.5,0.5, ,, , ,RE,X,88,1970,1,2009,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,N,,
3522,Chugach Electric Assn Inc,96,Beluga,AK,Kenai Peninsula,8,Natural Gas Fired Combined Cycle,CA,BCC8,S,N,X,,,62,0.9,44,53,10,N, , ,RE,X,9,1982,4,2015,N,Electric Utility,1,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,,N,N,N
13870,"Nushagak Electric Coop, Inc",109,Dillingham,AK,Dillingham,3,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,N, , ,RE,X,1,1961,2,2009,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,,,
13870,"Nushagak Electric Coop, Inc",109,Dillingham,AK,Dillingham,4,Petroleum Liquids,IC,,S,X,X,,,0.5, ,0.5,0.5, ,N, , ,RE,X,9,1967,5,2001,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,,,
13870,"Nushagak Electric Coop, Inc",109,Dillingham,AK,Dillingham,5,Petroleum Liquids,IC,,S,X,X,,,0.7, ,0.7,0.7, ,N, , ,RE,X,12,1973,3,2007,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,,,
