#The Energy Information Administration (EIA),,,,,,,,,,,,,,,,,,,,,,,,,,
# https://www.eia.gov/electricity/data/eia923/archive/xls/f923_2015.zip,,,,,,,,,,,,,,,,,,,,,,,,,,
# Page 4 Generator Data from file EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Id,"Combined Heat And
 Power Plant",Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,NAICS Code,Sector Number,Sector Name,Generator Id,"Reported
Prime Mover","Net Generation
January","Net Generation
February","Net Generation
March","Net Generation
April","Net Generation
May","Net Generation
June","Net Generation
July","Net Generation
August","Net Generation
September","Net Generation
October","Net Generation
November","Net Generation
December","Net Generation
Year To Date",YEAR
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,ST,-764,1423,-775,-524,1528,-591,-446,-416,-232,-219,-221,-176,-1413,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,ST,-642,1480,-517,-390,3367,-311,-274,-581,-334,-295,-490,-595,418,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,3,ST,13516,47662,33160,-415,-64,-107,-206,-322,-438,-380,0,0,92406,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,4,ST,56352,144128,153587,150186,167995,142640,172826,114060,130105,122865,106193,116235,1577172,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,5,ST,-3371,-4544,249318,340151,109351,380250,420389,413282,367997,217971,206431,238501,2935726,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A1CT,CT,117166,107952,47205,0,34504,107141,113694,115026,106932,123674,102279,121353,1096926,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A1CT2,CT,116127,105736,47264,-714,77796,109603,112452,112116,110764,120578,97674,119832,1129228,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A1ST,CA,131736,122523,55013,0,61636,126394,133397,133072,126854,140041,111181,127329,1269176,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2C1,CT,119731,105294,92774,58924,113118,101386,103388,107287,-119,4960,120800,97580,1025123,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2C2,CT,120287,107222,102176,103057,109573,103798,102311,107114,-119,4971,120905,86145,1067440,2015
