# Natural gas Wellhead production; Units: MMcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Warning MD; SD; TN dropped since we have to supply for those states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Source:  ""AEO2014 Market Trends - Figure data - May 7, 2014”, https://www.eia.gov/dnav/ng/ng_prod_sum_a_EPG0_FGW_mmcf_a.htm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
US (Agg),20108661,19952438,20025463,19974033,20471260,20179724,19955823,18582001,16884095,18304340,17270223,16858675,17432901,17918465,18095147,18593792,18532439,18711808,18981915,19709525,19506474,19812241,19866093,19961348,19804848,20197511,20570295,19884780,19974360,19517491,18927095,19409674,20196346,21112053,21647936,22381873,24036352,25307949
Gulf Coast OCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5206023,5076496,5029704,4934387,5027623,4511942,4406450,3969450,3132089,2901969,2798718,2314342,2428916,2245062,1812328,1507564
AL,37814,41427,57227,85599,85815,65294,79244,75003,90801,101821,107342,107184,117241,129524,128411,135276,170847,355099,388024,515272,519661,530841,388596,392394,381701,363467,356810,356061,346145,316021,296528,286220,270407,257884,236029,222932,195581,215710
AK,160270,166072,187889,203088,220754,230588,242564,264364,276691,289129,321346,304841,359837,378638,393729,402907,437822,443597,430350,555402,469550,480828,468311,466648,462967,458995,471440,463301,489757,471899,487282,444724,433485,398442,397077,374226,356225,351259
AZ,208,262,240,286,247,214,187,99,132,45,85,63,60,56,1360,2125,1225,771,597,752,558,463,452,457,474,368,307,301,443,331,233,611,655,523,712,183,168,117
AR,116237,109533,104096,106792,109452,111808,92986,124611,127561,135161,155099,131075,141151,166573,174158,174956,164702,202479,196370,187673,187242,221822,208514,188372,0,171642,166804,161871,169599,187069,190533,270293,269886,446457,679952,926639,1072212,1146168
CA,318308,354334,311462,311084,248206,309434,380359,383977,415324,476333,491283,462218,424621,399663,362860,362748,378384,365632,315851,309427,279555,286494,285690,315277,382715,376580,377824,360205,337216,319919,317637,315209,307160,296469,276575,286841,250177,246822
CO,171629,183972,188792,183693,191239,188001,195706,209892,163545,173257,178233,163684,164557,191544,216737,242997,285961,323041,400985,453207,523084,572071,637375,696321,722738,752985,817206,937245,1011285,1079235,1133086,1202821,1242571,1389399,1499070,1578379,1637576,1709376
FL,44383,43165,48171,51595,50190,40638,32470,22515,21056,12585,10545,8833,8281,7484,7534,6483,4884,6657,7085,7486,6463,6006,6114,5796,5933,6491,5710,3353,3087,3123,2616,2540,1778,2436,257,12409,15125,18681
IL,1440,1556,1003,1159,1585,1574,1295,1162,1030,1530,1324,1887,1371,1338,1477,677,466,347,340,333,335,298,231,209,195,189,185,180,174,170,166,170,1394,1193,1443,1702,2121,2125
