# Coalbed methane production; Units: MMcf,,,,,,,,,,,,,,,,,,,,,,,,
"# Source:  ""AEO2014 Market Trends - Figure data - May 7, 2014”, https://www.eia.gov/dnav/ng/ng_prod_sum_a_EPG0_FGW_mmcf_a.htm",,,,,,,,,,,,,,,,,,,,,,,,
region,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
US (Agg),91000,196000,348000,539000,752000,851000,956000,1003000,1090000,1194000,1252000,1379000,1562000,1614000,1600000,1720000,1732000,1758000,1753000,1966000,1914000,1886000,1763000,1655000
AL,23000,36000,68000,89000,103000,108000,109000,98000,111000,123000,108000,109000,111000,117000,98000,121000,113000,114000,114000,107000,105000,102000,98000,91000
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,3000,3000,3000,3000,3000,4000,2000
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,12000,26000,48000,82000,125000,179000,226000,274000,312000,401000,432000,451000,490000,520000,488000,520000,515000,477000,519000,497000,498000,533000,516000,486000
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,25000,38000,47000,43000,41000,37000,34000
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,0,0,0
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,13000,14000,12000,10000,6000,3000
NM,56000,133000,229000,358000,486000,530000,574000,575000,597000,571000,582000,550000,517000,471000,451000,528000,514000,510000,394000,443000,432000,402000,374000,355000
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58000,68000,82000,69000,55000,45000,39000,68000
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,5000,5000,11000,16000,3000,4000,15000
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000
UT,0,0,0,0,0,0,0,0,0,0,0,74000,83000,103000,97000,82000,75000,66000,73000,71000,71000,66000,60000,55000
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56000,81000,85000,101000,111000,97000,100000,99000
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,18000,25000,28000,31000,17000,18000,9000
WY,0,0,0,0,0,0,0,0,0,0,0,133000,278000,302000,344000,320000,336000,378000,401000,573000,535000,566000,506000,426000
