state,pollutant,emissions,unit,fuel
AZ,"1,1,2-Trichloroethane",65.8,LB,"Bituminous Coal, Pulverized"
NJ,"1,1,2-Trichloroethane",0,LB,Bituminous Coal
CA,"1,1,2-Trichloroethane",10.189,LB,Bituminous Coal
FL,"1,1,2-Trichloroethane",192.998,LB,Bituminous Coal
TX,"1,1,2-Trichloroethane",0.8,LB,"Subbituminous Coal, Pulverized"
MN,"1,1,2-Trichloroethane",0.1892,LB,"Subbituminous Coal, Pulverized"
NJ,"1,1,2-Trichloroethane",0,LB,Residual Oil - Grade 6
CA,"1,1,2-Trichloroethane",0.0002767,LB,Process Gas
CA,"1,1,2-Trichloroethane",0.00151058,LB,Process Gas
FL,"1,1,2-Trichloroethane",7.742,LB,Bagasse
CA,"1,1,2-Trichloroethane",0.35094,LB,Other Oil
CA,"1,1,2-Trichloroethane",3.40282745,LB,Natural Gas
MN,"1,1,2-Trichloroethane",0.00808234,LB,Natural Gas
NC,"1,1,2-Trichloroethane",0.00168533,LB,Natural Gas
OR,"1,1,2-Trichloroethane",5.16576,LB,Natural Gas
PA,"1,1,2-Trichloroethane",5.2,LB,Natural Gas
CA,"1,1,2-Trichloroethane",0.00001778,LB,Process Gas
CA,"1,1,2-Trichloroethane",52.527032,LB,Landfill Gas
MN,"1,1,2-Trichloroethane",16.27786,LB,Landfill Gas
MS,"1,1,2-Trichloroethane",0.4,LB,Landfill Gas
SC,"1,1,2-Trichloroethane",29.82,LB,Landfill Gas
CA,"1,1,2-Trichloroethane",1.22000127,LB,Landfill Gas
NJ,"1,1,2,2-Tetrachloroethane",0,LB,Bituminous Coal
FL,"1,1,2,2-Tetrachloroethane",63.362,LB,Bituminous Coal
NJ,"1,1,2,2-Tetrachloroethane",0,LB,Residual Oil - Grade 6
CA,"1,1,2,2-Tetrachloroethane",0.44192,LB,Other Oil
NM,"1,1,2,2-Tetrachloroethane",0.00789576,LB,Distillate Oil (Diesel)
AL,"1,1,2,2-Tetrachloroethane",2,LB,Natural Gas
CA,"1,1,2,2-Tetrachloroethane",4.284730312,LB,Natural Gas
MN,"1,1,2,2-Tetrachloroethane",0.0101654,LB,Natural Gas
NC,"1,1,2,2-Tetrachloroethane",23.79510313,LB,Natural Gas
OR,"1,1,2,2-Tetrachloroethane",6.498848,LB,Natural Gas
PA,"1,1,2,2-Tetrachloroethane",71.8,LB,Natural Gas
RI,"1,1,2,2-Tetrachloroethane",4,LB,Natural Gas
WV,"1,1,2,2-Tetrachloroethane",0.000842,LB,Natural Gas
CA,"1,1,2,2-Tetrachloroethane",0.00002942,LB,Process Gas
NC,"1,1,2,2-Tetrachloroethane",7.81,LB,Landfill Gas
SC,"1,1,2,2-Tetrachloroethane",10.74,LB,Landfill Gas
CA,"1,1,2,2-Tetrachloroethane",12.3554,LB,Landfill Gas
CT,"1,1,2,2-Tetrachloroethane",10.11608,LB,Landfill Gas
ME,"1,1,2,2-Tetrachloroethane",4,LB,Landfill Gas
MN,"1,1,2,2-Tetrachloroethane",20.4776,LB,Landfill Gas
MS,"1,1,2,2-Tetrachloroethane",0.4,LB,Landfill Gas
NC,"1,1,2,2-Tetrachloroethane",8.8841024,LB,Landfill Gas
NJ,"1,1,2,2-Tetrachloroethane",77.03,LB,Landfill Gas
NY,"1,1,2,2-Tetrachloroethane",53.59,LB,Landfill Gas
OR,"1,1,2,2-Tetrachloroethane",6.1920344,LB,Landfill Gas
SC,"1,1,2,2-Tetrachloroethane",39.04,LB,Landfill Gas
NC,"1,1,2,2-Tetrachloroethane",16.89,LB,Landfill Gas
WI,"1,2-Dibromo-3-Chloropropane",5.274,LB,"Subbituminous Coal, Pulverized"
MN,"1,2-Epoxybutane",1.2648,LB,"Subbituminous Coal, Pulverized"
MS,"1,2,4-Trichlorobenzene",42,LB,"Anthracite Coal, Pulverized"
AL,"1,2,4-Trichlorobenzene",0,LB,"Bituminous Coal, Pulverized"
KY,"1,2,4-Trichlorobenzene",106.9,LB,"Bituminous Coal, Pulverized"
NC,"1,2,4-Trichlorobenzene",139.0212,LB,"Bituminous Coal, Pulverized"
TN,"1,2,4-Trichlorobenzene",27.592,LB,"Bituminous Coal, Pulverized"
TN,"1,2,4-Trichlorobenzene",52.15811,LB,Bituminous Coal
KY,"1,2,4-Trichlorobenzene",81.92,LB,"Bituminous Coal, Pulverized"
NC,"1,2,4-Trichlorobenzene",179.5,LB,"Bituminous Coal, Pulverized"
TN,"1,2,4-Trichlorobenzene",216.1,LB,"Bituminous Coal, Pulverized"
NC,"1,2,4-Trichlorobenzene",219.346,LB,Bituminous Coal
TN,"1,2,4-Trichlorobenzene",201.62,LB,Bituminous Coal
AL,"1,2,4-Trichlorobenzene",345.2,LB,"Subbituminous Coal, Pulverized"
MN,"1,2,4-Trichlorobenzene",212.19,LB,"Subbituminous Coal, Pulverized"
WY,"1,2,4-Trichlorobenzene",90,LB,"Subbituminous Coal, Pulverized"
MN,"1,2,4-Trichlorobenzene",49.12,LB,Subbituminous Coal
MS,"1,2,4-Trichlorobenzene",19,LB,Subbituminous Coal
TN,"1,2,4-Trichlorobenzene",21.4237,LB,Subbituminous Coal
MN,"1,2,4-Trichlorobenzene",138.817,LB,"Subbituminous Coal, Pulverized"
OK,"1,2,4-Trichlorobenzene",252,LB,"Subbituminous Coal, Pulverized"
