Region,Demand,Description,Units,MARKAL Tech,Class,Electrification,Fuel,Vintage,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
1,TL,Light duty vehicles,bn-vmt,TLCCNG10,Compact car,,CNG,2010,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLCCONV10,Compact car,,GSL,2010,0,7.23,16.34,26.52,33.4,37.74,41.25,42.83,44.1,45.66,47.05
1,TL,Light duty vehicles,bn-vmt,TLCDSL10,Compact car,,DSL,2010,0,0,0.23,0.45,0.59,0.83,0.86,0.87,0.89,0.9,0.92
1,TL,Light duty vehicles,bn-vmt,TLECGSL,Compact car,,GSL,Existing,46.8,32.76,19.19,7.49,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLECNGX,Miscl,,CNG,Existing,0.47,0.33,0.19,0.08,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLEELC,Miscl,Electric,ELC,Existing,0.07,0.05,0.03,0.01,0.01,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLEETHX,Miscl,,E85,Existing,0.06,0.04,0.03,0.01,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLEFDSL,Full size car,,DSL,Existing,0.62,0.44,0.26,0.1,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLEFGSL,Full size car,,GSL,Existing,37.4,26.18,15.33,5.98,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLELPGX,Miscl,,LPG,Existing,0.63,0.44,0.26,0.1,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLELSGSL,Large SUV,,GSL,Existing,8.03,5.63,3.3,1.29,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLEMCGSL,Mini car,,GSL,Existing,2.77,1.94,1.14,0.44,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLEMGSL,Minivan,,GSL,Existing,16.02,11.21,6.57,2.56,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLEPDSL,Pickup,,DSL,Existing,0.33,0.23,0.13,0.05,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLEPGSL,Pickup,,GSL,Existing,19.63,13.74,8.05,3.14,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLESSGSL,Small SUV,,GSL,Existing,9.43,6.6,3.87,1.51,0,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLFCONV10,Full size car,,GSL,2010,0,9.7,21.05,31.69,38.89,41.29,43.07,44.59,45.81,47.18,48.44
1,TL,Light duty vehicles,bn-vmt,TLFDSL10,Full size car,,DSL,2010,0,0.21,0.21,0.21,0.21,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLFHEV10,Full size car,Hybrid,Hybrid GSL,2010,0,0.84,0.84,0.84,0.84,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLLSCONV10,Large SUV,,GSL,2010,0,5.41,10.49,14.64,17.31,16.17,15.57,15.45,15.48,15.41,15.41
1,TL,Light duty vehicles,bn-vmt,TLMCCONV10,Mini car,,GSL,2010,0,0.64,1.15,1.47,1.68,1.39,1.27,1.32,1.36,1.4,1.45
1,TL,Light duty vehicles,bn-vmt,TLMCONV10,Minivan,,GSL,2010,0,2.15,2.15,3.87,4.97,4.59,6.46,6.43,6.45,6.43,6.43
1,TL,Light duty vehicles,bn-vmt,TLMDHEV15,Minivan,Hybrid,Hybrid DSL,2015,0,0,1.65,1.65,1.65,1.65,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLMP20G10,Minivan,Plugin-20mi,PH20G,2010,0,0,0.41,0.41,0.41,0.41,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLPCNG10,Pickup,,CNG,2010,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLPCONV10,Pickup,,GSL,2010,0,4.62,9.84,14.67,17.79,18.17,18.2,18.09,18.14,18.06,18.05
1,TL,Light duty vehicles,bn-vmt,TLPDSL10,Pickup,,DSL,2010,0,0.37,0.37,0.37,0.37,0,0,0,0,0,0
1,TL,Light duty vehicles,bn-vmt,TLSSCONV10,Small SUV,,GSL,2010,0,6.45,13.27,19.94,24.23,24.6,24.95,24.71,24.74,24.58,24.54
1,TL,Light duty vehicles,bn-vmt,TLSSDSL10,Small SUV,,DSL,2010,0,0,0.4,0.79,1.04,1.46,1.51,1.53,1.56,1.59,1.61
1,TL,Light duty vehicles,bn-vmt,TLSSHEV10,Small SUV,Hybrid,Hybrid GSL,2010,0,0.12,0.12,0.12,0.12,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLCCNG10,Compact car,,CNG,2010,0,0.04,0.04,0.04,0.04,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLCCONV10,Compact car,,GSL,2010,0,14.75,33.42,54.33,66.53,74.76,81.29,83.76,87.27,89.61,91.65
2,TL,Light duty vehicles,bn-vmt,TLCDSL10,Compact car,,DSL,2010,0,0,0.53,1.03,1.36,1.9,1.94,1.96,1.98,1.99,2.01
2,TL,Light duty vehicles,bn-vmt,TLCELC,Compact car,Electric,ELC,Future,0,0,0,0,1.69,1.69,1.69,1.69,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLECGSL,Compact car,,GSL,Existing,98.9,69.23,40.55,15.82,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLECNGX,Miscl,,CNG,Existing,1.15,0.8,0.47,0.18,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLEELC,Miscl,Electric,ELC,Existing,0.03,0.02,0.01,0.01,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLEETHX,Miscl,,E85,Existing,0.54,0.38,0.22,0.09,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLEFDSL,Full size car,,DSL,Existing,1.32,0.92,0.54,0.21,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLEFGSL,Full size car,,GSL,Existing,79.03,55.32,32.4,12.65,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLELPGX,Miscl,,LPG,Existing,0.76,0.54,0.31,0.12,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLELSGSL,Large SUV,,GSL,Existing,19.77,13.87,8.12,3.17,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLEMCGSL,Mini car,,GSL,Existing,5.86,4.1,2.4,0.94,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLEMGSL,Minivan,,GSL,Existing,35.38,24.77,14.51,5.66,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLEPDSL,Pickup,,DSL,Existing,0.57,0.4,0.23,0.09,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLEPGSL,Pickup,,GSL,Existing,34.08,23.86,13.97,5.45,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLESSGSL,Small SUV,,GSL,Existing,23.26,16.28,9.54,3.72,0,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLFCONV10,Full size car,,GSL,2010,0,19.72,43.06,64.97,79.53,83.91,86.86,89.2,90.87,92.84,94.59
2,TL,Light duty vehicles,bn-vmt,TLFDSL10,Full size car,,DSL,2010,0,0.49,0.49,0.49,0.49,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLFHEV10,Full size car,Hybrid,GSL,2010,0,1.7,1.7,1.7,1.7,0,0,0,0,0,0
2,TL,Light duty vehicles,bn-vmt,TLLSCONV10,Large SUV,,GSL,2010,0,11.02,21.38,29.76,35.06,32.36,30.81,30.31,30.13,29.76,29.52
