Region,Technology,Fuel,2005Vintage,PHEV,Emission,2005,2010
R1,TBCNGC,CNG,no,no,BC,0,0
R1,TBCNGE,CNG,yes,no,BC,0,0
R1,TBDSLC,DSL,no,no,BC,0,0
R1,TBDSLC10,DSL,no,no,BC,0,0.026
R1,TBDSLE,DSL,yes,no,BC,0.16,0.077
R1,TBGSLE,GSL,yes,no,BC,0,0
R1,TCDSLC,DSL,no,no,BC,0,0
R1,TCDSLC10,DSL,no,no,BC,0,0.09
R1,TCDSLE,DSL,yes,no,BC,0.95,0.489
R1,TCE85C,E85,no,no,BC,0,0
R1,TCGSLC,GSL,no,no,BC,0,0
R1,TCGSLC10,GSL,no,no,BC,0,0.002
R1,TCGSLE,GSL,yes,no,BC,0.043,0.022
R1,THLB20C,B20,no,no,BC,0,0
R1,THLDSLC,DSL,no,no,BC,0,0
R1,THLDSLC10,DSL,no,no,BC,0,0.329
R1,THLDSLE,DSL,yes,no,BC,2.194,1.092
R1,THSCNGC10,CNG,no,no,BC,0,0
R1,THSCNGE,CNG,yes,no,BC,0,0
R1,THSDSLC,DSL,no,no,BC,0,0
R1,THSDSLC10,DSL,no,no,BC,0,0.529
R1,THSDSLE,DSL,yes,no,BC,5.134,2.388
R1,THSGSLE,GSL,yes,no,BC,0.001,0
R1,THSLPGE,Other,yes,no,BC,0,0
R1,TLCCNG10,CNG,no,no,BC,0,0
R1,TLCCONV10,GSL,no,no,BC,0,0.016
R1,TLCDSL10,DSL,no,no,BC,0,0
R1,TLCHEV10,Other,no,no,BC,0,0.002
R1,TLECGSL,GSL,yes,no,BC,0.247,0.107
R1,TLECNGX,CNG,yes,no,BC,0.002,0.001
R1,TLEELC,Other,yes,no,BC,0,0
R1,TLEETHX,ETH,yes,no,BC,0,0
R1,TLEFDSL,DSL,yes,no,BC,0.002,0.001
R1,TLEFGSL,GSL,yes,no,BC,0.197,0.085
R1,TLELPGX,Other,yes,no,BC,0.003,0.001
R1,TLELSGSL,GSL,yes,no,BC,0.051,0.024
R1,TLEMCGSL,GSL,yes,no,BC,0.015,0.006
R1,TLEMGSL,GSL,yes,no,BC,0.102,0.049
R1,TLEPDSL,DSL,yes,no,BC,0.058,0.031
R1,TLEPGSL,GSL,yes,no,BC,0.125,0.06
R1,TLESSGSL,GSL,yes,no,BC,0.06,0.029
R1,TLFCONV10,GSL,no,no,BC,0,0.026
R1,TLFDSL10,DSL,no,no,BC,0,0
R1,TLLSCONV10,GSL,no,no,BC,0,0.018
R1,TLMCCONV10,GSL,no,no,BC,0,0.002
R1,TLMCONV10,GSL,no,no,BC,0,0.007
R1,TLMP20G10,Other,no,20-mi,BC,0,0
R1,TLPCNG10,CNG,no,no,BC,0,0
R1,TLPCONV10,GSL,no,no,BC,0,0.015
R1,TLPDSL10,DSL,no,no,BC,0,0.039
R1,TLSSCONV10,GSL,no,no,BC,0,0.021
R1,TLSSDSL10,DSL,no,no,BC,0,0
R1,TLSSHEV10,Other,no,no,BC,0,0
R1,TMCNGC,CNG,no,no,BC,0,0
R1,TMCNGC10,CNG,no,no,BC,0,0.001
R1,TMCNGE,CNG,yes,no,BC,0,0
R1,TMDSLC,DSL,no,no,BC,0,0
R1,TMDSLC10,DSL,no,no,BC,0,0.321
R1,TMDSLE,DSL,yes,no,BC,1.43,0.69
R1,TMGSLC,GSL,no,no,BC,0,0
R1,TMGSLC10,GSL,no,no,BC,0,0.005
R1,TMGSLE,GSL,yes,no,BC,0.017,0.009
R1,TMLPGC,Other,no,no,BC,0,0
R1,TMLPGC10,Other,no,no,BC,0,0
R1,TMLPGE,Other,yes,no,BC,0,0
R2,TBCNGC,CNG,no,no,BC,0,0
R2,TBCNGE,CNG,yes,no,BC,0.002,0.001
R2,TBDSLC,DSL,no,no,BC,0,0
R2,TBDSLC10,DSL,no,no,BC,0,0.116
R2,TBDSLE,DSL,yes,no,BC,0.715,0.344
R2,TBGSLE,GSL,yes,no,BC,0.001,0.001
R2,TCDSLC,DSL,no,no,BC,0,0
R2,TCDSLE,DSL,yes,no,BC,0.655,0.33
R2,TCE85C,E85,no,no,BC,0,0
R2,TCGSLC,GSL,no,no,BC,0,0
R2,TCGSLC10,GSL,no,no,BC,0,0.003
