Scenario,State,State_FIPS,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
SSP1,Alabama,1000,4878787,5228797,5581001,5895633,6160178,6403795,6620354,6767613,6784161,6667568
SSP1,Alaska,2000,584635,622646,661201,696647,727951,757158,771705,790972,795893,787335
SSP1,Arizona,4000,5635914,6149149,6677107,7175653,7622599,8044824,8430928,8727922,8852156,8796277
SSP1,Arkansas,5000,2926507,3119714,3312885,3482181,3621170,3748036,3859570,3931339,3928003,3849460
SSP1,California,6000,37374701,40961064,44666766,48194707,51401695,54438659,57229810,59414632,60445662,60233194
SSP1,Colorado,8000,4744153,5159650,5586449,5987275,6346073,6683962,6992988,7228656,7325023,7274843
SSP1,Connecticut,9000,3735132,4074477,4423510,4752403,5047888,5326603,5581495,5777529,5861938,5827175
SSP1,Delaware,10000,849341,924129,1000907,1072765,1136797,1197064,1252032,1293699,1310105,1299730
SSP1,District of Columbia,11000,622314,686327,752787,816645,875271,931029,982479,1023345,1044023,1042730
SSP1,Florida,12000,17311123,18857614,20448615,21951886,23306712,24585360,25756300,26662158,27066467,26933106
SSP1,Georgia,13000,9045276,9773752,10515609,11196949,11790569,12344637,12844939,13209761,13317186,13156875
SSP1,Hawaii,15000,1288896,1391742,1496873,1595062,1682284,1764266,1838879,1895485,1917962,1904158
SSP1,Idaho,16000,1416593,1524083,1633378,1732344,1818010,1897319,1968379,2019622,2031484,2004291
SSP1,Illinois,17000,13703821,14931387,16194453,17384797,18454439,19463589,20386455,21096489,21401641,21275276
SSP1,Indiana,18000,6707959,7255467,7813387,8326924,8775680,9194749,9573692,9851572,9937937,9824587
SSP1,Iowa,19000,3206302,3437392,3670394,3878221,4053497,4214726,4358340,4456221,4468776,4393604
SSP1,Kansas,20000,2946536,3180163,3417942,3634801,3822798,3997725,4155321,4268741,4298684,4242297
SSP1,Kentucky,21000,4432438,4744840,5058642,5337559,5570604,5784619,5974171,6101526,6111008,6001232
SSP1,Louisiana,22000,4897426,5275653,5659869,6011510,6316910,6601257,6857732,7043923,7097667,7013560
SSP1,Maine,23000,1370542,1454329,1537317,1608469,1665273,1716422,1760422,1786485,1778792,1737941
SSP1,Maryland,24000,5818841,6358987,6915698,7442000,7916476,8364859,8775641,9093127,9233001,9182914
SSP1,Massachusetts,25000,6943118,7597607,8272710,8913802,9495016,10044749,10549237,10943021,11126838,11084654
SSP1,Michigan,26000,10914200,11812083,12728659,13576476,14322459,15020910,15652924,16120173,16276535,16107248
SSP1,Minnesota,27000,5397040,5815856,6240652,6630467,6969391,7285259,7569791,7777134,7838863,7748917
SSP1,Mississippi,28000,3109745,3310830,3510892,3684802,3825680,3953443,4065083,4134642,4125276,4037171
SSP1,Missouri,29000,6185219,6683130,7189927,7654657,8058769,8435636,8775596,9022903,9094677,8983511
SSP1,Montana,30000,971682,1032280,1092373,1143424,1185604,1222090,1255478,1274920,1270781,1246983
SSP1,Nebraska,31000,1886613,2036226,2188761,2327108,2447830,2559496,2660273,2732553,2752095,2716253
SSP1,Nevada,32000,2202125,2402786,2610021,2805290,2981497,3147287,3300002,3417307,3467831,3449433
SSP1,New Hampshire,33000,1356666,1452025,1547769,1632995,1704320,1769933,1828020,1867273,1870819,1838128
SSP1,New Jersey,34000,9232098,10088168,10971246,11810451,12571964,13292583,13954149,14471399,14714972,14663317
SSP1,New Mexico,35000,1999788,2154693,2312948,2456291,2581049,2696282,2800374,2874974,2894265,2858765
SSP1,New York,36000,20684455,22544658,24457560,26261829,27884923,29416245,30816492,31895184,32365190,32184766
SSP1,North Carolina,37000,8819346,9485860,10160677,10771538,11294280,11778986,12213229,12519469,12582892,12396733
SSP1,North Dakota,38000,690171,736126,782291,822603,856841,887734,915316,932950,933071,916797
SSP1,Ohio,39000,12496685,13565536,14660232,15680107,16584107,17433051,18205217,18785898,19002776,18836280
SSP1,Oklahoma,40000,3799140,4085992,4376524,4639509,4864763,5073463,5260913,5393163,5420740,5340728
SSP1,Oregon,41000,3759210,4074049,4395748,4694833,4959473,5207717,5433454,5602145,5662979,5612021
SSP1,Pennsylvania,42000,13555317,14690519,15849878,16923807,17869337,18754669,19557645,20154738,20361346,20158352
SSP1,Rhode Island,44000,1133682,1239344,1348289,1451449,1544647,1632755,1713526,1776204,1804472,1795849
SSP1,South Carolina,45000,4394185,4730337,5071040,5380575,5646767,5893984,6115890,6273944,6310868,6222958
SSP1,South Dakota,46000,820890,873135,925086,969180,1005982,1039059,1067650,1084807,1080238,1057588
SSP1,Tennessee,47000,6254265,6735751,7224132,7669101,8052987,8409815,8730803,8960756,9018098,8897058
SSP1,Texas,48000,22868839,24913650,27008708,28967395,30713232,32352375,33844719,34977848,35426633,35152901
SSP1,Utah,49000,2453975,2663653,2880012,3082087,3263142,3432675,3588391,3707476,3756011,3732302
SSP1,Vermont,50000,664869,699663,733423,760741,780857,798227,812419,818448,809208,785253
SSP1,Virginia,51000,7777294,8418232,9072634,9677285,10208162,10704997,11155139,11487926,11597750,11474272
SSP1,Washington,53000,6439058,6993931,7563547,8097523,8575170,9024698,9435042,9748243,9877037,9809089
SSP1,West Virginia,54000,1981616,2102033,2221077,2322782,2403117,2475279,2537523,2573847,2561436,2500858
SSP1,Wisconsin,55000,5861125,6287675,6719489,7111511,7448310,7760836,8041224,8240716,8287026,8174898
SSP1,Wyoming,56000,532912,572377,612276,646594,676908,702825,728090,743163,746257,736913
SSP2,Alabama,1000,4879341,5212193,5535659,5801754,6014447,6222869,6404409,6516371,6554921,6536790
SSP2,Alaska,2000,584669,621153,656834,687884,714388,740304,751326,766005,774497,775232
SSP2,Arizona,4000,5635693,6131636,6629748,7075339,7464567,7844552,8186498,8437565,8589553,8654180
SSP2,Arkansas,5000,2926954,3109899,3285714,3426003,3534250,3640447,3732000,3783318,3793325,3772150
SSP2,California,6000,37370531,40845316,44357657,47546607,50372771,53130496,55633027,57515125,58704428,59300872
SSP2,Colorado,8000,4744058,5144835,5546778,5903875,6214087,6517602,6791254,6989700,7108004,7155544
SSP2,Connecticut,9000,3735037,4063108,4392361,4686771,4943987,5195015,5421612,5588103,5688169,5732567
