# Map USGS basins to states,,,
state,basin,fraction,row
AK,Alaska North Slope,1,1
AK,Central Alaska,1,2
AK,Southern Alaska,1,3
WA,Western Oregon-Wash.,0.5,1
WA,Eastern Oregon-Wash.,0.5,2
OR,Western Oregon-Wash.,0.5,1
OR,Eastern Oregon-Wash.,0.5,2
CA,Northern Coastal,1,1
CA,Sonoma-Livermore,1,2
CA,Sacramento Basin,1,3
CA,San Joaquin Basin,1,4
CA,Central Coastal,1,5
CA,Santa Maria Basin,1,6
CA,Ventura Basin,1,7
CA,Los Angeles Basin,1,8
CA,Western Great Basin,1,9
WY,Wind River Basin,1,1
WY,"Hanna, Laramie, Shirley",1,2
WY,Williston Basin,0.5,3
WY,Powder River Basin,0.75,4
WY,Big Horn Basin,1,5
WY,Wyoming Thrust Belt,0.75,6
WY,Southwestern Wyoming,0.75,7
TX,Marathon Thrust Belt,1,1
TX,Permian Basin,0.9,2
TX,Bend Arch-Ft. Worth Basin,0.9,3
TX,Palo Duro Basin,1,4
TX,Gulf Coast,0.6,5
ID,Idaho-Snake River Downwarp,1,1
MT,Montana Thrust Belt,1,1
MT,Central Montana,1,2
MT,Southwest Montana,1,3
MT,Powder River Basin,0.25,4
NV,Eastern Great Basin,1,1
CO,Park Basins,1,1
CO,Denver Basin,1,2
CO,Las Animas Arch,1,3
CO,Uinta-Piceance Basin,0.5,4
CO,Paradox Basin,0.25,5
CO,Southwestern Wyoming,0.25,6
CO,Raton Basin-Sierra Grande Uplift,1,7
CO,Anadarko Basin,1,8
CO,San Juan Basin,0.5,9
ND,Williston Basin,0.5,1
NM,South-Central New Mexico,1,1
NM,Paradox Basin,0.25,2
NM,Permian Basin,0.1,3
NM,San Juan Basin,0.5,4
AZ,Northern Arizona,1,1
AZ,Paradox Basin,0.25,2
AZ,Albuquerque-Sante Fe Rift,1,3
AZ,S. Ariz.-S.W. New Mexico,1,4
UT,Uinta-Piceance Basin,0.5,1
UT,Wyoming Thrust Belt,0.25,2
UT,Paradox Basin,0.25,3
OK,Bend Arch-Ft. Worth Basin,0.1,1
OK,Southern Oklahoma,1,2
OK,Nemaha Uplift,0.5,3
OK,Cherokee Platform,0.33,4
OK,Arkoma Basin,0.33,5
FL,Florida Peninsula,1,1
LA,Gulf Coast,0.2,1
MS,Gulf Coast,0.2,1
MS,Black Warrior Basin,0.5,2
MI,Superior,1,1
MI,Michigan Basin,0.5,2
KS,Cambridge Arch-Central Kansas,0.5,1
KS,Forest City Basin,0.5,2
KS,Sedgwick Basin/Salina Basin,0.5,3
KS,Cherokee Platform,0.33,4
NE,Cambridge Arch-Central Kansas,0.5,1
NE,Nemaha Uplift,0.5,2
NE,Sedgwick Basin/Salina Basin,0.5,3
MO,Forest City Basin,0.5,1
MO,Cherokee Platform,0.34,2
AR,Arkoma Basin,0.67,1
OH,Michigan Basin,0.25,1
OH,Appalachian Basin,0.1,2
OH,Cincinnati Arch,1,3
OH,Utica Shale,0.1,4
NY,Michigan Basin,0.125,1
NY,Appalachian Basin,0.2,2
NY,Utica Shale,0.2,3
PA,Michigan Basin,0.125,1
PA,Utica Shale,0.6,2
PA,Marcellus Shale,0.5,3
PA,Appalachian Basin,0.3,4
IL,Illinois Basin,0.7,1
IN,Illinois Basin,0.15,1
AL,Black Warrior Basin,0.5,1
AL,Blue Ridge Thrust Belt,1,2
AL,Piedmont,1,3
WV,Utica Shale,0.1,1
WV,Appalachian Basin,0.2,2
WV,Marcellus Shale,0.2,3
VA,Marcellus Shale,0.3,1
KY,Illinois Basin,0.15,1
KY,Appalachian Basin,0.2,2
