"# This file is created for GCAM-USA only, to implement unlimited water supply for global GCAM, this file may not be needed.",,,,,,,
region,unlimited.resource,output.unit,price.unit,market,capacity.factor,1972,2010
AK,water consumption,km^3,1975$/m^3,AK,1,0.00000001,0.00000001
AK,water withdrawals,km^3,1975$/m^3,AK,1,0.00000001,0.00000001
AL,water consumption,km^3,1975$/m^3,AL,1,0.00000001,0.00000001
AL,water withdrawals,km^3,1975$/m^3,AL,1,0.00000001,0.00000001
AR,water consumption,km^3,1975$/m^3,AR,1,0.00000001,0.00000001
AR,water withdrawals,km^3,1975$/m^3,AR,1,0.00000001,0.00000001
AZ,water consumption,km^3,1975$/m^3,AZ,1,0.00000001,0.00000001
AZ,water withdrawals,km^3,1975$/m^3,AZ,1,0.00000001,0.00000001
CA,water consumption,km^3,1975$/m^3,CA,1,0.00000001,0.00000001
CA,water withdrawals,km^3,1975$/m^3,CA,1,0.00000001,0.00000001
CO,water consumption,km^3,1975$/m^3,CO,1,0.00000001,0.00000001
CO,water withdrawals,km^3,1975$/m^3,CO,1,0.00000001,0.00000001
CT,water consumption,km^3,1975$/m^3,CT,1,0.00000001,0.00000001
CT,water withdrawals,km^3,1975$/m^3,CT,1,0.00000001,0.00000001
DC,water consumption,km^3,1975$/m^3,DC,1,0.00000001,0.00000001
DC,water withdrawals,km^3,1975$/m^3,DC,1,0.00000001,0.00000001
DE,water consumption,km^3,1975$/m^3,DE,1,0.00000001,0.00000001
DE,water withdrawals,km^3,1975$/m^3,DE,1,0.00000001,0.00000001
FL,water consumption,km^3,1975$/m^3,FL,1,0.00000001,0.00000001
FL,water withdrawals,km^3,1975$/m^3,FL,1,0.00000001,0.00000001
GA,water consumption,km^3,1975$/m^3,GA,1,0.00000001,0.00000001
GA,water withdrawals,km^3,1975$/m^3,GA,1,0.00000001,0.00000001
HI,water consumption,km^3,1975$/m^3,HI,1,0.00000001,0.00000001
HI,water withdrawals,km^3,1975$/m^3,HI,1,0.00000001,0.00000001
IA,water consumption,km^3,1975$/m^3,IA,1,0.00000001,0.00000001
IA,water withdrawals,km^3,1975$/m^3,IA,1,0.00000001,0.00000001
ID,water consumption,km^3,1975$/m^3,ID,1,0.00000001,0.00000001
