"BA","PV.class","CF"
"p1","class1",0.139413140274429
"p1","class2",0.151545060688014
"p1","class3",0.169416405297717
"p1","class4",0.201367263280479
"p1","class5",0.209151097926712
"p10","class5",0.22206229586758
"p10","class6",0.233724094149087
"p10","class7",0.254622981940068
"p10","class8",0.277268451856073
"p10","class9",0.2886423487879
"p100","class4",0.191689048607991
"p101","class5",0.207973927941324
"p101","class6",0.220779071690205
"p102","class5",0.208447846984486
"p102","class6",0.218899976850905
"p103","class3",0.175927210259931
"p103","class4",0.189643301572945
"p104","class3",0.17240168215274
"p105","class3",0.17825255102911
"p105","class4",0.183301230447831
"p106","class3",0.183841646593265
"p106","class4",0.183841646593265
"p107","class3",0.179928579156621
"p107","class4",0.187426972525571
"p108","class4",0.191113013249886
"p109","class4",0.183417769300034
"p11","class6",0.22214587396895
"p11","class7",0.251902236565525
"p11","class8",0.273548975977854
"p110","class4",0.179340467985731
"p111","class3",0.171906535481279
"p112","class3",0.175563297680251
"p112","class4",0.179595471255708
"p113","class3",0.179009321977055
"p113","class4",0.180931466363973
"p114","class4",0.182843999128539
"p115","class3",0.172566686372489
"p116","class3",0.176715125947146
"p116","class4",0.18451895453024
"p117","class3",0.17546847813105
"p117","class4",0.179667390157454
"p118","class4",0.192639271975342
"p118","class5",0.201341004947032
"p119","class3",0.17671301205468
"p12","class4",0.211592047479795
"p12","class5",0.229419641750799
"p12","class6",0.245344031641781
"p12","class7",0.264528253892694
"p12","class8",0.280845475879979
"p120","class3",0.1782211221371
"p120","class4",0.183061831147032
"p121","class3",0.178638313150685
"p121","class4",0.185869530515753
"p122","class2",0.159587941407991
"p122","class3",0.175314783171507
"p122","class4",0.186148722443265
"p123","class4",0.195095688324315
"p123","class5",0.201777768391553
"p124","class4",0.201718087323744
"p124","class5",0.203900453290525
"p125","class4",0.197159884422603
"p126","class3",0.176765511978425
"p126","class4",0.191986356573174
"p127","class2",0.158971968471233
"p127","class3",0.17559036479258
"p127","class4",0.184598936024658
"p128","class4",0.188968812232991
"p129","class2",0.164129321957534
"p129","class3",0.176345694655365
"p129","class4",0.176345694655365
"p13","class7",0.262658009683219
"p13","class8",0.272924339130708
"p130","class3",0.178533094899315
"p130","class4",0.186760182006963
"p131","class3",0.180828408490068
"p131","class4",0.185456910234589
"p132","class3",0.18147185102226
"p132","class4",0.186057590002169
"p133","class4",0.186979132488813
"p134","class3",0.181017725513584
"p134","class4",0.187479207849886
"p14","class2",0.184289414826941
"p14","class3",0.184289414826941
"p14","class4",0.191973930867021
"p15","class3",0.186812449365742
"p15","class4",0.203790529913014
"p15","class5",0.226029133641872
"p15","class6",0.233692727628653
"p16","class3",0.193257829171461
"p16","class4",0.207243109515183
"p16","class5",0.22025038232363
"p16","class6",0.234837168319863
"p17","class3",0.185578430853425
"p17","class4",0.201195088604224
