EIA_sector,EIA_service,service
Residential,Space Heating,resid heating
Residential,Space Cooling,resid cooling
Residential,Water Heating,resid hot water
Residential,Refrigeration,resid refrigerators
Residential,Cooking,resid cooking
Residential,Clothes Dryers,resid clothes dryers
Residential,Freezers,resid freezers
Residential,Lighting,resid lighting
Residential,Clothes Washers,resid clothes washers
Residential,Dishwashers,resid dishwashers
Residential,Color Televisions,resid televisions
Residential,Personal Computers,resid computers
Residential,Furnace Fans,resid furnace fans
Residential,Other Uses,resid other
