SCC_Level_Three,GCAM_fuel
"Bituminous Coal, Pulverized",coal
Bituminous Coal,coal
"Subbituminous Coal, Pulverized",coal
Residual Oil - Grade 6,refined liquids
Process Gas,gas
Bagasse,biomass
Other Oil,refined liquids
Natural Gas,gas
Landfill Gas,gas
Distillate Oil (Diesel),refined liquids
"Anthracite Coal, Pulverized",coal
Subbituminous Coal,coal
Distillate Oil - Grades 1 and 2,refined liquids
Distillate Oil - Grade 4,refined liquids
Wood/Bark Waste,biomass
Kerosene/Naphtha (Jet Fuel),refined liquids
Pulverized Lignite,coal
Lignite,coal
Petroleum Coke,refined liquids
Liquified Petroleum Gas (LPG),refined liquids
Solid Waste,biomass
Liquid Waste,refined liquids
Biomass Solids,biomass
Gasified Coal,coal
Residual Oil,refined liquids
Petroleum Refinery Gas,gas
Methanol,refined liquids
Anthracite Coal,coal
