"sourceTypeModelYearID";"sourceTypeID";"modelYearID";"fuelTypeID";"engTechID";"regClassID";"stmyFuelEngFraction";"stmyFraction"
111980;11;1980;1;1;10;1.0;1.0
111981;11;1981;1;1;10;1.0;1.0
111982;11;1982;1;1;10;1.0;1.0
111983;11;1983;1;1;10;1.0;1.0
111984;11;1984;1;1;10;1.0;1.0
111985;11;1985;1;1;10;1.0;1.0
111986;11;1986;1;1;10;1.0;1.0
111987;11;1987;1;1;10;1.0;1.0
111988;11;1988;1;1;10;1.0;1.0
111989;11;1989;1;1;10;1.0;1.0
111990;11;1990;1;1;10;1.0;1.0
111991;11;1991;1;1;10;1.0;1.0
111992;11;1992;1;1;10;1.0;1.0
111993;11;1993;1;1;10;1.0;1.0
111994;11;1994;1;1;10;1.0;1.0
111995;11;1995;1;1;10;1.0;1.0
111996;11;1996;1;1;10;1.0;1.0
111997;11;1997;1;1;10;1.0;1.0
111998;11;1998;1;1;10;1.0;1.0
111999;11;1999;1;1;10;1.0;1.0
112000;11;2000;1;1;10;1.0;1.0
112001;11;2001;1;1;10;1.0;1.0
112002;11;2002;1;1;10;1.0;1.0
112003;11;2003;1;1;10;1.0;1.0
112004;11;2004;1;1;10;1.0;1.0
112005;11;2005;1;1;10;1.0;1.0
112006;11;2006;1;1;10;1.0;1.0
112007;11;2007;1;1;10;1.0;1.0
112008;11;2008;1;1;10;1.0;1.0
112009;11;2009;1;1;10;1.0;1.0
112010;11;2010;1;1;10;1.0;1.0
112011;11;2011;1;1;10;1.0;1.0
211982;21;1982;1;1;20;1.0;0.893278136078444
211982;21;1982;2;1;20;1.0;0.10672186392155597
211983;21;1983;1;1;20;1.0;0.9226834849154921
211983;21;1983;2;1;20;1.0;0.07731651508450786
211984;21;1984;1;1;20;1.0;0.9556461813247886
211984;21;1984;2;1;20;1.0;0.04435381867521138
211985;21;1985;1;1;20;1.0;0.9662509137496333
211985;21;1985;2;1;20;1.0;0.03374908625036664
211986;21;1986;1;1;20;1.0;0.9911176887707326
211986;21;1986;2;1;20;1.0;0.0088823112292674
211987;21;1987;1;1;20;1.0;0.9872330641047783
211987;21;1987;2;1;20;1.0;0.012766935895221761
211988;21;1988;1;1;20;1.0;0.9997400090373856
211988;21;1988;2;1;20;1.0;0.00025999096261446246
211989;21;1989;1;1;20;1.0;0.9990893613651661
211989;21;1989;2;1;20;1.0;0.0009106386348339074
211990;21;1990;1;1;20;1.0;0.9989359636226511
211990;21;1990;2;1;20;1.0;0.001064036377348828
211991;21;1991;1;1;20;1.0;0.9971766741556747
211991;21;1991;2;1;20;1.0;0.0028233258443252644
211992;21;1992;1;1;20;1.0;0.998834703027928
211992;21;1992;2;1;20;1.0;0.0011652969720720616
211993;21;1993;1;1;20;1.0;0.9993082761978291
211993;21;1993;2;1;20;1.0;0.0006917238021708641
211994;21;1994;1;1;20;1.0;0.9998498948848006
211994;21;1994;2;1;20;1.0;0.0001501051151994331
211995;21;1995;1;1;20;1.0;0.99905735966442
211995;21;1995;2;1;20;1.0;0.0009426403355799595
211996;21;1996;1;1;20;1.0;0.9987567763873473
211996;21;1996;2;1;20;1.0;0.0012432236126527281
211997;21;1997;1;1;20;1.0;0.9990926127517822
211997;21;1997;2;1;20;1.0;0.000907387248217776
211998;21;1998;1;1;20;1.0;0.9887740317169771
211998;21;1998;2;1;20;1.0;0.002207409980203068
211999;21;1999;1;1;20;1.0;0.981177293773463
211999;21;1999;2;1;20;1.0;0.0018786663385509741
212000;21;2000;1;1;20;1.0;0.9755423495739055
212000;21;2000;2;1;20;1.0;0.002573120223466974
212001;21;2001;1;1;20;1.0;0.9740278769914126
212001;21;2001;2;1;20;1.0;0.002976469199040689
212002;21;2002;1;1;20;1.0;0.9623217151645551
212002;21;2002;2;1;20;1.0;0.004305574874629379
212003;21;2003;1;1;20;1.0;0.9600663522467173
212003;21;2003;2;1;20;1.0;0.00392033466071874
212004;21;2004;1;1;20;1.0;0.9671517573771166
212004;21;2004;2;1;20;1.0;0.0031063934006683356
212005;21;2005;1;1;20;1.0;0.9648051988879733
212005;21;2005;2;1;20;1.0;0.004790385044573357
212006;21;2006;1;1;20;1.0;0.95876990454085
212006;21;2006;2;1;20;1.0;0.006891759269459193
212007;21;2007;1;1;20;1.0;0.9631213861401484
212007;21;2007;2;1;20;1.0;0.0003423316695205537
212008;21;2008;1;1;20;1.0;0.9487165092125156
212008;21;2008;2;1;20;1.0;0.0005335319668412099
212009;21;2009;1;1;20;1.0;0.9481591854232473
212009;21;2009;2;1;20;1.0;0.007367972471632622
212010;21;2010;1;1;20;1.0;0.9357906626832441
212010;21;2010;2;1;20;1.0;0.010122719897599232
212011;21;2011;1;1;20;1.0;0.9138433644944606
212011;21;2011;2;1;20;1.0;0.011745961714750184
311982;31;1982;1;1;30;0.9515035958352001;0.8969933675139558
622048;62;2048;2;1;46;0.041167339550604566;0.041167339550604566
622047;62;2047;2;1;46;0.041167339550604566;0.041167339550604566
311982;31;1982;2;1;30;0.8957564992327911;0.05131655992383126
311983;31;1983;1;1;30;0.9491643706152487;0.9224516932325949
622046;62;2046;2;1;46;0.041167339550604566;0.041167339550604566
622045;62;2045;2;1;46;0.041167339550604566;0.041167339550604566
311983;31;1983;2;1;30;0.8071474687836574;0.02271584416919018
622044;62;2044;2;1;46;0.041167339550604566;0.041167339550604566
311984;31;1984;1;1;30;0.9520273019558547;0.9319400645765314
622043;62;2043;2;1;46;0.041167339550604566;0.041167339550604566
311984;31;1984;2;1;30;0.7971908418851451;0.016820275683976076
622042;62;2042;2;1;46;0.041167339550604566;0.041167339550604566
311985;31;1985;1;1;30;0.9594702709535892;0.9445048522981727
622041;62;2041;2;1;46;0.041167339550604566;0.041167339550604566
311985;31;1985;2;1;30;0.7565117242994978;0.011799755567851952
311986;31;1986;1;1;30;0.9672742817151977;0.953581371613528
622040;62;2040;2;1;46;0.041167339550604566;0.041167339550604566
622039;62;2039;2;1;46;0.041167339550604566;0.041167339550604566
311986;31;1986;2;1;30;0.6979024643067734;0.00987963381652289
311987;31;1987;1;1;30;0.9814118142737673;0.9778892650090042
622038;62;2038;2;1;46;0.041167339550604566;0.041167339550604566
622037;62;2037;2;1;46;0.041167339550604566;0.041167339550604566
