"yearID";"sourceTypeID";"salesGrowthFactor";"sourceTypePopulation";"migrationrate"
1990;11;0.0;4281451.0;1.0
1999;11;0.0;4173869.0;1.0
2000;11;0.0;4367504.0;1.0
2001;11;0.0;4924889.0;1.0
2002;11;0.0;5025989.0;1.0
2003;11;0.0;5391868.0;1.0
2004;11;0.0;5812640.0;1.0
2005;11;0.0;6258916.0;1.0
2006;11;0.0;6770040.0;1.0
2007;11;0.0;7254341.0;1.0
2008;11;0.0;7868791.0;1.0
2009;11;0.0;8045589.0;1.0
2010;11;0.0;8125368.0;1.0
2011;11;0.0;8553367.0;1.0
2012;11;0.0;8571043.0;1.0
2013;11;0.0;8686925.0;1.0
2014;11;0.0;8706316.0;1.0
2015;11;0.0;8747306.0;1.0
2016;11;0.0;8844420.0;1.0
2017;11;0.0;8942539.0;1.0
2018;11;0.0;9018348.0;1.0
2019;11;0.0;9098157.0;1.0
2020;11;0.0;9178350.0;1.0
2021;11;0.0;9259502.0;1.0
2022;11;0.0;9336727.0;1.0
2023;11;0.0;9415834.0;1.0
2024;11;0.0;9498027.0;1.0
2025;11;0.0;9584965.0;1.0
2026;11;0.0;9679601.0;1.0
2027;11;0.0;9780504.0;1.0
2028;11;0.0;9888477.0;1.0
2029;11;0.0;9995869.0;1.0
2030;11;0.0;10103307.0;1.0
2031;11;0.0;10215035.0;1.0
2032;11;0.0;10328080.0;1.0
2033;11;0.0;10438582.0;1.0
2034;11;0.0;10538311.0;1.0
2035;11;0.0;10632881.0;1.0
2036;11;0.0;10724001.0;1.0
2037;11;0.0;10812942.0;1.0
2038;11;0.0;10900779.0;1.0
2039;11;0.0;10982934.0;1.0
2040;11;0.0;11054781.0;1.0
2041;11;0.0;11154734.0;1.0
2042;11;0.0;11255592.0;1.0
2043;11;0.0;11357362.0;1.0
2044;11;0.0;11460052.0;1.0
2045;11;0.0;11563670.0;1.0
2046;11;0.0;11668225.0;1.0
2047;11;0.0;11773725.0;1.0
2048;11;0.0;11880180.0;1.0
2049;11;0.0;11987597.0;1.0
2050;11;0.0;12095985.0;1.0
1990;21;0.0;145111798.0;1.0
1999;21;0.0;134480432.0;1.0
2000;21;0.0;135669808.0;1.0
2001;21;0.0;139708988.0;1.0
2002;21;0.0;137996198.0;1.0
2003;21;0.0;137745418.0;1.0
2004;21;0.0;138641649.0;1.0
2005;21;0.0;138779081.0;1.0
2006;21;0.0;137741765.0;1.0
2007;21;0.0;138353985.0;1.0
2008;21;0.0;139500898.0;1.0
2009;21;0.0;138742550.0;1.0
2010;21;0.0;133313295.0;1.0
2011;21;0.0;128077583.0;1.0
2012;21;0.0;128033293.0;1.0
2013;21;0.0;129764315.0;1.0
2014;21;0.0;130053980.0;1.0
2015;21;0.0;130666289.0;1.0
2016;21;0.0;132116958.0;1.0
2017;21;0.0;133582655.0;1.0
2018;21;0.0;134715083.0;1.0
2019;21;0.0;135907260.0;1.0
2020;21;0.0;137105167.0;1.0
2021;21;0.0;138317410.0;1.0
2022;21;0.0;139470983.0;1.0
2023;21;0.0;140652676.0;1.0
2024;21;0.0;141880476.0;1.0
2025;21;0.0;143179145.0;1.0
2026;21;0.0;144592806.0;1.0
2027;21;0.0;146100079.0;1.0
2028;21;0.0;147712963.0;1.0
2029;21;0.0;149317182.0;1.0
2030;21;0.0;150922082.0;1.0
2031;21;0.0;152591053.0;1.0
2032;21;0.0;154279713.0;1.0
2033;21;0.0;155930380.0;1.0
2034;21;0.0;157420124.0;1.0
2035;21;0.0;158832787.0;1.0
2036;21;0.0;160193930.0;1.0
2037;21;0.0;161522527.0;1.0
2038;21;0.0;162834616.0;1.0
2039;21;0.0;164061841.0;1.0
2040;21;0.0;165135081.0;1.0
2041;21;0.0;166628182.0;1.0
2042;21;0.0;168134782.0;1.0
2043;21;0.0;169655005.0;1.0
2044;21;0.0;171188973.0;1.0
2045;21;0.0;172736811.0;1.0
2046;21;0.0;174298644.0;1.0
2047;21;0.0;175874598.0;1.0
2048;21;0.0;177464802.0;1.0
2049;21;0.0;179069384.0;1.0
2050;21;0.0;180688474.0;1.0
1990;31;0.0;27700002.0;1.0
1999;31;0.0;55472043.0;1.0
2000;31;0.0;58930067.0;1.0
2001;31;0.0;62685437.0;1.0
2002;31;0.0;63789333.0;1.0
2003;31;0.0;65650691.0;1.0
2004;31;0.0;69860117.0;1.0
2005;31;0.0;72979985.0;1.0
2006;31;0.0;76320942.0;1.0
2007;31;0.0;78443406.0;1.0
2008;31;0.0;78596024.0;1.0
2009;31;0.0;79219480.0;1.0
2010;31;0.0;79640794.0;1.0
2011;31;0.0;87029786.0;1.0
2012;31;0.0;86859077.0;1.0
2013;31;0.0;87923912.0;1.0
2014;31;0.0;88013821.0;1.0
2015;31;0.0;88345150.0;1.0
2016;31;0.0;89258806.0;1.0
2017;31;0.0;90198031.0;1.0
2018;31;0.0;90933744.0;1.0
2019;31;0.0;91718360.0;1.0
2020;31;0.0;92512920.0;1.0
2021;31;0.0;93324101.0;1.0
2022;31;0.0;94098303.0;1.0
2023;31;0.0;94892489.0;1.0
2024;31;0.0;95724801.0;1.0
2025;31;0.0;96597678.0;1.0
2026;31;0.0;97557397.0;1.0
2027;31;0.0;98575055.0;1.0
2028;31;0.0;99663938.0;1.0
2029;31;0.0;100740786.0;1.0
2030;31;0.0;101823078.0;1.0
2031;31;0.0;102952180.0;1.0
2032;31;0.0;104097591.0;1.0
2033;31;0.0;105215777.0;1.0
2034;31;0.0;106224691.0;1.0
2035;31;0.0;107181150.0;1.0
2036;31;0.0;108102123.0;1.0
2037;31;0.0;109001062.0;1.0
2038;31;0.0;109887674.0;1.0
2039;31;0.0;110717088.0;1.0
2040;31;0.0;111441096.0;1.0
2041;31;0.0;112448588.0;1.0
2042;31;0.0;113466067.0;1.0
2043;31;0.0;114489859.0;1.0
2044;31;0.0;115523323.0;1.0
2045;31;0.0;116566587.0;1.0
2046;31;0.0;117619710.0;1.0
2047;31;0.0;118682703.0;1.0
2048;31;0.0;119755568.0;1.0
2049;31;0.0;120838314.0;1.0
2050;31;0.0;121930957.0;1.0
1990;32;0.0;9903130.0;1.0
1999;32;0.0;18532252.0;1.0
2000;32;0.0;19217042.0;1.0
2001;32;0.0;19947160.0;1.0
2002;32;0.0;19801171.0;1.0
2003;32;0.0;19873211.0;1.0
2004;32;0.0;20615562.0;1.0
2005;32;0.0;20987040.0;1.0
2006;32;0.0;21380115.0;1.0
2007;32;0.0;21397912.0;1.0
2008;32;0.0;20868245.0;1.0
2009;32;0.0;20464490.0;1.0
2010;32;0.0;20007471.0;1.0
2011;32;0.0;21252333.0;1.0
2012;32;0.0;21392620.0;1.0
2013;32;0.0;21791358.0;1.0
2014;32;0.0;21960188.0;1.0
2015;32;0.0;22167215.0;1.0
2016;32;0.0;22491593.0;1.0
2017;32;0.0;22803453.0;1.0
2018;32;0.0;23042540.0;1.0
2019;32;0.0;23279080.0;1.0
2020;32;0.0;23507663.0;1.0
2021;32;0.0;23730059.0;1.0
2022;32;0.0;23939242.0;1.0
2023;32;0.0;24150336.0;1.0
2024;32;0.0;24361181.0;1.0
2025;32;0.0;24591326.0;1.0
2026;32;0.0;24832532.0;1.0
2027;32;0.0;25091707.0;1.0
2028;32;0.0;25368052.0;1.0
2029;32;0.0;25649099.0;1.0
2030;32;0.0;25925279.0;1.0
2031;32;0.0;26208881.0;1.0
2032;32;0.0;26492841.0;1.0
2033;32;0.0;26771867.0;1.0
2034;32;0.0;27023949.0;1.0
2035;32;0.0;27263243.0;1.0
2036;32;0.0;27494412.0;1.0
2037;32;0.0;27720068.0;1.0
2038;32;0.0;27944077.0;1.0
2039;32;0.0;28153449.0;1.0
2040;32;0.0;28337888.0;1.0
2041;32;0.0;28594235.0;1.0
2042;32;0.0;28852021.0;1.0
2043;32;0.0;29115026.0;1.0
2044;32;0.0;29379992.0;1.0
2045;32;0.0;29646900.0;1.0
2046;32;0.0;29915793.0;1.0
2047;32;0.0;30186772.0;1.0
2048;32;0.0;30459938.0;1.0
2049;32;0.0;30735394.0;1.0
2050;32;0.0;31013234.0;1.0
1990;41;0.0;60305.0;1.0
1999;41;0.0;81436.0;1.0
2000;41;0.0;81013.0;1.0
2001;41;0.0;80932.0;1.0
2002;41;0.0;79199.0;1.0
2003;41;0.0;80897.0;1.0
2004;41;0.0;82910.0;1.0
2005;41;0.0;84821.0;1.0
2006;41;0.0;87713.0;1.0
2007;41;0.0;91269.0;1.0
2008;41;0.0;95602.0;1.0
2009;41;0.0;94330.0;1.0
2010;41;0.0;88619.0;1.0
2011;41;0.0;17570.0;1.0
2012;41;0.0;18484.0;1.0
2013;41;0.0;19272.0;1.0
2014;41;0.0;19857.0;1.0
2015;41;0.0;20714.0;1.0
2016;41;0.0;21574.0;1.0
2017;41;0.0;22164.0;1.0
2018;41;0.0;22565.0;1.0
2019;41;0.0;22962.0;1.0
2020;41;0.0;23361.0;1.0
2021;41;0.0;23829.0;1.0
2022;41;0.0;24325.0;1.0
2023;41;0.0;24812.0;1.0
2024;41;0.0;25248.0;1.0
2025;41;0.0;25684.0;1.0
2026;41;0.0;26124.0;1.0
2027;41;0.0;26509.0;1.0
2028;41;0.0;26853.0;1.0
2029;41;0.0;27187.0;1.0
2030;41;0.0;27535.0;1.0
2031;41;0.0;27864.0;1.0
2032;41;0.0;28113.0;1.0
2033;41;0.0;28420.0;1.0
2034;41;0.0;28803.0;1.0
2035;41;0.0;29188.0;1.0
2036;41;0.0;29576.0;1.0
2037;41;0.0;29983.0;1.0
2038;41;0.0;30373.0;1.0
2039;41;0.0;30755.0;1.0
2040;41;0.0;31161.0;1.0
2041;41;0.0;31552.0;1.0
2042;41;0.0;31935.0;1.0
2043;41;0.0;32341.0;1.0
2044;41;0.0;32752.0;1.0
2045;41;0.0;33169.0;1.0
2046;41;0.0;33590.0;1.0
2047;41;0.0;34017.0;1.0
2048;41;0.0;34449.0;1.0
2049;41;0.0;34886.0;1.0
2050;41;0.0;35328.0;1.0
1990;42;0.0;58988.0;1.0
1999;42;0.0;55966.0;1.0
2000;42;0.0;59738.0;1.0
2001;42;0.0;61422.0;1.0
2002;42;0.0;65091.0;1.0
2003;42;0.0;64883.0;1.0
2004;42;0.0;65459.0;1.0
2005;42;0.0;65175.0;1.0
2006;42;0.0;65685.0;1.0
2007;42;0.0;66686.0;1.0
2008;42;0.0;64685.0;1.0
2009;42;0.0;67299.0;1.0
2010;42;0.0;67537.0;1.0
2011;42;0.0;65532.0;1.0
2012;42;0.0;68939.0;1.0
2013;42;0.0;71863.0;1.0
2014;42;0.0;73911.0;1.0
2015;42;0.0;77065.0;1.0
2016;42;0.0;80256.0;1.0
2017;42;0.0;82468.0;1.0
2018;42;0.0;84020.0;1.0
2019;42;0.0;85516.0;1.0
2020;42;0.0;86942.0;1.0
2021;42;0.0;88472.0;1.0
2022;42;0.0;90168.0;1.0
2023;42;0.0;91837.0;1.0
2024;42;0.0;93353.0;1.0
2025;42;0.0;94904.0;1.0
2026;42;0.0;96543.0;1.0
2027;42;0.0;97781.0;1.0
2028;42;0.0;98845.0;1.0
2029;42;0.0;99939.0;1.0
2030;42;0.0;101372.0;1.0
2031;42;0.0;102784.0;1.0
2032;42;0.0;103704.0;1.0
2033;42;0.0;104913.0;1.0
2034;42;0.0;106438.0;1.0
2035;42;0.0;108009.0;1.0
2036;42;0.0;109491.0;1.0
2037;42;0.0;111202.0;1.0
2038;42;0.0;112696.0;1.0
2039;42;0.0;113990.0;1.0
2040;42;0.0;115425.0;1.0
2041;42;0.0;116879.0;1.0
2042;42;0.0;118161.0;1.0
2043;42;0.0;119654.0;1.0
2044;42;0.0;121172.0;1.0
2045;42;0.0;122710.0;1.0
2046;42;0.0;124268.0;1.0
2047;42;0.0;125845.0;1.0
2048;42;0.0;127442.0;1.0
2049;42;0.0;129059.0;1.0
2050;42;0.0;130696.0;1.0
1990;43;0.0;510629.0;1.0
1999;43;0.0;594788.0;1.0
2000;43;0.0;608787.0;1.0
2001;43;0.0;610523.0;1.0
2002;43;0.0;619756.0;1.0
2003;43;0.0;634100.0;1.0
2004;43;0.0;650213.0;1.0
2005;43;0.0;660365.0;1.0
2006;43;0.0;672064.0;1.0
2007;43;0.0;680179.0;1.0
2008;43;0.0;686719.0;1.0
2009;43;0.0;684062.0;1.0
2010;43;0.0;693593.0;1.0
2011;43;0.0;586660.0;1.0
2012;43;0.0;617163.0;1.0
2013;43;0.0;643468.0;1.0
2014;43;0.0;662928.0;1.0
2015;43;0.0;691427.0;1.0
2016;43;0.0;720065.0;1.0
2017;43;0.0;739573.0;1.0
2018;43;0.0;752837.0;1.0
2019;43;0.0;765890.0;1.0
2020;43;0.0;779705.0;1.0
2021;43;0.0;794326.0;1.0
2022;43;0.0;809396.0;1.0
2023;43;0.0;824453.0;1.0
2024;43;0.0;838071.0;1.0
2025;43;0.0;853070.0;1.0
2026;43;0.0;866966.0;1.0
2027;43;0.0;878704.0;1.0
2028;43;0.0;889119.0;1.0
2029;43;0.0;899887.0;1.0
2030;43;0.0;911588.0;1.0
2031;43;0.0;922488.0;1.0
2032;43;0.0;931457.0;1.0
2033;43;0.0;942127.0;1.0
2034;43;0.0;955807.0;1.0
2035;43;0.0;969201.0;1.0
2036;43;0.0;982678.0;1.0
2037;43;0.0;995922.0;1.0
2038;43;0.0;1009132.0;1.0
2039;43;0.0;1021125.0;1.0
2040;43;0.0;1033525.0;1.0
2041;43;0.0;1046635.0;1.0
2042;43;0.0;1060114.0;1.0
2043;43;0.0;1073550.0;1.0
2044;43;0.0;1087150.0;1.0
2045;43;0.0;1100923.0;1.0
2046;43;0.0;1114870.0;1.0
2047;43;0.0;1128993.0;1.0
2048;43;0.0;1143297.0;1.0
2049;43;0.0;1157781.0;1.0
2050;43;0.0;1172450.0;1.0
1990;51;0.0;66686.0;1.0
1999;51;0.0;105280.0;1.0
2000;51;0.0;105655.0;1.0
2001;51;0.0;116075.0;1.0
2002;51;0.0;120019.0;1.0
2003;51;0.0;125725.0;1.0
2004;51;0.0;132000.0;1.0
2005;51;0.0;140903.0;1.0
2006;51;0.0;151880.0;1.0
2007;51;0.0;163697.0;1.0
2008;51;0.0;172003.0;1.0
2009;51;0.0;178304.0;1.0
2010;51;0.0;180148.0;1.0
2011;51;0.0;175983.0;1.0
2012;51;0.0;184528.0;1.0
2013;51;0.0;194601.0;1.0
2014;51;0.0;202865.0;1.0
2015;51;0.0;212958.0;1.0
2016;51;0.0;222752.0;1.0
2017;51;0.0;230049.0;1.0
2018;51;0.0;234788.0;1.0
2019;51;0.0;238994.0;1.0
2020;51;0.0;242851.0;1.0
2021;51;0.0;247436.0;1.0
2022;51;0.0;251658.0;1.0
2023;51;0.0;256071.0;1.0
2024;51;0.0;260189.0;1.0
2025;51;0.0;263900.0;1.0
2026;51;0.0;266945.0;1.0
2027;51;0.0;269311.0;1.0
2028;51;0.0;272442.0;1.0
2029;51;0.0;274111.0;1.0
2030;51;0.0;276842.0;1.0
2031;51;0.0;280428.0;1.0
2032;51;0.0;282992.0;1.0
2033;51;0.0;286010.0;1.0
2034;51;0.0;289563.0;1.0
2035;51;0.0;292950.0;1.0
2036;51;0.0;295787.0;1.0
2037;51;0.0;298646.0;1.0
2038;51;0.0;301047.0;1.0
2039;51;0.0;303806.0;1.0
2040;51;0.0;306210.0;1.0
2041;51;0.0;309105.0;1.0
2042;51;0.0;312094.0;1.0
2043;51;0.0;315129.0;1.0
2044;51;0.0;318194.0;1.0
2045;51;0.0;321294.0;1.0
2046;51;0.0;324425.0;1.0
2047;51;0.0;327583.0;1.0
2048;51;0.0;330764.0;1.0
2049;51;0.0;333971.0;1.0
2050;51;0.0;337200.0;1.0
1990;52;0.0;3870378.0;1.0
1999;52;0.0;5312057.0;1.0
2000;52;0.0;5123288.0;1.0
2001;52;0.0;5416413.0;1.0
2002;52;0.0;5395944.0;1.0
2003;52;0.0;5452370.0;1.0
2004;52;0.0;5527711.0;1.0
2005;52;0.0;5703421.0;1.0
2006;52;0.0;5947967.0;1.0
2007;52;0.0;6207961.0;1.0
2008;52;0.0;6321860.0;1.0
2009;52;0.0;6356419.0;1.0
2010;52;0.0;6233723.0;1.0
2011;52;0.0;5915083.0;1.0
2012;52;0.0;6194437.0;1.0
2013;52;0.0;6524696.0;1.0
2014;52;0.0;6776860.0;1.0
2015;52;0.0;7092936.0;1.0
2016;52;0.0;7391816.0;1.0
2017;52;0.0;7589263.0;1.0
2018;52;0.0;7708799.0;1.0
2019;52;0.0;7823737.0;1.0
2020;52;0.0;7952916.0;1.0
2021;52;0.0;8093487.0;1.0
2022;52;0.0;8242242.0;1.0
2023;52;0.0;8384894.0;1.0
2024;52;0.0;8509588.0;1.0
2025;52;0.0;8638116.0;1.0
2026;52;0.0;8751682.0;1.0
2027;52;0.0;8845611.0;1.0
2028;52;0.0;8927436.0;1.0
2029;52;0.0;9017159.0;1.0
2030;52;0.0;9114382.0;1.0
2031;52;0.0;9208553.0;1.0
2032;52;0.0;9285824.0;1.0
2033;52;0.0;9377883.0;1.0
2034;52;0.0;9492503.0;1.0
2035;52;0.0;9598823.0;1.0
2036;52;0.0;9698499.0;1.0
2037;52;0.0;9794786.0;1.0
2038;52;0.0;9886984.0;1.0
2039;52;0.0;9968005.0;1.0
2040;52;0.0;10050762.0;1.0
2041;52;0.0;10146554.0;1.0
