# File: AGLU_ctry.csv
# Title: Mapping of countries in AGLU databases to ISO codes
# Units: NA
# Column types: cccciccciccc
# ----------
FAO_country,iso,GTAP_region,CROSIT_ctry,CROSIT_country_ID,MIRCA_country,IFA2002_country,IFA_region,IMAGE_region_ID,IMAGE_region_name,FAO2050_reg,Vishwakarma_country
Afghanistan,afg,xsa,AFGH,65,Afghanistan,,Rest of world,18,South Asia,South Asia,
Albania,alb,alb,OEEU,197,Albania,ALBANIA,Rest of world,12,Central Europe,Transition countries,Albania
Algeria,dza,xnf,ALGE,1,Algeria,ALGERIA,Rest of world,7,Northern Africa,sub-Saharan Africa,Algeria
American Samoa,asm,xoc,,,American Samoa,,Rest of world,24,Oceania,South Asia,
Andorra,and,xer,,,Andorra,,Rest of world,11,Western Europe,Industrial countries,
Angola,ago,xsd,ANGO,18,Angola,,Rest of world,10,Southern Africa,sub-Saharan Africa,Angola
Anguilla,aia,xcb,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean,
Antigua and Barbuda,atg,xfa,,,Antigua and Barbuda,,Rest of world,4,Rest Central America,Latin America and Caribbean,
Argentina,arg,arg,ARGE,50,Argentina,ARGENTINA,Argentina,6,Rest South America,Latin America and Caribbean,Argentina
Armenia,arm,xsu,ARME,178,Armenia,,Rest of world,16,Russia plus,Transition countries,
Aruba,abw,xcb,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean,
Australia,aus,aus,ALIA,112,Australia,AUSTRALIA,Australia,24,Oceania,Industrial countries,Australia
Austria,aut,aut,EU15,195,Austria,AUSTRIA,EU-27,11,Western Europe,Industrial countries,Austria
Azerbaijan,aze,xsu,CEAS,198,Azerbaijan,AZERBAIJAN,Rest of world,16,Russia plus,Transition countries,
Bahamas,bhs,xfa,BAHA,136,"Bahamas, The",,Rest of world,4,Rest Central America,Latin America and Caribbean,
Bahrain,bhr,xme,,,Bahrain,,Rest of world,17,Middle East,Near East / North Africa,
Bangladesh,bgd,bgd,BANG,76,Bangladesh,BANGLADESH,Bangladesh,18,South Asia,South Asia,Bangladesh
Barbados,brb,xfa,BARB,137,Barbados,,Rest of world,4,Rest Central America,Latin America and Caribbean,
Belarus,blr,xsu,OEEU,197,Belarus,BELARUS,Rest of world,14,Ukraine plus,Transition countries,
Belgium,bel,bel,EU15,195,Belgium,BELGIUM,EU-27,11,Western Europe,Industrial countries,
Belgium-Luxembourg,lux,bel,EU15,195,Belgium,BELGIUM,EU-27,11,Western Europe,Industrial countries,
Belize,blz,xca,BELI,138,Belize,,Rest of world,4,Rest Central America,Latin America and Caribbean,
Benin,ben,xss,BENI,4,Benin,,Rest of world,8,Western Africa,sub-Saharan Africa,Benin
Bermuda,bmu,xna,BERM,153,Bermuda,,Rest of world,4,Rest Central America,Industrial countries,
Bhutan,btn,xsa,,,Bhutan,,Rest of world,18,South Asia,South Asia,Bhutan
Bolivia (Plurinational State of),bol,xap,BOLI,51,Bolivia,BOLIVIA,Rest of world,6,Rest South America,Latin America and Caribbean,Bolivia (Plurinational State of)
Bosnia and Herzegovina,bih,xer,OEEU,197,Bosnia and Herzegovina,,Rest of world,12,Central Europe,Transition countries,
Botswana,bwa,bwa,BOTS,126,Botswana,,Rest of world,10,Southern Africa,sub-Saharan Africa,Botswana
Brazil,bra,bra,BRAZ,52,Brazil,BRAZIL,Brazil,5,Brazil,Latin America and Caribbean,Brazil
British Virgin Islands,vgb,xcb,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean,
Brunei,brn,xse,BRUN,148,Brunei,,Rest of world,21,Southeastern Asia,South Asia,
Brunei Darussalam,brn,xse,BRUN,148,Brunei Darussalam,,Rest of world,21,Southeastern Asia,South Asia,
Bulgaria,bgr,bgr,EUN9,196,Bulgaria,BULGARIA,EU-27,12,Central Europe,Transition countries,Bulgaria
Burkina Faso,bfa,xss,BURK,17,Burkina Faso,,Rest of world,8,Western Africa,sub-Saharan Africa,Burkina Faso
Burundi,bdi,xss,BURU,25,Burundi,,Rest of world,9,Eastern Africa,sub-Saharan Africa,Burundi
Cambodia,khm,xse,CAMB,88,Cambodia,CAMBODIA,Rest of world,21,Southeastern Asia,East Asia,
Cameroon,cmr,xss,CAME,19,Cameroon,,Rest of world,8,Western Africa,sub-Saharan Africa,Cameroon
Canada,can,can,CANA,91,Canada,CANADA,Canada,1,Canada,Industrial countries,Canada
Cabo Verde,cpv,xss,CAPE,127,Cape Verde,,Rest of world,8,Western Africa,sub-Saharan Africa,
Cape Verde,cpv,xss,CAPE,127,Cape Verde,,Rest of world,8,Western Africa,sub-Saharan Africa,
Cayman Islands,cym,xcb,,,Cayman Islands,,Rest of world,4,Rest Central America,Latin America and Caribbean,
Central African Republic,caf,xss,CAR,20,Central African Republic,,Rest of world,8,Western Africa,sub-Saharan Africa,Central African Republic
Chad,tcd,xss,CHAD,21,Chad,,Rest of world,8,Western Africa,sub-Saharan Africa,Chad
Channel Islands,chi,,,,,,,11,Western Europe,Industrial countries,
Chile,chl,chl,CHIL,53,Chile,CHILE,Chile,6,Rest South America,Latin America and Caribbean,Chile
China,chn,chn,CHIN,117,China,CHINA,China,20,China plus,East Asia,China
"China, Hong Kong SAR",hkg,hkg,CHIN,117,,,China,20,China plus,South Asia,
"China, mainland",chn,chn,CHIN,117,China,CHINA,China,20,China plus,East Asia,China
"China, Macao SAR",mac,xea,MACA,150,,,China,20,China plus,South Asia,
"China, Taiwan Province of",twn,twn,CHIN,117,China,CHINA,China,20,China plus,East Asia,
Christmas Island,cxr,,,,,,,24,Oceania,South Asia,
Cocos (Keeling) Islands,cck,,,,,,,24,Oceania,South Asia,
Colombia,col,col,COLO,54,Colombia,COLOMBIA,Rest of world,6,Rest South America,Latin America and Caribbean,Colombia
Comoros,com,xss,COMO,128,Comoros,,Rest of world,9,Eastern Africa,sub-Saharan Africa,Comoros
Congo,cog,xss,CONG,22,Congo,,Rest of world,8,Western Africa,sub-Saharan Africa,Congo
Cook Islands,cok,xoc,,,Cook Islands,,Rest of world,24,Oceania,Industrial countries,
Costa Rica,cri,xca,COST,38,Costa Rica,COSTA RICA,Rest of world,4,Rest Central America,Latin America and Caribbean,Costa Rica
Cote dIvoire,civ,xss,CDIV,8,Cote dIvoire,,Rest of world,8,Western Africa,sub-Saharan Africa,C?te dIvoire
Croatia,hrv,hrv,OEEU,197,Croatia,CROATIA,Rest of world,12,Central Europe,Transition countries,
Cuba,cub,xcb,CUBA,45,Cuba,CUBA,Rest of world,4,Rest Central America,Latin America and Caribbean,Cuba
Curacao,cuw,xcb,NEAN,144,,,Rest of world,4,Rest Central America,Latin America and Caribbean,
Cyprus,cyp,cyp,EUN9,196,Cyprus,,EU-27,12,Central Europe,Industrial countries,
Czech Republic,cze,cze,EUN9,196,Czech Republic,CZECH REPUBLIC,EU-27,12,Central Europe,Transition countries,
Czechia,cze,cze,EUN9,196,Czech Republic,CZECH REPUBLIC,EU-27,12,Central Europe,Transition countries,
Czechoslovakia,cze,cze,EUN9,196,Czech Republic,CZECH REPUBLIC,EU-27,12,Central Europe,Transition countries,
Czechoslovakia,svk,svk,EUN9,196,Slovakia,SLOVAKIA,EU-27,12,Central Europe,Transition countries,
Democratic Peoples Republic of Korea,prk,xea,KDPR,89,North Korea,,Rest of world,19,Korea,East Asia,
DRC,cod,xsd,CODR,24,DRC,,Rest of world,8,Western Africa,sub-Saharan Africa,
Democratic Republic of the Congo,cod,xsd,CODR,24,"Congo, Democratic Republic of",,Rest of world,8,Western Africa,sub-Saharan Africa,
Denmark,dnk,dnk,EU15,195,Denmark,DENMARK,EU-27,11,Western Europe,Industrial countries,Denmark
Djibouti,dji,xss,DJIB,168,Djibouti,,Rest of world,9,Eastern Africa,sub-Saharan Africa,
Dominica,dma,xfa,DOMA,139,Dominica,,Rest of world,4,Rest Central America,Latin America and Caribbean,
Dominican Republic,dom,xfa,DOMI,46,Dominican Republic,DOMINICAN REPUBLIC,Rest of world,4,Rest Central America,Latin America and Caribbean,Dominican Republic
Ecuador,ecu,xap,ECUA,55,Ecuador,ECUADOR,Rest of world,6,Rest South America,Latin America and Caribbean,Ecuador
