# File: A_FLX_FuelPrefElast.csv
# Title: Fuel preference elasticities used in the FLX scenario
# Description: Fuel pref elasticities are adjusted to hit target shares of caloric consumption in 2050
# Source: none
# Units: unitless
# Column types: cccn
# ----------
region,supplysector,subsector,fuelprefElasticity
Africa_Eastern,FoodDemand_Crops,Corn,0.029708434
Africa_Eastern,FoodDemand_Crops,FiberCrop,0
Africa_Eastern,FoodDemand_Crops,Fruits,0.123184163
Africa_Eastern,FoodDemand_Crops,Legumes,0.18926041
Africa_Eastern,FoodDemand_Crops,MiscCrop,0
Africa_Eastern,FoodDemand_Crops,NutsSeeds,0.989628528
Africa_Eastern,FoodDemand_Crops,OilCrop,1.109804296
Africa_Eastern,FoodDemand_Crops,OtherGrain,0.044359702
Africa_Eastern,FoodDemand_Crops,PalmFruit,0.049292813
Africa_Eastern,FoodDemand_Crops,Rice,0.049213407
Africa_Eastern,FoodDemand_Crops,RootTuber,0.040685726
Africa_Eastern,FoodDemand_Crops,Soybean,1.222425134
Africa_Eastern,FoodDemand_Crops,SugarCrop,0.069898786
Africa_Eastern,FoodDemand_Crops,Vegetables,0.807920491
Africa_Eastern,FoodDemand_Crops,Wheat,0.032199368
Africa_Eastern,FoodDemand_Meat,Beef,0.923918297
Africa_Eastern,FoodDemand_Meat,Dairy,1.100131796
Africa_Eastern,FoodDemand_Meat,OtherMeat_Fish,1.131414599
Africa_Eastern,FoodDemand_Meat,Pork,1.086110563
Africa_Eastern,FoodDemand_Meat,Poultry,1.172055439
Africa_Eastern,FoodDemand_Meat,SheepGoat,0.48514294
Africa_Northern,FoodDemand_Crops,Corn,0.050103355
Africa_Northern,FoodDemand_Crops,FiberCrop,0
Africa_Northern,FoodDemand_Crops,Fruits,0.157021945
Africa_Northern,FoodDemand_Crops,Legumes,0.81589279
Africa_Northern,FoodDemand_Crops,MiscCrop,0
Africa_Northern,FoodDemand_Crops,NutsSeeds,0.902785049
Africa_Northern,FoodDemand_Crops,OilCrop,0.882231082
Africa_Northern,FoodDemand_Crops,OtherGrain,0.024754679
Africa_Northern,FoodDemand_Crops,PalmFruit,0.309089364
Africa_Northern,FoodDemand_Crops,Rice,0.077709009
Africa_Northern,FoodDemand_Crops,RootTuber,0.096923461
Africa_Northern,FoodDemand_Crops,Soybean,0.124382837
Africa_Northern,FoodDemand_Crops,SugarCrop,0.050353253
Africa_Northern,FoodDemand_Crops,Vegetables,0.204364439
Africa_Northern,FoodDemand_Crops,Wheat,0.048356496
Africa_Northern,FoodDemand_Meat,Beef,0.651499433
Africa_Northern,FoodDemand_Meat,Dairy,0.910876222
Africa_Northern,FoodDemand_Meat,OtherMeat_Fish,1.04485879
Africa_Northern,FoodDemand_Meat,Pork,0.248923939
Africa_Northern,FoodDemand_Meat,Poultry,0.709853298
Africa_Northern,FoodDemand_Meat,SheepGoat,0.372216622
Africa_Southern,FoodDemand_Crops,Corn,0.03802678
