# File: FAO_ag_items_PRODSTAT.csv
# Title: FAO_ag_items_PRODSTAT
# Unit: Unitless
# Description: Maps FAO PRODSTAT crops to GCAM commodities and crop names in all other databases
# Sources: FAO and other databases
# Column types: ciccccicccccccccccc
# ----------
item,item.code,GTAP_crop,GCAM_commodity,GCAM_subsector,CROSIT_crop,CROSIT_cropID,IFA2002_crop,IFA_commodity,MIRCA_crop_name,MIRCA_crop,MIRCA_Crop24and26,MH_crop,MH2011_crop,MH2014_proxy,GTAP_use,Nfix,Suffix,Vish_crop
Agave fibres nes,800,AgaveFibrNES,FiberCrop,FiberCrop,,,,Other,Others (annual),Crop26,AgaveFibresNes,,,,pfb,,,Other Crops
Alfalfa for forage and silage,641,Alff4FrgSlg,FodderHerb,FodderHerb,,,Alfalfa,Other,Fodder crops,Crop25,,,Peas,"Peas, green",ocr,Nfix,,Other Crops
"Almonds, with shell",221,Almonds,NutsSeeds,NutsSeedsTree,,,Almond,FruitsAndVeg,Others (perennial) ,Crop24,Almonds_withshell,,,,v_f,,Tree,Fruits and Vegetable
"Anise, badian, fennel, coriander",711,Ans_bdn_fnnl,MiscCrop,MiscCrop,,,,Other,Others (annual),Crop26,Anise_badian_fennel_corian.,,,,ocr,,,Other Crops
Apples,515,Apples,Fruits,FruitsTree,FRUI,19,Apple,FruitsAndVeg,Others (perennial) ,Crop24,Apples,,Apples,,v_f,,Tree,Fruits and Vegetable
Apricots,526,Apricots,Fruits,FruitsTree,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Apricots,,Fruits other,,v_f,,Tree,Fruits and Vegetable
Areca nuts,226,ArcNtBtl,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Arecanuts,,Nuts,,v_f,,Tree,Other Crops
Artichokes,366,Artichokes,Vegetables,Vegetables,VEGE,16,Artichoke,FruitsAndVeg,Others (annual),Crop26,Artichokes,,Vegetables other,,v_f,,,Fruits and Vegetable
Asparagus,367,Asparagus,Vegetables,Vegetables,VEGE,16,Asparagus,FruitsAndVeg,Others (annual),Crop26,Asparagus,,Vegetables other,,v_f,,,Fruits and Vegetable
Avocados,572,Avocados,Fruits,FruitsTree,FRUI,19,Avocado,FruitsAndVeg,Others (perennial) ,Crop24,Avocados,,Fruits other,,v_f,,Tree,Fruits and Vegetable
Bambara beans,203,BambaraBeans,Legumes,Legumes,PULS,15,,Other,Pulses,Crop17,,,Pulses other,,,Nfix,,Other Crops
Bananas,486,Bananas,Fruits,FruitsTree,BANA,17,Banana,FruitsAndVeg,Others (perennial) ,Crop24,Bananas,,Bananas,,v_f,,Tree,Fruits and Vegetable
Barley,44,Barley,OtherGrain,OtherGrain,BARL,4,Barley,OtherCoarseGrains,Barley,Crop4,,Barley,Barley,,gro,,,Other Coarse Grain
"Bastfibres, other",782,JuteLikeFibr,FiberCrop,FiberCrop,FIBR,33,Jute,Other,Others (annual),Crop26,OtherBastfibres,,,,pfb,,,Other Crops
"Beans, dry",176,BeansDry,Legumes,Legumes,PULS,15,Dry beans,Other,Pulses,Crop17,,,Beans,,,Nfix,,Other Crops
"Beans, green",414,BeanGreen,Vegetables,Vegetables,,,Bean,FruitsAndVeg,Others (annual),Crop26,Beans_green,,Beans,,,Nfix,,Fruits and Vegetable
Beets for Fodder,647,Beets4Fodder,FodderHerb,FodderHerb,,,Fodder (beet),Other,Fodder crops,Crop25,,,Roots other,Carrots and turnips,ocr,,,Other Crops
Berries nes,558,Berriesnes,Fruits,Fruits,FRUI,19,,FruitsAndVeg,Others (annual),Crop26,BerriesNes,,Fruits other,,v_f,,,Fruits and Vegetable
Blueberries,552,Blueberries,Fruits,Fruits,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Blueberries,,Fruits other,,v_f,,,Fruits and Vegetable
"Brazil nuts, with shell",216,BrazilNuts,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Brazilnuts_withshell,,Nuts,,v_f,,Tree,Other Crops
"Broad beans, horse beans, dry",181,BrdBeansDry,Vegetables,Vegetables,PULS,15,,Other,Pulses,Crop17,,,Beans,,,Nfix,,Other Crops
Buckwheat,89,Buckwheat,OtherGrain,OtherGrain,OTHC,7,,OtherCoarseGrains,Others (annual),Crop26,Buckwheat,,,,gro,,,Other Coarse Grain
Cabbage for Fodder,644,Cabbage4Fddr,FodderHerb,FodderHerb,,,,Other,Fodder crops,Crop25,,,Vegetables other,Cabbages and other brassicas,ocr,,,Other Crops
Cabbages and other brassicas,358,Cabbages,Vegetables,Vegetables,VEGE,16,Cabbage,FruitsAndVeg,Others (annual),Crop26,Cabbagesandotherbrassicas,,Vegetables other,,v_f,,,Fruits and Vegetable
Canary seed,101,CanarySeed,OtherGrain,OtherGrain,OTHC,7,,Other,Others (annual),Crop26,Canaryseed,,,,gro,,,Other Coarse Grain
Carobs,461,Carobs,MiscCrop,MiscCropTree,,,,Other,Others (perennial) ,Crop24,Carobs,,,,ocr,Nfix,Tree,Other Crops
Carrots and turnips,426,Carrots,Vegetables,Vegetables,VEGE,16,Carrot,FruitsAndVeg,Others (annual),Crop26,Carrotsandturnips,,Vegetables other,,v_f,,,Fruits and Vegetable
Carrots for Fodder,648,Carrots4Fddr,FodderHerb,FodderHerb,,,,Other,Fodder crops,Crop25,,,Roots other,Carrots and turnips,ocr,,,Other Crops
"Cashew nuts, with shell",217,CashewNuts,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Cashewnuts,,Nuts,,v_f,,Tree,Other Crops
Cashewapple,591,Cashewapple,Fruits,FruitsTree,,,,FruitsAndVeg,Others (perennial) ,Crop24,Cashewapple,,,,v_f,,Tree,Fruits and Vegetable
Cassava,125,Cassava,RootTuber,RootTuber,CASS,10,Cassava,Other,Cassava,Crop11,,Cassava,Cassava,,,,,Other Crops
Cassava leaves,378,,Vegetables,Vegetables,,,,,,,,,,,,,,Other Crops
Castor oil seed,265,CastorBeans,OilCrop,OilCrop,OILC,20,,Other,Others (annual),Crop26,Castoroilseed,,Oilcrops other,,osd,,,Other Oil Seeds
Cauliflowers and broccoli,393,Cauliflower,Vegetables,Vegetables,VEGE,16,Cauliflower,FruitsAndVeg,Others (annual),Crop26,Cauliflowersandbroccoli,,Vegetables other,,v_f,,,Fruits and Vegetable
"Cereals, nes",108,Cerealsnes,OtherGrain,OtherGrain,OTHC,7,Cereals,OtherCoarseGrains,Others (annual),Crop26,Cereals_nes,,Cereals other,,gro,,,Other Coarse Grain
Cherries,531,Cherries,Fruits,FruitsTree,FRUI,19,Cherry,FruitsAndVeg,Others (perennial) ,Crop24,Cherries,,Fruits other,,v_f,,Tree,Fruits and Vegetable
"Cherries, sour",530,SourCherries,Fruits,FruitsTree,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Sourcherries,,Fruits other,,v_f,,Tree,Fruits and Vegetable
Chestnut,220,Chestnuts,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Chestnuts,,Nuts,,v_f,,Tree,Other Crops
Chick peas,191,ChickPeas,Legumes,Legumes,PULS,15,Chickpea,Other,Pulses,Crop17,,,Pulses other,,,Nfix,,Other Crops
Chicory roots,459,ChicoryRoots,Vegetables,Vegetables,,,,Other,Others (annual),Crop26,,,,Lettuce and chicory,ocr,,,Other Crops
"Chillies and peppers, dry",689,Pimento,Vegetables,Vegetables,VEGE,16,,FruitsAndVeg,Others (annual),Crop26,Chilliesandpeppers_dry,,Pimento,,v_f,,,Fruits and Vegetable
"Chillies and peppers, green",401,Chll_PpprGrn,Vegetables,Vegetables,VEGE,16,,FruitsAndVeg,Others (annual),Crop26,Chilliesandpeppers_green,,Vegetables other,,v_f,,,Fruits and Vegetable
Cinnamon (canella),693,CnnmnCnlla,MiscCrop,MiscCropTree,,,,Other,Others (perennial) ,Crop24,Cinnamon.canella.,,Spices other,,ocr,,Tree,Other Crops
Clover for forage and silage,640,Clovr4FrgSlg,FodderHerb,FodderHerb,,,Clover,Other,Fodder crops,Crop25,,,Peas,"Peas, green",ocr,Nfix,,Other Crops
Cloves,698,cloves,MiscCrop,MiscCropTree,,,,Other,Others (perennial) ,Crop24,Cloves,,Cloves,,ocr,,Tree,Other Crops
"Cocoa, beans",661,CocoaBeans,MiscCrop,MiscCropTree,COCO,28,Cocoa,Other,Cocoa,Crop22,,,Cocoa Beans,,ocr,,Tree,Other Crops
Coconuts,249,Coconuts,OilCrop,OilCropTree,COCN,27,Coconut,FruitsAndVeg,Others (perennial) ,Crop24,Coconuts,Coconuts,Coconuts,,osd,,Tree,Other Oil Seeds
"Coffee, green",656,CoffeeGreen,MiscCrop,MiscCropTree,COFF,29,Coffee,Other,Coffee,Crop23,,Coffee,Coffee,,ocr,,Tree,Other Crops
Coir,813,Coir,FiberCrop,FiberCrop,,,,,Others (perennial) ,Crop24,,,,,pfb,,,Other Crops
Cotton lint,767,,FiberCrop,FiberCrop,,,,,,,,,,,,,,Cotton
Cottonseed,329,,FiberCrop,FiberCrop,,,,,,,,,,,,,,Cotton
"Cow peas, dry",195,CowPeasDry,Legumes,Legumes,PULS,15,,Other,Pulses,Crop17,,,Pulses other,,,Nfix,,Other Crops
Cranberries,554,Cranberries,Fruits,Fruits,FRUI,19,Cranberry,FruitsAndVeg,Others (perennial) ,Crop24,Cranberries,,Fruits other,,v_f,,,Fruits and Vegetable
Cucumbers and gherkins,397,Ccmbr_Ghrkn,Vegetables,Vegetables,VEGE,16,Cucumber,FruitsAndVeg,Others (annual),Crop26,Cucumbersandgherkins,,Vegetables other,,v_f,,,Fruits and Vegetable
Currants,550,Currants,Fruits,Fruits,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Currants,,Fruits other,,v_f,,,Fruits and Vegetable
Dates,577,Dates,Fruits,FruitsTree,FRUI,19,Date,FruitsAndVeg,Date palm,Crop19,,,Dates,,v_f,,Tree,Fruits and Vegetable
Eggplants (aubergines),399,Eggplants,Vegetables,Vegetables,VEGE,16,Eggplant,FruitsAndVeg,Others (annual),Crop26,Eggplants.aubergines.,,Vegetables other,,v_f,,,Fruits and Vegetable
Fibre crops nes,821,FibreCropNES,FiberCrop,FiberCrop,,,,Other,Others (annual),Crop26,FibreCropsNes,,,,pfb,,,Other Crops
Figs,569,Figs,Fruits,FruitsTree,FRUI,19,Fig,FruitsAndVeg,Others (perennial) ,Crop24,Figs,,Fruits other,,v_f,,Tree,Fruits and Vegetable
