# File: GCAMFAOSTAT_PFertilizer.csv
# Title: FAO phosphate fertilizer production and consumption by country_year
# Units: tonnes P2O5
# Description:  Queried data are preprocessed for consistency with outputs of gcamfaostat
# Data source: FAOSTAT
# Date of CSV last update: 2026-07-23
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Armenia,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,,,,,,,,,,,,,,,,,,,,,,,5000,0,0,0,0,0,0,0,0,0,8,9,1209,33,0,0,23,0,34,416,66,559,2777,1676,324,23,487,1083,1084,816,774
1,Armenia,3103,Nutrient phosphate P2O5 (total),5510,Production,t,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Afghanistan,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,3400,5700,13110,6900,9600,8716,13590,17212,18122,16430,12980,16871,13940,19780,19780,19780,16560,26220,5900,5600,400,5800,6900,0,0,0,0,0,1000,0,0,0,0,6628,10797,9203,4406,0,0,556,926,6846,1261,3020,5121,10887,8991,16657,14630,25762,24956,7288,13537
2,Afghanistan,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1563,460,1539,1541,1541,1541,1541,1541,1541,1541,1541,1541
3,Albania,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,20700,21000,21000,20900,24000,24900,22400,21200,22500,22600,21000,6000,29000,25000,18000,18000,18000,26700,25000,24300,25500,7700,8700,1570,2090,1000,1000,1000,6900,4700,4900,6500,18187,20028,22323,23136,19633,19297,17991,20853,21633,23341,22165,22906,22907,28725,34544,21264,13358,15088,22899,15371,4775
3,Albania,3103,Nutrient phosphate P2O5 (total),5510,Production,t,20700,21000,21000,20800,24000,24900,22400,21200,23700,22600,21000,6000,29000,25000,18000,18000,18000,26700,25000,24300,25500,7700,4000,1570,1130,1000,3000,3000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Algeria,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,50000,74000,94000,85000,74000,64000,85000,68674,86673,81958,115900,75000,61901,71600,91918,133500,105800,108700,60200,47700,35000,30500,31900,34800,36700,15200,11000,35000,30800,25000,25000,35000,23463,6377,57820,32499,31784,52394,20760,48800,32800,36500,57500,71300,78000,63200,58800,58800,58800,58800,58800,58800,58800
4,Algeria,3103,Nutrient phosphate P2O5 (total),5510,Production,t,16000,16400,38400,72900,61800,64500,63690,70317,96600,53500,30800,22700,47960,53000,77503,71147,53800,55100,70600,45300,50000,30500,33500,40900,29600,12300,0,0,23400,8700,20300,35800,23000,5980,53550,20430,24310,42610,11580,17400,22800,25000,31200,27800,31900,28200,32400,32400,32400,32400,32400,32400,32400
7,Angola,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,3800,7900,6400,5400,3500,1300,600,8800,6200,2100,3800,4800,2000,4000,2671,7179,3500,2800,6675,8000,5000,2300,3000,3000,5000,3000,2000,0,0,0,0,0,1006,1461,3643,1501,1378,2405,3915,5097,8629,16868,7945,9445,7866,5247,6554,11949,6168,9998,8180,5732,17983
7,Angola,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Antigua and Barbuda,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34,14,6,5,0,5,15,4,7,8,10,9,11,7,7,2,12,18,12,7
8,Antigua and Barbuda,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Argentina,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,38890,23900,29200,32400,28100,27700,34800,28169,49943,59400,44164,40000,45700,51600,46500,50900,47844,60300,51200,42700,51500,54500,83600,106400,153800,182500,306900,302600,320700,340200,333800,334500,286608,420808,565709,513245,618332,766161,436378,296898,683667,724710,595678,601137,561083,424761,649175,640480,689063,758871,868635,885448,879604
9,Argentina,3103,Nutrient phosphate P2O5 (total),5510,Production,t,1085,4200,5000,5000,5000,6600,8100,960,960,960,500,89,100,0,3300,0,0,0,0,0,0,0,0,6800,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51600,68400,71000,80000,82800,82618,86540,90000,81778.2,75933.8
10,Australia,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,756843,859930,1042846,1247246,563586,510975,741806,792832,884398,915660,860196,829943,768428,748260,770445,690779,732427,879155,849607,797169,583784,685938,788899,776496,930484,973443,993612,1099296,1047765,1063900,1116339,1197014,1078107,1020122,1116985,1041740,992262,990348,825185,647006,823642,880365,883686,842370,908282,928054,948200,979987,954831,957503,1010764,1288703,1170244
