# File: Springmann_FLX_diet.csv
# Title: 2050 Flexitarian (FLX) versus benchmark (BMK) diet
# Units: kcal per person per day
# Source: https://doi.org/10.1016/S2542-5196(18)30206-7
# Column types: ccnn
# ----------
food_group,iso,BMK,FLX
wheat,all-r,372.709753,250.4508123
wheat,HIC,401.9243276,414.3210383
wheat,LMC,406.6634714,233.1154718
wheat,UMC,448.0746358,352.0628208
wheat,LIC,216.1287642,125.7256306
wheat,AFG,837.6114791,550.0307303
wheat,AGO,315.2117255,180.8701161
wheat,ALB,757.0402065,734.5342545
wheat,ARG,635.0056488,639.3232354
wheat,ARM,776.8562956,667.357464
wheat,AUS,327.4132244,510.2887303
wheat,AUT,471.3337022,422.3664489
wheat,AZE,1104.286671,662.6685401
wheat,BDI,54.96510599,30.94026502
wheat,BEN,65.11443012,26.5752573
wheat,BFA,69.45084625,32.23878657
wheat,BGD,209.637484,81.5975934
wheat,BGR,561.7404376,585.7307642
wheat,BLR,333.7379127,389.9449635
wheat,BLT,433.8916545,494.5104947
wheat,BLX,447.1504304,562.4956057
wheat,BLZ,363.5684731,331.6273424
wheat,BOL,282.9501223,241.4364684
wheat,BRA,283.8971715,245.6111939
wheat,BTN,91.70603931,58.31070307
wheat,BWA,261.8040313,221.9526703
wheat,CAF,102.7374108,61.13217515
wheat,CAN,408.2290732,417.8436358
wheat,CHL,644.1846913,560.0583955
wheat,CHM,407.1569087,171.7294744
wheat,CHP,435.9070827,570.8712438
wheat,CIV,111.9115871,56.02808361
wheat,CMR,113.4085855,66.8266124
wheat,COD,62.20944037,54.86831496
wheat,COG,509.6176935,278.8477601
wheat,COL,161.3122829,145.8848473
wheat,CRB,466.9098855,431.0018022
wheat,CRI,203.1662296,191.0027156
wheat,CUB,263.2328811,176.3353458
wheat,CYP,259.1441114,632.51929
wheat,CZE,521.9010689,534.1157325
wheat,DEU,394.8287052,454.4049206
wheat,DJI,494.2879461,411.7821665
wheat,DNK,449.9420893,561.6438336
wheat,DOM,144.7588222,201.8919283
wheat,DZA,969.3410848,671.2133826
wheat,ECU,214.2508617,211.1739912
wheat,EGY,787.419849,412.2813738
wheat,ERI,520.6493836,285.4257526
wheat,ETH,250.1979393,109.5775609
wheat,FJI,737.1658075,375.4399754
wheat,FNP,406.4489391,480.7112882
wheat,FRP,445.4981526,564.2745044
wheat,GAB,353.606467,188.1604595
wheat,GEO,793.1171631,583.8023133
wheat,GHA,132.7009468,60.83226826
wheat,GIN,74.06016017,33.20448669
wheat,GMB,191.5355552,108.316488
wheat,GNB,60.31174071,35.61289416
wheat,GNQ,,167.866382
wheat,GRC,617.7269463,566.2068995
wheat,GSA,314.2153514,194.8629238
wheat,GTM,184.3213454,159.2655856
wheat,HND,198.0562287,180.2631493
wheat,HRV,511.5535318,567.0749706
wheat,HTI,170.0176225,169.9640276
wheat,HUN,506.633556,489.86973
wheat,IDN,241.2335347,110.9334911
wheat,IND,394.8365911,226.3767341
wheat,IRL,478.5312468,523.9449588
wheat,IRN,898.0145466,576.9027694
wheat,IRQ,752.9115838,576.6605232
wheat,ISL,364.4263402,565.7498641
wheat,ISR,665.2669369,311.3289829
wheat,ITP,638.4607477,575.2734022
wheat,JAM,388.4659303,330.789852
wheat,JOR,759.8842503,515.1080993
wheat,JPN,249.976302,216.16139
wheat,KAZ,853.7739514,637.8619979
wheat,KEN,259.324117,137.8817811
wheat,KGZ,701.5531269,512.8826686
wheat,KHM,46.27268861,23.74309586
wheat,KOR,289.8557708,257.3310943
wheat,LAO,30.11938628,16.15326725
wheat,LBN,678.1280252,559.0978604
wheat,LBR,230.1413544,165.9073185
wheat,LBY,881.1240521,587.0116818
wheat,LKA,359.3499001,230.000752
wheat,LSO,300.3176209,156.9838262
wheat,MDA,684.2684316,626.5402542
wheat,MDG,60.21822265,33.10815487
wheat,MEX,195.2486748,137.784882
wheat,MLI,60.35932663,32.88940933
wheat,MMR,37.12130477,20.07733809
wheat,MNG,878.8365505,575.2913692
wheat,MOR,945.2009513,584.2519662
wheat,MOZ,146.4513218,89.38952265
wheat,MRT,786.8563491,333.4518711
wheat,MWI,62.89437568,35.65335276
wheat,MYS,499.9798366,306.0840897
wheat,NAM,389.7096474,239.629138
wheat,NER,45.90297797,16.19574822
wheat,NGA,168.6287107,79.76287478
wheat,NIC,159.4182537,106.5878231
wheat,NLD,346.0037739,506.0857499
wheat,NOR,477.1283974,552.9589402
wheat,NPL,438.920239,219.0043627
wheat,NZL,378.0764377,538.2634307
wheat,OAO,301.0486266,196.742083
wheat,OBN,396.5800906,252.5238819
wheat,OIO,338.3212664,296.5841646
wheat,OPO,377.4747392,252.3680401
wheat,OSA,233.4889035,173.9923272
wheat,PAK,650.8020193,538.5553562
wheat,PAN,207.8250873,174.8691311
wheat,PER,284.0836494,167.7955637
wheat,PHL,175.1751419,116.2157154
wheat,POL,557.3512237,450.5170157
wheat,PRK,123.314155,106.2615036
wheat,PRT,472.5284664,485.0168091
wheat,PRY,141.7048983,113.8007597
wheat,PSE,745.7267885,514.1488953
wheat,RAP,701.0419711,294.0341265
wheat,ROU,670.5124764,498.0800239
wheat,RUS,618.6986501,562.5887339
wheat,RWA,125.909725,52.12788194
wheat,SAU,531.8294294,376.8240052
wheat,SDN,225.9331064,145.1086502
wheat,SEN,205.0150485,96.05890619
wheat,SLB,159.2305946,82.05477755
wheat,SLE,109.5105269,66.61502971
wheat,SLV,149.8282637,138.7332082
wheat,SOM,0.46514123,1.585514545
wheat,SPP,371.9260167,440.8646159
wheat,SVK,516.9871383,601.8436917
wheat,SVN,445.2777103,390.5042333
wheat,SWE,385.4348185,521.0583257
wheat,SWZ,295.9694526,165.0291629
wheat,SYR,893.1121908,586.5964942
wheat,TCD,94.9082498,46.76919975
wheat,TGO,111.2893133,55.83157945
wheat,THA,153.0753657,85.59393859
wheat,TJK,773.2532715,634.039637
wheat,TKM,932.4944479,658.0154686
wheat,TLS,71.60725554,33.85905768
wheat,TUN,1143.48551,610.4092565
wheat,TUR,764.2280582,545.27711
wheat,TZA,99.15736366,58.10415199
wheat,UGA,107.703813,66.63112738
wheat,UKP,475.5658097,493.2983637
wheat,UKR,584.4007898,465.6056901
wheat,URY,625.5794217,517.4146814
wheat,USA,325.859863,376.1653864
wheat,UZB,956.7686175,653.3488019
wheat,VEN,247.7606164,259.7492918
wheat,VNM,169.6247504,95.27396
wheat,VUT,222.6442155,59.72103906
wheat,YEM,530.2428657,435.2501078
wheat,ZAF,544.8998189,258.7435557
wheat,ZMB,241.4652525,103.434163
wheat,ZWE,216.2155573,122.6862947
rice,all-r,426.4010559,234.6796659
rice,HIC,120.9746664,107.9962568
rice,LMC,532.0018136,281.4672921
rice,UMC,181.6908653,143.4806815
rice,LIC,490.0812628,245.2012888
rice,AFG,176.5012337,115.9023066
rice,AGO,69.14538156,39.67597705
rice,ALB,64.36316814,62.4497237
rice,ARG,71.65719624,72.14441419
rice,ARM,59.19188617,50.84871844
rice,AUS,76.68614268,119.5189182
rice,AUT,23.92038794,21.43527879
rice,AZE,23.56631417,14.14184868
rice,BDI,187.1899575,105.3706127
