# File: Vish_M_coefs.csv
# Title: M coefficients of N yield response functions by crop and country
# Units: kg N / ha
# Comments: M parameters from function: Y = M * (I / (I + M))
# Source: Vishwakarma, Srishti <srishti.vishwakarma@umces.edu>, personal communication (paper is under review 12/2020)
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Crop/Country,Albania,Algeria,Angola,Argentina,Australia,Austria,Bangladesh,Benin,Bhutan,Bolivia (Plurinational State of),Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa Rica,Cuba,C?te dIvoire,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Guyana,Honduras,Hungary,India,Indonesia,Iran (Islamic Republic of),Israel,Italy,Japan,Jordan,Kenya,Lao Peoples Democratic Republic,Lebanon,Lesotho,Liberia,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mexico,Mongolia,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,South Africa,Spain,Sri Lanka,Sudan (former),Swaziland,Sweden,Switzerland,Syrian Arab Republic,Thailand,Togo,Tunisia,Turkey,Uganda,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,Uruguay,USSR,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Zambia,Zimbabwe
Wheat,105.1220102,1092.159725,93.93630021,68.37503799,447.2926615,251.847556,121.6638086,1,244.0711538,28.36593876,3.14E+01,57.13826756,196.7114453,1,55.30580698,134.1788488,107.9802447,1,86.91965671,129.3811775,164.0605781,40.15477217,1,1,1,1,1,1.07E+22,411.893294,1,19.90724201,252.2267896,1,273.4565253,1,125.50964,407.976004,1,1,303.6992451,1,98.28755455,62.82816247,1,1,1,12.77854154,321.3181574,85.50672098,1,59.67750585,8.01E+01,1.34E+02,121.2639533,30.05663259,264.8369927,1,397.8023235,34.16371291,1,1.27E+18,55.98442677,1,1.24E+27,485.8195264,349.3672869,33.22154979,116.0678048,1.05E+18,-2.83E+24,267.5167449,229.6671985,557.9264545,1,37.96532568,66.21935879,106.7996814,73.88715702,1,1,64.43734052,36.8581946,1,157.0777315,38.74800085,79.51910838,348.9087572,-2.15E+24,-1.35E+27,1,1,337.9219995,104.7625388,1,57.95900516,8.35E+17,233.7101354,173.5591818,8.51E+02,26.75878093,1,-1.39E+23,107.7078425,1.55E+19,112.505128,281.038145,1.90E+20,106.7845715,87.24533358,183.3365052,89.06847892,1,3.83E+02,2.84E+20,-4.13E+22
Rice,1,40.72549163,18.79935108,3.26E+22,1.96E+18,1,1.15E+02,2595.730906,1.50E+02,90.28152837,1,172.433849,198.880428,73.80240973,246.7700934,28.77069615,1,45.87074262,46.98355334,138.0581537,175.184894,102.2717258,44.19844817,12.17172554,80.60104116,95.94318774,112.575995,16.31330341,1,131.9495593,131.9486492,777.3344716,275.9834418,104.6387252,88.91439496,1,144.2229411,115.2086232,29.78044621,1,120.3349572,2824.740422,70.73407428,52.05411186,65.99197345,203.4511722,261.3701952,98.67653455,80.52152186,171.0116067,98.08136792,1.00E+00,252.0223976,264.6707874,1,125.4761602,240.4972406,1,1,35.58747826,1.56E+19,45.01328608,90.49173232,148.3215681,1.22E+22,165.2048462,1,193.2479163,8.436976834,1.00E+00,109.5005593,1,1,147.8584311,2.51E+19,60.87893051,1,81.39647507,70.35801013,52.3184172,672.8861942,361.6437003,161.4920518,1,165.1984744,206.3929652,254.6194918,2.22E+23,1,1280.363126,79.84780209,87.69620618,462.3576378,96.9108316,339.7402243,8.02E+26,1,1,1.00E+00,100.6120032,102.1475218,1,343.5432029,89.65656789,1,1,116.914398,225.1817298,286.6693807,137.8848362,112.260564,166.0588909,1.00E+00,31.64972935,72.34957773
Maize,146.8864872,-2.26E+23,2.60E+01,149.6201199,210.0073596,640.5902069,7.17E+20,7.47E+15,701.1661511,53.45313087,3.23E+00,88.45779083,180.588491,5.51E+01,199.6653315,157.4504865,361.8601578,18.16980452,22.89475494,2.34E+02,143.2077048,58.38843897,51.99240558,15.55235826,38.94584545,97.92181703,2.97E+24,32.59017002,135.9517959,26.70105321,51.35045728,1.64E+02,70.15764766,-6.21E+24,33.88299841,1,298.2423024,50.24203925,19.39455397,256.6242729,179.5927664,2.72E+25,43.70730342,109.8209836,14.09145976,29.48085316,34.66349893,348.8663057,59.94068042,127.2869937,1.65E+02,-7.05E+21,452.2553284,45.51820983,9.84E+20,51.5746101,6.58E+20,295.3942426,17.33457141,1,9.05E+19,67.93889096,102.7011262,1.08E+02,12.92833502,73.39932417,1,19.58898331,54.76400483,4.98E+01,104.5003678,233.7530294,666.7172299,25.34669511,16.85044042,57.13567568,1.00E+00,84.48248584,39.04542613,1.18E+23,79.47736546,78.93850703,155.5548146,185.2105538,189.1927182,93.26928708,189.887571,4.12E+17,3.08E+27,26.89942396,16.69574199,197.4232056,1187.284284,5.50E+01,24.41789665,366.733178,1,2.63E+02,3.20E+03,123.9324602,146.9287413,1,2.55E+02,2.47E+22,1.47E+22,1,6.06E+23,507.6880345,119.1990536,507.5798697,73.51262294,98.26454065,6.58E+01,73.92591966,16.3430821
Other Coarse Grain,33.83953755,1.20E+18,5.04E+00,1.23E+20,129.3728606,214.8799063,7.65E+00,5.35E+21,58.6537189,1148.058943,1.03E+01,54.29261991,201.8992801,287.8232131,-2.61E+21,1.05E+22,180.4608584,43.5131467,4.54E+22,1.34E+02,67.15488008,64.71707126,1,115.4795882,1,69.79157829,-2.80E+22,243.5039789,224.3175072,36.6792749,1.87E+01,91.36888367,3.15E+01,106.0564857,2.76E+26,128.2564056,371.6350657,1.00E+00,1.53E+22,220.8166248,4.24E+21,103.6360382,36.68083655,7.40E+17,127.9297903,1,26.11794883,277.3968876,22.67021741,1,4.64E+01,1.01E+02,136.0979382,42.65201874,34.63253395,37.16337348,1,200.0140855,8.064435017,1,18.19438971,37.46319228,1,1.77E+21,10.0848296,3.71E+15,1.93E+01,31.43252572,56.05538234,3.328081078,30.02441289,143.4303891,2.16E+02,45.05103596,5.52E+23,1.39E+23,86.03777531,12.79257746,2786.754314,1.25E+27,8.46E+22,4.12E+01,3.29E+23,90.68257597,29.38195639,48.76379998,244.8136881,3.42E+16,8.09E+22,103.8278602,-2.13E+26,171.1436482,83.10555099,18.82937318,15.76940976,25.95778584,163.7215928,170.8354105,1.40E+01,38.34790053,-3.51E+21,2.73E+23,152.2569757,317.0279243,2.00E+22,184.2205316,-2.78E+23,137.3168211,84.03893873,106.856224,41.17552995,24.56051322,72.48033489,18.1319868,10.63812035
Soybean,147.3804807,1,89.70152298,2022.124165,274.6974196,438.2905658,246.4751379,283.6589286,186.5512093,574.2495497,1,954.017026,256.3487641,437.1987524,127.643539,381.2714921,1149.355309,1,1,1,232.8491438,341.5671547,1,1,1,1,423.0295477,107.4277046,1,1,312.5949697,516.9140441,191.4150748,814.4500771,1,1,470.13438,182.4050345,1,180.8887757,1,698.0233406,687.7475297,1,1,1,315.3367887,519.4781161,165.008789,252.3247592,418.1991758,1,728.0779296,214.7996744,1,198.7448974,263.0902091,1,1,53.536302,106.7209131,247.3118799,1,383.7718684,1,333.8115245,1,106.3718173,1,1,134.4544732,1,1,384.3637536,1,237.9054532,1,69.21160443,39.76375846,1,1277.609091,324.6619375,443.0351904,218.8611403,1,165.1771668,504.2195094,109.3989116,1,1,1,655.7485261,579.1021771,476.4685005,1,1,1,237.132205,447.0669939,382.09146,73.74410557,1,651.6874306,539.1164735,1,1,361.5606996,1063.012561,501.4917277,335.4846172,157.3849277,182.9919741,1,467.1310736,643.5057551
Oil Palm,1,1,4.81E+21,1,1.00E+00,1,1,4.55E+18,1,1,1,49.74347841,1,1,3.05E+19,1.03E+28,1,226.3285648,1,1.00E+00,55.07960143,92.96709127,1,5.05E+25,85.5236217,1,2.26E+18,4.57E+19,1,79.74955644,8.70E+01,1.00E+00,1.00E+00,1,1,1,1,64.07354632,3.34E+19,1,-6.88E+25,1,9.67E+01,63.6181613,-1.97E+23,1,133.9769627,1,1,113.0782773,1.00E+00,1,1.00E+00,1,1,1,1,1,1,6.23E+22,3.22E+20,1,128.4253069,1,1,41.83750815,1,1,1,1,1,1,1.00E+00,176.0135368,1,1.49E+01,1,1,54.46331535,8.99E+26,1668.320021,167.7983903,4.72E+01,1,1,1,1,1,1,8.50E+21,1.15E+26,1,1,1,1,1,1,1,1,94.25760385,-3.09E+25,1,1,1,1,1,7.25E+19,1.00E+00,1,1,44.65544961,1,1.00E+00,1,1
Other Oil Seeds,41.28905866,-1.19E+22,2.32E+01,4.75E+25,59.79084443,115.2710247,4.34E+01,85.07967397,166.7178688,62.33186091,2.02E+01,136.7713785,78.72688794,57.64873468,29.16700767,118.1016835,153.387048,60.89966776,142.1202198,145.489294,109.39057,24.39610354,1.59E+24,37.90313162,25.55971107,22.24506395,80.22565127,85.2203647,289.6364948,13.76255889,48.87431704,133.7206347,40.2289909,1.37E+19,11.8184966,61.69177934,176.0642372,69.46352934,119.7807137,239.6943528,130.5409045,9.84E+01,52.04542697,245.3501025,85.91103002,23.12157056,33.95408432,123.6330788,48.65906921,66.50311817,43.79951315,216.3494749,70.29377867,104.844662,45.98259818,19.02454116,113.6539998,302.4934943,1,30.60871586,31.52434173,60.66124755,-6.40E+26,1.01E+02,63.33684889,44.58909057,98.61026475,64.16065178,26.41145648,15.72372069,53.24424924,74.92463875,68.10113246,286.2992622,78.30413336,191.6599957,66.09949441,33.78408332,12.0057592,28.83885723,2.41E+25,67.71591618,32.49351394,191.9232625,13.91581989,25.48050567,100.0375517,28.57725806,829.4456195,65.38162679,106.6835354,39.54712817,29.93001279,48.52690407,24.11180735,34.95973554,154.1388329,127.2135222,142.4660842,26.76520984,48.11769004,7.84E+19,65.99043203,63.21659549,1,171.9800663,124.6581453,99.10847799,52.91243108,98.70245723,19.8879108,76.6920529,1.06E+25,24.58609014,1.89E+01
Cotton,34.86364266,12.57002517,2.58E+27,1.75E+19,3.30E+23,1,1.73E+02,-5.40E+25,1.00E+00,64.03064138,95.34286282,164.5775192,35.56934723,696.9556095,281.2824657,1.50E+22,1,37.65676492,-4.43E+26,1.00E+00,205.5894185,88.38238955,1,1,25.54479773,1,2.36E+22,88.14865939,1,1,65.98896834,146.5789586,9.41E+01,-4.79E+25,1,1,1,1.00E+00,27.98310772,1,117.3236669,341.6953614,305.0091254,4.61E+26,2.34E+22,1,81.25948658,1,59.23644775,8.358354089,9.46E+01,1.49E+22,1,1,1,14.53036819,1.03E+24,1,1,1,-1.37E+23,39.58868771,1,6.27E+01,1,-9.73E+26,1,1.71E+23,48.82591435,147.7648364,48.67708613,1,1,112.6664057,-8.91E+26,8.55E+21,1,84.5010775,1,1,49.1831156,1.20E+02,2.89E+01,1,1,33.90376542,41.34438758,1,1,101.9195212,1,413.6878393,138.1675596,1.19E+19,138.7946634,-3.09E+25,1,1,1.34E+21,23.16204373,111.113724,59.32979782,667.6059213,1.21E+19,1,1,316.0414678,366.6424395,3615.359648,108.5161962,38.71803409,45.84403842,4.35E+02,64.34450113,30.77861969
Sugar Crops,54.26919448,1,15.5095127,29.05513176,30.09837532,2636.292834,12.80104193,9.294080355,11.41081651,19.57796252,1,28.678415,54.3584202,54.51313093,33.11557997,3.056924123,144.2554848,2.206142576,1.15E+26,340.6743469,32.39325317,32.39646207,1,15.57856571,26.78251622,13.14016373,42.21087588,21.41907165,435.898205,18.02453481,35.87062778,109.7997046,30.68760835,86.92617014,16.31702045,153.7486705,15755.15351,2.67E+01,1,333.1172578,9.109937993,-8.90E+26,39.46454456,31.36778315,10.93103247,22.54432692,31.51225965,2.56E+26,24.65959914,18.58550303,75.59222607,1,690.7040729,156.0459531,1,32.75051769,18.65627331,2.08E+20,1,3.558109266,13.48133318,45.53921677,14.28137687,30.85025052,1,26.57963457,1,171.512752,36.70432795,1,16.18365631,214.4034271,1,36.48482494,27.08160833,7.265404053,1.00E+00,18.3260074,21.55133586,12.91605378,18.11072412,46.33364059,26.02824033,484.6633107,180.1733036,1,6.36E+26,7.169736488,1,71.11651334,66.42839931,22.99632033,-1.35E+26,27.84173633,52.33951345,117.7670041,294.4896689,312.5709696,2.14E+04,28.20389991,1,2.17E+20,38442.29103,39.04377412,1,2.52E+02,27.95121805,164.5456607,18.54466793,142.6606942,23.29387166,21.6768863,1,55.61138829,31.87570468
Fruits and Vegetable,30.92297959,27.49406533,47.94824471,53.5267697,33.80503903,46.33223039,17.20631931,7.568240687,18.56150968,13.84798233,17.2457352,31.3432132,13.15940548,21.03585233,19.31007416,17.91119039,37.5575164,9.488570519,2.28E+22,36.32596322,43.86582228,18.05926063,2.80E+19,33.04369498,31.95427124,22.1849459,9.936528402,28.46204665,50.36665438,32.01423827,25.30497755,54.30853869,20.86593187,57.94620021,22.26436197,42.46101691,36.02513155,8.58E+00,38.11538006,60.64193129,29.16262302,3.02E+01,36.45237672,17.28002187,10.28494801,9.436418402,41.07650401,40.7447593,25.23036742,15.47964311,31.19674944,39.13791851,32.55897959,61.67728392,37.38503197,36.5663451,26.11295469,28.8036379,23.96108828,20.6072133,8.429682574,13.68637031,25.57995804,49.65335841,8.177971951,29.62676217,25.23579096,20.20018376,18.48983831,1.81E+01,54.54737761,112.1883491,45.36680866,13.1975164,2.84E+27,57.29703989,41.74252349,18.7928532,2.65E+01,1.95E+01,44.11818788,28.67499842,19.80294253,31.78459484,14.77020937,84.48619321,36.17723441,18.87280363,28.32862159,41.39921123,8.53E+20,49.27495575,21.03753291,17.48826497,43.31484635,55.2749496,44.53195819,42.26362363,1.64E+01,15.05760163,18.56432571,5.982165517,35.94100688,9.77968578,17.93218321,53.19788384,12.442016,71.40469497,34.67558168,39.24806964,26.79254518,50.28005819,38.04625298,16.09203763,16.17416599
