# File: Vish_Ninput_kgha.csv
# Title: Nitrogen application rates in the base year (2015) by crop and country
# Units: kg N / ha
# Source: Vishwakarma, Srishti <srishti.vishwakarma@umces.edu>, personal communication (paper is under review 12/2020)
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Crop/Country,Albania,Algeria,Angola,Argentina,Australia,Austria,Bangladesh,Benin,Bhutan,Bolivia (Plurinational State of),Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa Rica,Cuba,C?te dIvoire,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Guyana,Honduras,Hungary,India,Indonesia,Iran (Islamic Republic of),Israel,Italy,Japan,Jordan,Kenya,Lao Peoples Democratic Republic,Lebanon,Lesotho,Liberia,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mexico,Mongolia,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,South Africa,Spain,Sri Lanka,Sudan (former),Swaziland,Sweden,Switzerland,Syrian Arab Republic,Thailand,Togo,Tunisia,Turkey,Uganda,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,Uruguay,USSR,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Zambia,Zimbabwe
Wheat,318.1321341,38.15192498,26.7569853,283.3968613,44.52847424,206.6830687,89.24082271,0,46.20415505,132.1149905,NA,269.2471236,128.7285386,0,23.06634586,30.98984254,130.4574145,0,65.61036793,509.9809773,228.3709377,167.6973669,0,0,0,0,0,21.37473118,234.858744,0,96.24803625,257.7070336,0,46.48359331,0,219.2184799,208.2112886,0,0,316.9417257,0,112.3675994,135.0804948,0,0,0,50.77146731,127.1586023,185.4493309,0,110.3906484,93.24111111,175.4451253,208.2695317,112.4533128,55.86464918,0,72.98177775,18.89328137,0,31.30505161,50.73046451,0,43.99773642,40.46977033,171.2093872,NA,41.06188947,15.27583282,133.6443416,66.00764551,698.8384982,222.218407,0,936.8524698,33.02358577,473.5400465,187.3206862,0,0,163.9410041,126.6414539,0,182.8970632,261.2179731,388.2440976,77.86490474,28.36083108,83.73137759,0,0,77.42309031,168.2653426,0,0,16.77478182,246.2764962,392.3235585,16.37348782,61.49017199,0,32.71905437,98.13164095,23.99192309,130.3830255,405.6635677,25.5340236,130.0704696,265.7168266,59.61960795,211.3538528,0,34.70028904,132.2885868,35.54233575
Rice,0,81.31951722,62.39595576,66.26932631,93.05313116,0,186.3072489,49.25583889,84.74685518,75.64184778,NA,126.0488097,142.2331084,66.95629769,59.45677241,58.81122971,0,62.50545876,41.04644098,330.8141638,271.8246651,283.820733,35.72766721,49.68996506,268.5495565,122.5302516,51.25493339,52.50833348,0,178.0643556,141.2034908,192.4220027,162.7255348,64.87487366,108.1852877,0,208.8836857,86.29818572,39.83098959,0,70.05717074,128.8841027,133.776786,43.59067015,50.1147562,102.5679752,103.7838876,141.9139387,187.4495595,147.6754399,254.8962483,0,180.4685881,179.5287103,0,105.7227765,78.06218438,0,0,48.27663345,51.7688359,86.07036712,116.5039368,70.14560096,53.80524362,199.8220693,NA,274.2146797,45.72456361,0,105.2986159,0,0,140.5613521,41.93265618,52.48892579,0,194.0308591,143.3074263,94.98831065,103.5693984,185.7228349,98.55278401,0,260.390973,246.8493216,101.2901685,65.67282253,0,65.5375212,42.80524557,76.98731788,176.2230559,182.0783361,0,48.84865738,0,0,0,101.9745668,46.28812901,0,195.2092247,56.11091727,0,0,49.73517273,308.7323674,186.2308946,130.7997924,339.6686406,221.9392412,0,156.6265513,77.43836586
Maize,285.8730841,38.35111872,26.47751293,304.6978514,201.3358031,244.4985223,86.04243365,20.85810801,46.03610093,132.2681489,NA,291.7484175,163.2282623,46.68086542,23.13946771,35.26841479,260.6571546,58.46056028,68.83339001,634.2159516,213.8550038,152.4214655,85.41671156,60.91705635,189.2552553,72.93504231,21.38035535,22.42388002,284.221508,162.405862,124.6512887,417.7187449,113.4944423,37.84055275,106.4601353,0,253.2979442,59.37389826,58.18416773,391.6585099,37.89838551,139.6432435,118.3394794,23.46183058,120.2527795,68.55404052,64.08438201,157.3815573,103.8729955,131.3435828,314.8588279,188.8446627,214.6358968,300.0069612,84.54488773,56.24967355,53.39893967,69.18929811,18.77667545,0,28.18383612,50.97013064,241.6757975,44.66311225,40.60799275,186.484583,NA,27.73006305,15.26318527,135.0464012,64.81137665,819.1007812,222.3190075,117.7420094,937.6116997,37.32634663,0,194.7087566,95.14143697,82.83682826,164.0112227,124.7552994,56.23003817,227.3511751,323.3822532,388.1718026,92.9217639,28.28299183,84.19237754,135.938671,86.4657031,95.38104308,209.0978951,160.4160733,0,16.74466052,0,399.5034021,17.31829614,144.6285783,13.86926209,0,223.9185217,24.56883641,128.2855395,0,26.07877497,220.4463795,233.056035,88.20973032,238.4028364,227.7475259,34.53795309,132.4765868,35.77110153
Other Coarse Grain,276.5672977,16.93142479,18.76758101,34.57295116,58.51305174,152.6451972,79.97978684,11.57865811,38.39955994,31.00343738,NA,167.7065905,86.82513589,16.25977804,17.66106113,15.95641743,90.48945458,28.04111337,7.162667125,371.1771237,129.6137705,190.3219567,0,13.829765,0,44.22015532,9.987006295,11.86382573,174.4210181,117.6487296,103.1568824,189.1271622,113.4710331,30.89148632,34.43686657,150.3914235,148.8683621,0,5.664895305,225.2135399,14.41552566,77.78671183,117.6099461,8.930320048,17.13202565,0,50.81289428,88.8781649,72.28726396,0,105.5810388,108.577337,121.9151668,150.0926936,56.13407117,25.60127914,0,50.0099709,18.79422245,0,21.7776131,21.25853887,0,13.14476096,21.26449782,47.88177335,NA,35.28926668,8.995397692,43.19731944,46.752348,556.3225559,215.973062,95.64546102,6.057820452,11.89047044,412.3106267,59.05986398,63.13723365,21.96963572,25.01847892,54.16959168,50.17554735,129.6097089,186.3658071,250.4760309,58.70377075,20.69835152,50.51657953,12.73216093,9.580367338,45.90093359,116.4704426,149.2187344,0,15.88846976,169.3692445,337.9201618,12.62500169,59.04310823,12.11575997,14.68229374,65.68913036,20.71886986,54.11523625,282.8125213,10.12173491,110.9929383,120.9378435,51.31624634,238.1570362,226.5039889,17.50315875,81.52034166,16.04585201
Soybean,418.5360248,0,59.38543649,208.0316206,260.2221816,253.7535658,168.9910847,68.70551972,101.7027397,174.3742198,NA,220.2875777,119.2086254,83.20910875,83.37819413,97.25162157,207.3697284,0,0,0,200.3664732,259.6176181,0,0,0,0,69.12121641,41.05156826,0,0,133.5635346,329.0615593,284.171779,161.1476219,0,0,259.3659152,77.08371462,0,276.1174435,0,234.5360365,204.5528631,0,0,0,206.1254662,176.9630128,120.0289917,129.7151506,209.8041891,0,303.4045222,197.9810276,0,84.19179878,142.2916896,0,0,49.43396208,55.23874068,73.4139629,0,57.21200992,0,122.4038014,NA,139.6908935,0,0,103.8679863,0,0,170.4036942,0,75.50933818,0,120.1835068,86.20486949,0,176.0001517,162.0783753,86.80952179,176.572841,0,315.7074989,167.5226508,58.03745752,0,0,0,114.5401186,258.8373687,103.4326102,0,0,0,556.6916722,138.7825527,140.0760071,39.4221445,0,414.0036528,167.8341058,0,0,72.50724701,231.5866997,182.432897,129.3071702,201.9938477,186.9310654,0,183.8442646,72.89508919
Oil Palm,0,0,20.30249244,0,0,0,0,13.49940374,0,0,NA,101.403143,0,0,18.71416362,19.04674554,0,28.48381368,0,0,163.6226563,162.4693017,0,14.06419221,142.7140182,0,11.27547875,12.01262751,0,89.93075779,69.74123625,0,0,0,0,0,0,28.73638499,5.814956748,0,17.95001503,0,100.8383442,9.522638952,17.34047285,0,54.09299152,0,0,94.11581641,0,0,0,0,0,0,0,0,0,15.02672563,20.50731624,0,61.98204504,0,0,975.3330615,NA,0,0,0,0,0,0,104.6654845,0,16.67479563,0,0,70.00479818,27.11952723,30.73479226,68.24165374,97.21992503,0,0,0,0,0,0,15.56585952,9.705669684,0,0,0,0,0,0,0,0,138.8096181,13.40151699,0,0,0,0,0,10.96343884,0,0,0,183.9324676,0,0,0,0
Other Oil Seeds,287.4281018,30.21060087,35.40436201,33.5516405,131.3683095,170.5350775,78.82753248,34.18736326,46.25554628,38.28340625,NA,54.52962864,102.6132901,33.12038204,48.53125283,48.00104181,105.474896,43.67626574,31.26705611,355.7485054,207.8160924,164.6254662,3.537936499,26.9137944,148.5910175,72.21213397,24.85546989,34.18565921,197.1220563,92.89610401,97.93857345,162.1837602,132.375116,23.0808773,43.90533979,176.1963062,170.9658188,62.36244924,32.78476204,259.1273109,48.69507428,91.14149733,115.0036114,49.47439063,43.89861217,40.16366547,55.46886348,102.9244469,80.49888939,33.44646896,222.844945,141.7808872,138.2671157,177.0205326,120.0473826,41.5111556,86.21709738,162.7841312,0,44.59953671,36.48298812,49.69261862,19.74410027,44.44615121,26.52663092,47.06582984,NA,98.39010522,13.11817259,80.94928228,55.23236321,612.9374851,215.9730627,199.650849,22.87609826,33.79651638,448.0113533,93.4300977,74.17859299,31.31191708,38.46811753,103.3558964,19.29525411,149.9086634,215.3081159,209.4158474,65.07220379,44.24583835,77.57966446,44.40647763,38.76120594,80.25350785,135.1747715,27.39232865,0,28.61642862,199.187409,382.8473199,51.32800463,70.26064812,28.7364434,20.01808885,128.6690991,28.51593744,0,326.4866604,22.27597095,159.2946795,81.98756679,41.55032728,184.2953613,124.941707,19.21008376,77.60053644,30.58806065
Cotton,228.68722,59.31609073,33.77581377,20.76098253,73.64742044,0,209.4629091,17.26670316,0,47.00460114,NA,291.9346148,131.3647715,39.99970103,29.23230843,30.42887247,0,29.09067336,9.48134997,0,275.5660443,192.1000831,0,0,189.1800684,0,21.01262643,20.10500011,0,0,94.14729109,178.8913617,120.5684135,18.81501429,0,0,0,0,4.105319859,0,44.94403484,114.121728,100.8440972,11.01661757,17.57733895,0,97.43362455,0,146.4736504,91.14813978,283.4462516,96.30220594,0,0,0,89.01070657,45.14074685,0,0,0,20.6630884,64.15810898,0,47.17236675,0,120.0529731,NA,46.73980752,13.80093444,0,81.12963321,0,0,119.4412641,10.22962653,11.94538511,0,246.0315605,0,0,86.47439637,183.9805637,66.64303017,0,0,204.8094676,77.73401879,0,0,40.9878623,0,109.5892178,170.5887277,17.36970895,0,15.87709053,0,0,13.58491672,2116.315416,13.77744686,46.18737659,173.523752,23.58264808,0,0,19.8575661,87.09341089,112.1215726,175.8623217,224.9311475,275.2760843,30.00139636,92.34640852,54.66137719
Sugar Crops,220.2746966,0,71.72225966,82.59430658,298.3254872,168.9619509,107.930982,47.47571995,91.68635213,85.54882683,NA,164.8435627,0,85.13835714,65.06549746,69.68440884,1103.649101,54.60310549,31.31403304,477.3333878,348.983888,246.8105562,0,45.33330502,214.1472237,185.3965422,55.75592302,53.15271731,201.624631,142.512061,111.9518232,208.9081491,206.4256321,43.63750757,163.916998,191.656856,181.4892442,121.5488863,0,268.1832129,96.99412487,93.87700306,142.5893234,38.36127353,42.30210214,157.1967052,105.8470731,99.61433592,227.0421325,142.7527761,291.5902218,0,143.4621194,274.6232868,0,171.1306845,72.91130095,40.81846832,0,40.3106026,45.77145366,127.7513176,108.5362696,99.27871005,0,219.7105436,NA,207.029559,43.74101673,0,137.7627025,635.1890241,0,168.2965469,37.66923355,36.64749667,0,326.0922108,209.567671,149.5786493,167.1445854,333.7393373,68.86393848,150.0827659,247.8250729,0,59.23073268,76.67253815,0,89.17199776,34.59656678,231.7752068,150.0704504,50.84321821,0,40.84951905,212.7107823,355.4291724,17.1828419,130.1465181,0,68.70405414,116.5762259,51.16569575,0,348.7876468,54.10160281,176.642033,292.1122754,166.973949,330.4166621,281.0870402,0,117.1329229,114.2366637
Fruits and Vegetable,228.7303647,48.52657434,29.9177977,50.71924569,251.9694792,131.0161138,60.22649974,16.46520799,54.19665915,42.50914898,NA,90.85648573,67.38090965,33.64426485,26.42203865,27.12459017,107.3590814,28.81467396,7.122987938,350.3867897,343.1331502,210.5234678,2.74727605,16.26475276,280.6554398,89.7270005,18.26825842,17.38389548,149.7757327,120.9208326,157.0108994,179.6343725,212.3258095,18.74289792,75.38189514,119.5555575,120.6561842,53.10704984,6.836706489,182.9657197,37.38525881,60.74063363,108.36869,10.66806169,17.40158531,69.9146147,87.2562806,72.81134869,114.1876495,92.49686951,115.2258643,199.856672,101.686282,263.5869691,261.2244256,73.50031772,46.04706454,136.8344567,18.9628898,14.82555463,20.51540908,53.23634476,73.81434052,38.98832729,20.78061878,168.2016843,NA,45.93655707,13.10650721,173.6606494,70.82059418,490.6669011,216.0259412,121.4377972,8.816714802,13.69379442,572.8190323,146.4703682,113.1760848,62.18451625,69.1327989,159.1084395,65.76776257,104.604371,150.9701298,291.6168861,50.37488928,32.73455241,100.46498,32.90264401,9.592798414,162.2117008,92.88108125,25.73983488,0,15.87209989,140.0574764,319.9425372,15.16855561,302.2298936,13.50498064,37.51248413,94.54341171,22.95426477,176.3195205,232.5125387,17.43137942,233.0287295,141.8335975,100.338252,233.3441022,62.62281195,27.49788349,92.32421827,44.81178818
