# File: A22.globaltech_cost.csv
# Title: Primary energy transformation technologies default cost assumptions
# Units: 1975$/GJ
# Column types: ccccnnnnnnc 
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2010,2025,2100,improvement.max,improvement.rate,improvement.shadow.technology
gas processing,natural gas,natural gas,non-energy,0.200,0.200,,0.20,,,
gas processing,biomass gasification,biomass gasification,non-energy,7.030,7.030,,,0.7,0.03,
gas processing,coal gasification,coal gasification,non-energy,5.286,5.286,,,0.7,0.03,
nuclearFuelGenII,enrichedUranium,enrichedUranium,non-energy,0.124,0.124,,0.12,,,
nuclearFuelGenIII,enrichedUranium,enrichedUranium,non-energy,0.124,0.124,,0.12,,,
refining,oil refining,oil refining,non-energy,0.840,0.840,,0.84,,,
refining,coal to liquids,coal to liquids,non-energy,5.294,5.294,,,0.7,0.03,
refining,coal to liquids,coal to liquids CCS level 1,non-energy,5.981,5.981,,,0.6,0.05,coal to liquids
refining,coal to liquids,coal to liquids CCS level 2,non-energy,6.468,6.468,,,0.6,0.05,coal to liquids
refining,gas to liquids,gas to liquids,non-energy,3.971,3.971,,,0.7,0.03,
refining,biomass liquids,cellulosic ethanol,non-energy,6.053,6.053,,,0.7,0.03,
refining,biomass liquids,cellulosic ethanol CCS level 1,non-energy,6.233,6.233,,,0.6,0.05,cellulosic ethanol
refining,biomass liquids,cellulosic ethanol CCS level 2,non-energy,6.327,6.327,,,0.6,0.05,cellulosic ethanol
refining,biomass liquids,FT biofuels,non-energy,3.683,3.683,,,0.7,0.03,
refining,biomass liquids,FT biofuels CCS level 1,non-energy,4.228,4.228,,,0.6,0.05,FT biofuels
refining,biomass liquids,FT biofuels CCS level 2,non-energy,5.562,5.562,,,0.6,0.05,FT biofuels
refining,biomass liquids,corn ethanol,non-energy,2.380,2.380,,2.38,,,
refining,biomass liquids,sugar cane ethanol,non-energy,2.000,2.000,,2.00,,,
refining,biomass liquids,biodiesel,non-energy,1.880,1.880,,1.88,,,
refining,biomass liquids,BTL with hydrogen,non-energy,5.650,5.650,,,0.7,0.03,
aviation fuels,oil refining,oil refining,non-energy,0.840,0.840,,0.84,,,
aviation fuels,biomass liquids,cellulosic ethanol,non-energy,6.053,6.053,,,0.7,0.03,
aviation fuels,biomass liquids,cellulosic ethanol CCS level 1,non-energy,6.233,6.233,,,0.6,0.05,cellulosic ethanol
aviation fuels,biomass liquids,cellulosic ethanol CCS level 2,non-energy,6.327,6.327,,,0.6,0.05,cellulosic ethanol
aviation fuels,biomass liquids,FT biofuels,non-energy,3.683,3.683,,,0.7,0.03,
aviation fuels,biomass liquids,FT biofuels CCS level 1,non-energy,4.228,4.228,,,0.6,0.05,FT biofuels
aviation fuels,biomass liquids,FT biofuels CCS level 2,non-energy,5.562,5.562,,,0.6,0.05,FT biofuels
aviation fuels,biomass liquids,corn ethanol,non-energy,2.380,2.380,,2.38,,,
aviation fuels,biomass liquids,sugar cane ethanol,non-energy,2.000,2.000,,2.00,,,
diesel,oil refining,oil refining,non-energy,0.840,0.840,,0.84,,,
diesel,biomass liquids,FT biofuels,non-energy,3.683,3.683,,,0.7,0.03,
diesel,biomass liquids,FT biofuels CCS level 1,non-energy,4.228,4.228,,,0.6,0.05,FT biofuels
diesel,biomass liquids,FT biofuels CCS level 2,non-energy,5.562,5.562,,,0.6,0.05,FT biofuels
diesel,biomass liquids,renewable diesel,non-energy,1.880,1.880,,1.88,,,
diesel,e-fuels,e-diesel,non-energy,5.74,5.74,,5.74,,,
