# File: A23.globaltech_cost_tc.csv
# Title: Electricity technology post-2050 technological change
# Units: annual rate of improvement
# Source: None
# Description: annual improvement rates to be applied to each technology in the post-2050 time periods (after the ATB projection terminates)
# Note that scenario (column) names need to exactly match the case names in the ATB
# Column types: cccnnn
# ----------
supplysector,subsector,technology,Advanced,Moderate,Conservative
electricity,coal,coal (conv pul),0.005,0.0025,0.001
electricity,coal,coal (conv pul CCS),0.005,0.0025,0.001
electricity,coal,coal (IGCC),0.005,0.0025,0.001
electricity,coal,coal (IGCC CCS),0.005,0.0025,0.001
electricity,gas,gas (steam/CT),0.005,0.0025,0.001
electricity,gas,gas (CC),0.005,0.0025,0.001
electricity,gas,gas (CC CCS),0.005,0.0025,0.001
electricity,refined liquids,refined liquids (steam/CT),0.005,0.0025,0.001
electricity,refined liquids,refined liquids (CC),0.005,0.0025,0.001
electricity,refined liquids,refined liquids (CC CCS),0.005,0.0025,0.001
electricity,biomass,biomass (conv),0.005,0.0025,0.001
electricity,biomass,biomass (conv CCS),0.005,0.0025,0.001
electricity,biomass,biomass (IGCC),0.005,0.0025,0.001
electricity,biomass,biomass (IGCC CCS),0.005,0.0025,0.001
electricity,nuclear,Gen_II_LWR,0,0,0
electricity,nuclear,Gen_III,0.005,0.0025,0.001
electricity,wind,wind,0.005,0.0025,0.001
electricity,wind,wind_storage,0.005,0.0025,0.001
electricity,solar,PV,0.005,0.0025,0.001
electricity,solar,PV_storage,0.005,0.0025,0.001
electricity,solar,CSP,0.005,0.0025,0.001
electricity,solar,CSP_storage,0.005,0.0025,0.001
electricity,geothermal,geothermal,0.005,0.0025,0.001
elect_td_bld,rooftop_pv,rooftop_pv,0.005,0.0025,0.001
electricity,wind,wind_offshore,0.005,0.0025,0.001
