# File: A322.subsector_logit.csv
# Title: ammonia / traded ammonia / regional ammonia / N fertilizer subsector logit exponents for technology competition
# Units: Unitless
# Column types: ccinc
# ----------
supplysector,subsector,traded,logit.exponent,logit.type
ammonia,coal,0,-8,
ammonia,gas,0,-8,
ammonia,refined liquids,0,-8,
ammonia,hydrogen,0,-8,
traded ammonia,traded ammonia,1,-6,
regional ammonia,domestic ammonia,0,-6,
regional ammonia,imported ammonia,0,-6,
N fertilizer,synthetic N,0,-6,
N fertilizer,manure N,0,-6,
phosphate,phosphate,0,-6,
traded phosphate,traded phosphate,1,-6,
regional phosphate,domestic phosphate,0,-6,
regional phosphate,imported phosphate,0,-6,
P fertilizer,geologic P,0,-6,
P fertilizer,manure P,0,-6,
