# File: A322.subsector_shrwt.csv
# Title: Default subsector share-weights of N and P fertilizer (and upstream production/traded/domestic supply commodities)
# Units: Unitless
# Column types: cciccn
# ----------
supplysector,subsector,traded,year.fillout,year,share.weight
ammonia,coal,0,start-year,,1
ammonia,gas,0,start-year,,1
ammonia,refined liquids,0,start-year,,1
ammonia,refined liquids,0,2035,,0
ammonia,hydrogen,0,start-year,,0
ammonia,hydrogen,0,2050,,1
traded ammonia,traded ammonia,1,start-year,,1
regional ammonia,domestic ammonia,0,start-year,,1
regional ammonia,imported ammonia,0,start-year,,1
N fertilizer,synthetic N,0,start-year,,1
N fertilizer,manure N,0,start-year,,1
phosphate,phosphate,0,start-year,,1
traded phosphate,traded phosphate,1,start-year,,1
regional phosphate,domestic phosphate,0,start-year,,1
regional phosphate,imported phosphate,0,start-year,,1
P fertilizer,geologic P,0,start-year,,1
P fertilizer,manure P,0,start-year,,1
