# File: A323.globaltech_coef.csv
# Title: IRONSTL production default coefficients
# Units: scrap input is unitless (Mt scrap per Mt IRONSTL); all others are GJ per tonne
# Column types: cccccnnn
# ----------
steel_region,supplysector,subsector,technology,minicam.energy.input,1971,2025,2100
global,iron and steel,BLASTFUR,Biomass-based,delivered biomass,23.7,23.7,13.8
global,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,0.1,0.1,0.1
global,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,1.6,1.6,0.9
global,iron and steel,BLASTFUR,Biomass-based,wholesale gas,0.1,0.1,0.1
gas_intensive,iron and steel,BLASTFUR,BLASTFUR,delivered coal,17.2,17.2,10
gas_intensive,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,0.1,0.1,0.1
gas_intensive,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,1.6,1.6,0.9
gas_intensive,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,6.6,6.6,3.8
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,13.8,13.8,9
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.1,0.1,0.1
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,2.2,2.2,1.5
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,wholesale gas,6.6,6.6,4.3
gas_intensive,iron and steel,EAF with DRI,EAF with DRI,delivered coal,0.1,0.1,0.1
gas_intensive,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.1,0.1,0.1
gas_intensive,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,3.4,3.4,2.3
gas_intensive,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,18.3,18.3,12.4
gas_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,delivered coal,0.1,0.1,0.1
gas_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.1,0.1,0.1
gas_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,3.4,3.4,2.6
gas_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,wholesale gas,18.3,18.3,14.1
global,iron and steel,EAF with DRI,Hydrogen-based DRI,H2 industrial,7.3,7.3,7.3
