# File: A54.globaltranTech_shrwt_scen.csv
# Title: Transportation technology scenario shareweights
# Source: NA
# Units: Unitless
# Column types: ccccnnnn
# ----------
scenario,supplysector,tranSubsector,tranTechnology,2025,2030,2050,2100
NH3_ship,trn_shipping_intl,International Ship,Liquids,1,1,0,0
NH3_ship,trn_shipping_intl,International Ship,BEV,0,0,0,0
NH3_ship,trn_shipping_intl,International Ship,FCEV,0,0,0,0
NH3_ship,trn_shipping_intl,International Ship,Hybrid Liquids,0,0,0,0
NH3_ship,trn_shipping_intl,International Ship,Ammonia,0,0.1,1,1
NH3_ship,trn_freight,Domestic Ship,Liquids,1,1,0,0
NH3_ship,trn_freight,Domestic Ship,BEV,0,0,0,0
NH3_ship,trn_freight,Domestic Ship,FCEV,0,0,0,0
NH3_ship,trn_freight,Domestic Ship,Hybrid Liquids,0,0,0,0
NH3_ship,trn_freight,Domestic Ship,Ammonia,0,0.1,1,1
