# File: A_regions.csv
# Title: Region-specific assumptions in the energy system
# Units: NA
# Description: Specifies region-specific assumptions in the energy system
# Column types: icicccnicc
# ----------
GCAM_region_ID,region,tradbio_region,ethanol,biodiesel,biomassOil_tech,elect_td_techchange,has_district_heat,region.class,steel_thermal_fuel
1,USA,1,corn ethanol,biodiesel,OilCrop,0.0001,0,A,gas
2,Africa_Eastern,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,coal
3,Africa_Northern,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,gas
4,Africa_Southern,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,gas
5,Africa_Western,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,gas
6,Australia_NZ,1,corn ethanol,biodiesel,OilCrop,0.0001,0,B,gas
7,Brazil,1,sugar cane ethanol,biodiesel,Soybean,0.00075,0,D,coal
8,Canada,1,corn ethanol,biodiesel,OilCrop,0.0001,0,B,gas
9,Central America and Caribbean,1,sugar cane ethanol,biodiesel,OilPalm,0.00075,0,D,gas
10,Central Asia,1,corn ethanol,biodiesel,OilCrop,0.0001,0,D,gas
11,China,1,corn ethanol,biodiesel,Soybean,0.0001,1,D,coal
12,EU-12,1,corn ethanol,biodiesel,OilCrop,0.0001,1,C,gas
13,EU-15,1,corn ethanol,biodiesel,OilCrop,0.0001,0,C,gas
14,Ukraine,1,corn ethanol,biodiesel,OilCrop,0.0002,1,D,gas
15,Europe_Non_EU,1,corn ethanol,biodiesel,OilCrop,0.0002,1,C,gas
16,European Free Trade Association,1,corn ethanol,biodiesel,OilCrop,0.0001,0,C,coal
17,India,1,corn ethanol,biodiesel,Soybean,0.002,0,E,coal
18,Indonesia,1,sugar cane ethanol,biodiesel,OilPalm,0.00025,0,E,coal
19,Japan,1,corn ethanol,biodiesel,Soybean,0.0001,0,D,coal
20,Mexico,1,corn ethanol,biodiesel,OilCrop,0.00075,0,D,gas
21,Middle East,1,corn ethanol,biodiesel,OilCrop,0.0004,0,D,gas
22,Pakistan,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,coal
23,Russia,1,corn ethanol,biodiesel,OilCrop,0.0004,1,D,gas
24,South Africa,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,coal
25,South America_Northern,1,sugar cane ethanol,biodiesel,OilPalm,0.00075,0,D,gas
26,South America_Southern,1,corn ethanol,biodiesel,Soybean,0.00075,0,D,gas
27,South Asia,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,coal
28,South Korea,1,corn ethanol,biodiesel,Soybean,0.0001,0,D,coal
29,Southeast Asia,1,sugar cane ethanol,biodiesel,OilPalm,0.00025,0,E,coal
30,Taiwan,1,sugar cane ethanol,biodiesel,OilPalm,0.0001,0,D,gas
31,Argentina,1,corn ethanol,biodiesel,Soybean,0.00075,0,D,gas
32,Colombia,1,sugar cane ethanol,biodiesel,OilCrop,0.00075,0,D,coal
