# File: GlobalIntTechOMfixed_elec.csv
# Title: Intermittent electric sector OM fixed costs for central and advanced cases
# Units: 1975$/kW
# Source: ATB2023
# Comments:
# Column types: cccncnc
# ----------
sector.name,subsector.name,intermittent.technology,year,input.OM.fixed,OM.fixed,case
elect_td_bld,rooftop_pv,rooftop_pv,1975,OM-fixed,7.16,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,1990,OM-fixed,7.16,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2005,OM-fixed,7.16,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2010,OM-fixed,7.16,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2015,OM-fixed,7.16,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2020,OM-fixed,7.11,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2025,OM-fixed,6.52,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2030,OM-fixed,5.04,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2035,OM-fixed,3.55,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2040,OM-fixed,3.37,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2045,OM-fixed,3.2,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2050,OM-fixed,3.02,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2055,OM-fixed,3.71,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2060,OM-fixed,3.65,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2065,OM-fixed,3.62,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2070,OM-fixed,3.6,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2075,OM-fixed,3.59,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2080,OM-fixed,3.58,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2085,OM-fixed,3.57,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2090,OM-fixed,3.57,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2095,OM-fixed,3.57,adv tech
elect_td_bld,rooftop_pv,rooftop_pv,2100,OM-fixed,3.57,adv tech
electricity,solar,CSP,1975,OM-fixed,15.92,adv tech
