# File: H2A_IO_coef_data.csv
# Title: H2A energy input-output coefficients of hydrogen production technologies
# Units: Generally GJ in /kg H2 out unless otherwise indicated
# Source: H2A is the DOE EERE Hydrogen program's analysis model (https://www.hydrogen.energy.gov/h2a_analysis.html). H2A 2018 (generally), Results tab (2008 for nuclear thermal splitting).
# Comments: Non-energy cost = required selling price - feedstock costs. Max improvement = improvement_to_2040 + 10% unless otherwise stated
# Column types: cccccnnc
# ----------
sector.name,subsector.name,technology,minicam.energy.input,units,2020,2040,notes
H2 central production,biomass,biomass to H2,regional biomass,GJ in /kg H2 out,0.263744,0.254725,
H2 central production,biomass,biomass to H2,regional natural gas,GJ in /kg H2 out,0.006225,0.003113,
H2 central production,biomass,biomass to H2,elect_td_ind,GJ in /kg H2 out,0.003528,0.003402,
H2 central production,biomass,biomass to H2 CCS,regional biomass,GJ in /kg H2 out,,,H2A 2018 did not report Biomass + CCS assumptions.
H2 central production,biomass,biomass to H2 CCS,regional natural gas,GJ in /kg H2 out,,,H2A 2018 did not report Biomass + CCS assumptions.
H2 central production,biomass,biomass to H2 CCS,elect_td_ind,GJ in /kg H2 out,,,H2A 2018 did not report Biomass + CCS assumptions.
H2 central production,coal,coal chemical,regional coal,GJ in /kg H2 out,,,H2A 2018 did not report Coal without CCS assumptions.
H2 central production,coal,coal chemical,elect_td_ind,GJ in /kg H2 out,,,H2A 2018 did not report Coal without CCS assumptions.
H2 central production,coal,coal chemical CCS,regional coal,GJ in /kg H2 out,0.198403,,H2A  2018 did not report future Coal + CCS assumptions.
H2 central production,coal,coal chemical CCS,elect_td_ind,GJ in /kg H2 out,0.003758,,H2A  2018 did not report future Coal + CCS assumptions.
H2 central production,electricity,electrolysis,elect_td_ind,GJ hydrogen output / GJ input,0.601660,0.688228,Method of electrolysis utilized: PEM Electrolysis.
H2 central production,solar,electrolysis,global solar resource,GJ hydrogen output / GJ input,0.601660,0.688228,Method of electrolysis utilized: PEM Electrolysis powered by solar PV created electricity. Efficiency is equivalent to central electrolysis.
H2 central production,wind,electrolysis,onshore wind resource,GJ hydrogen output / GJ input,0.601660,0.688228,Method of electrolysis utilized: PEM Electrolysis powered by solar wind created electricity.Efficiency is equivalent to central electrolysis.
H2 central production,gas,natural gas steam reforming,regional natural gas,GJ in /kg H2 out,0.166434,0.164369,
H2 central production,gas,natural gas steam reforming,elect_td_ind,GJ in /kg H2 out,0.000472,0.002160,
H2 central production,gas,gas ATR CCS,regional natural gas,GJ in /kg H2 out,0.166353,0.154673,Assumes improvement from H2A gas SMR + CCS
H2 central production,gas,gas ATR CCS,elect_td_ind,GJ in /kg H2 out,0.012582,0.005024,Assumes improvement from H2A gas SMR + CCS
H2 central production,nuclear,electrolysis,electricity,GJ in /kg H2 out,0.132480,0.126360,Method of electrolysis used: solid oxide electrolysis using thermal + electrical energy from nuclear. 
H2 central production,nuclear,electrolysis,thermal,GJ in /kg H2 out,0.050760,0.048308,Method of electrolysis used: solid oxide electrolysis using thermal + electrical energy from nuclear. 
H2 industrial,onsite production,electrolysis,elect_td_ind,GJ hydrogen output / GJ input,0.598425,0.649652,Method of electrolysis utilized: PEM Electrolysis - Forecourt model for larger (1500kG/H2/day) plant.
H2 LDV,onsite production,electrolysis,elect_td_trn,GJ hydrogen output / GJ input,0.598425,0.649652,Method of electrolysis utilized: PEM Electrolysis - Forecourt model for larger (1500kG/H2/day) plant.
H2 LDV,onsite production,natural gas steam reforming,delivered gas,GJ in /kg H2 out,0.164366,0.153818,
H2 LDV,onsite production,natural gas steam reforming,elect_td_trn,GJ in /kg H2 out,0.003996,0.008165,
H2 MHDV,onsite production,electrolysis,elect_td_trn,GJ hydrogen output / GJ input,0.598425,0.649652,Method of electrolysis utilized: PEM Electrolysis - Forecourt model for larger (1500kG/H2/day) plant.
H2 MHDV,onsite production,natural gas steam reforming,delivered gas,GJ in /kg H2 out,0.164370,0.153820,
H2 MHDV,onsite production,natural gas steam reforming,elect_td_trn,GJ in /kg H2 out,0.004000,0.008160,
LH2,onsite production,electrolysis,elect_td_trn,GJ hydrogen output / GJ input,0.598425,0.649652,Method of electrolysis utilized: PEM Electrolysis - Forecourt model for larger (1500kG/H2/day) plant.
LH2,onsite production,natural gas steam reforming,delivered gas,GJ in /kg H2 out,0.164370,0.153820,
LH2,onsite production,natural gas steam reforming,elect_td_trn,GJ in /kg H2 out,0.004000,0.008160,
