# File: H2Fast_electrolyzer_NEcost_CF.csv
# Title: H2Fast (Python implementation of H2A) non-energy costs of electrolyzers as a function of capacity factor for 3 scenarios
# Units: 2016$/kg
# Source: H2A is the DOE EERE Hydrogen program's analysis model (https://www.hydrogen.energy.gov/h2a_analysis.html)
# Comments: Data provided by Joe Brauch (Joe.Brauch@nrel.gov). Filename: h2_LTE_non_energy_costs_20231130.csv
# Column types: icnn
# ----------
Year,Scen,CF,NEcost_2020USD_per_kg
2022,bau,0.1,18.002456480136438
2022,bau,0.15,12.044712826769512
2022,bau,0.2,9.08343421644023
2022,bau,0.25,7.309003431112297
2022,bau,0.3,6.133013647052904
2022,bau,0.35,5.28376190371649
2022,bau,0.4,4.673149343329734
2022,bau,0.45,4.179586735825565
2022,bau,0.5,3.7913757802676877
2022,bau,0.55,3.4788320115355873
2022,bau,0.6,3.2278234449333794
2022,bau,0.65,2.981784713231506
2022,bau,0.7,2.8124078236165255
2022,bau,0.75,2.6268686308960243
2022,bau,0.8,2.515841987766642
2022,bau,0.85,2.369575984533838
2022,bau,0.9,2.2395617594380126
2022,bau,0.95,2.18886315436542
2022,bau,1.0,2.0808859932876094
2025,bau,0.1,14.003129256100065
2025,bau,0.15,9.348213825248388
2025,bau,0.2,7.041564642031566
2025,bau,0.25,5.6604213078575105
2025,bau,0.3,4.737566807041081
2025,bau,0.35,4.086941078183493
2025,bau,0.4,3.596883906107985
2025,bau,0.45,3.2228141808917634
2025,bau,0.5,2.9167411298600485
2025,bau,0.55,2.6683608160563828
2025,bau,0.6,2.465630448912961
2025,bau,0.65,2.297401487800389
2025,bau,0.7,2.135395711408014
2025,bau,0.75,2.0174231847711854
2025,bau,0.8,1.8931667315235696
2025,bau,0.85,1.8098304710028814
2025,bau,0.9,1.7109132188810021
2025,bau,0.95,1.622408309087741
2025,bau,1.0,1.5743399312946593
2030,bau,0.1,8.13094187849922
2030,bau,0.15,5.4304012299358435
2030,bau,0.2,4.083365530323398
2030,bau,0.25,3.2798896176043404
2030,bau,0.3,2.745321005263746
2030,bau,0.35,2.3648165384722626
2030,bau,0.4,2.0790660173215274
2030,bau,0.45,1.858026847462054
2030,bau,0.5,1.6828353847750137
2030,bau,0.55,1.5350464100626682
2030,bau,0.6,1.4166245642519768
2030,bau,0.65,1.3156269299527397
2030,bau,0.7,1.2299564800954472
2030,bau,0.75,1.157608529101203
2030,bau,0.8,1.0870905170848466
2030,bau,0.85,1.0330801003172847
2030,bau,0.9,0.9773156846500595
2030,bau,0.95,0.9373320076983156
2030,bau,1.0,0.8919314039537516
2035,bau,0.1,7.04119209958155
2035,bau,0.15,4.703901377324062
2035,bau,0.2,3.5380188664687076
2035,bau,0.25,2.842543006729473
2035,bau,0.3,2.379816781185668
2035,bau,0.35,2.050434419492577
2035,bau,0.4,1.8030763930805613
2035,bau,0.45,1.6117236650416802
2035,bau,0.5,1.4600421521075098
2035,bau,0.55,1.3321422463045522
2035,bau,0.6,1.2295958795057034
2035,bau,0.65,1.1421509784066346
2035,bau,0.7,1.0679660741214625
2035,bau,0.75,1.0052934105229352
2035,bau,0.8,0.9442950934177204
2035,bau,0.85,0.8974864278010329
2035,bau,0.9,0.8492549939401537
2035,bau,0.95,0.8145640463241685
2035,bau,1.0,0.775301840648405
2040,bau,0.1,6.989993406485815
2040,bau,0.15,4.669768915260243
2040,bau,0.2,3.5115466022052635
2040,bau,0.25,2.8208839212442536
2040,bau,0.3,2.3611943975384095
2040,bau,0.35,2.0338210129991103
2040,bau,0.4,1.7901098310839534
2040,bau,0.45,1.6001518333338836
2040,bau,0.5,1.4461170327234025
2040,bau,0.55,1.322609390038763
2040,bau,0.6,1.220808885999787
2040,bau,0.65,1.1340007202698357
2040,bau,0.7,1.0603554306137828
2040,bau,0.75,0.9916198041562189
2040,bau,0.8,0.9375862697838497
2040,bau,0.85,0.8911159572956135
2040,bau,0.9,0.8432384384628122
2040,bau,0.95,0.8087961541915165
2040,bau,1.0,0.769822343122386
2045,bau,0.1,6.938794713390087
2045,bau,0.15,4.635636453196419
2045,bau,0.2,3.4851234736324774
2045,bau,0.25,2.7993331213605126
2045,bau,0.3,2.3440339781440644
2045,bau,0.35,2.017434194187574
2045,bau,0.4,1.774438556469753
2045,bau,0.45,1.5856044635108457
2045,bau,0.5,1.4356777215028218
2045,bau,0.55,1.3109450946650998
2045,bau,0.6,1.2120218924938704
2045,bau,0.65,1.125850462133036
2045,bau,0.7,1.0475269108465202
2045,bau,0.75,0.9845165368823845
2045,bau,0.8,0.9308774461499786
2045,bau,0.85,0.8778446750140674
2045,bau,0.9,0.8372218829854706
2045,bau,0.95,0.7947007637918676
2045,bau,1.0,0.7643428455963664
2050,bau,0.1,6.887596020294349
