# File: NREL_ATB_OMfixed_2023.csv
# Title: Technology fixed O&M cost assumptions by year from NREL 2022 ATB
# Units: $2021/kW for 2021-2050
# Source: NREL 2023 Annual Technology Baseline for 2021-2050
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
tech_type,tech_detail,input,case,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Offshore Wind,Class 1,OM-fixed,adv tech,101.5416362,97.19712191,93.64739531,90.64614423,88.04634229,85.75315446,83.70182805,81.84617759,80.15210144,78.59370246,77.15085036,75.8075872,74.55104842,73.37071168,72.25786059,71.20519377,70.20653418,69.25660952,68.35088372,67.48542597,66.65680758,65.86201994,65.09840859,64.36361975,63.6555565,62.97234276,62.31229333,61.67388881,61.05575456,60.45664287
Offshore Wind,Class 1,OM-fixed,central,107.2967715,103.4371058,100.2835294,97.61721846,95.30755489,93.27028725,91.44788924,89.79932971,88.29431278,86.9098314,85.62800187,84.43464712,83.3183383,82.26972736,81.28107066,80.34588165,79.45867265,78.61475975,77.81011312,77.04124061,76.30509618,75.59900699,74.92061481,74.26782854,73.63878528,73.03181832,72.44543053,71.87827207,71.32912171,70.796871
Offshore Wind,Class 1,OM-fixed,low tech,118.1816422,115.6016445,113.4936329,111.7113345,110.1674374,108.8056236,107.5874397,106.4854583,105.4794281,104.5539701,103.6971297,102.8994305,102.1532326,101.4522875,100.7914189,100.1662908,99.57323494,99.00912046,98.47125355,97.95729989,97.46522335,96.99323727,96.53976529,96.1034096,95.68292495,95.27719723,94.88522568,94.506108,94.13902785,93.78324429
Offshore Wind,Class 2,OM-fixed,adv tech,103.7246606,99.28674451,95.660703,92.59492859,89.939234,87.59674536,85.50131787,83.60577313,81.87527636,80.28337365,78.80950195,77.43736022,76.15380736,74.94809478,73.81131872,72.73602081,71.71589122,70.74554431,69.82034648,68.93628242,68.08984972,67.27797509,66.49794701,65.74736107,65.02407531,64.32617329,63.65193358,62.99980412,62.36838072,61.75638884
Offshore Wind,Class 2,OM-fixed,central,109.6035245,105.6608807,102.4395061,99.71587263,97.35655405,95.27548757,93.41391017,91.72990857,90.19253556,88.77828948,87.46890214,86.24989168,85.10958355,84.03842871,83.02851707,82.07322261,81.16693967,80.30488365,79.48293807,78.69753572,77.94556506,77.22429579,76.53131899,75.86449858,75.22193164,74.60191562,74.00292118,73.42356949,72.86261305,72.31891958
Offshore Wind,Class 2,OM-fixed,low tech,120.722407,118.0869424,115.9336111,114.1129954,112.5359064,111.1448152,109.9004418,108.7747691,107.7471105,106.8017561,105.9264948,105.1116459,104.3494057,103.6333911,102.9583146,102.319747,101.7139411,101.1376989,100.5882685,100.0632654,99.56060982,99.07847659,98.6152555,98.16951868,97.73999412,97.32554374,96.92514526,96.53787699,96.16290506,95.79947257
Offshore Wind,Class 3,OM-fixed,adv tech,105.5786293,101.0613901,97.37053696,94.24996508,91.54680275,89.1624446,87.02956355,85.10013796,83.33871039,81.7183541,80.2181385,78.82147119,77.51497618,76.28771276,75.13061803,74.0361003,72.99773698,72.01004614,71.06831138,70.16844561,69.30688381,68.48049778,67.68652753,66.92252566,66.18631193,65.47593565,64.78964462,64.12585903,63.4831496,62.86021902
Offshore Wind,Class 3,OM-fixed,central,111.5625717,107.5494572,104.270504,101.4981885,99.09669955,96.97843621,95.08358508,93.36948373,91.80463181,90.36510758,89.03231631,87.79151733,86.6308274,85.5405268,84.51256406,83.54019472,82.61771293,81.74024857,80.90361158,80.10417099,79.33875965,78.60459846,77.89923543,77.22049631,76.56644416,75.93534601,75.32564518,74.73593819,74.16495525,73.61154383
Offshore Wind,Class 3,OM-fixed,low tech,122.8801924,120.1976217,118.0058019,116.1526446,114.5473667,113.1314113,111.864796,110.7190031,109.6729762,108.7107247,107.8198189,106.9904055,106.214541,105.4857284,104.7985856,104.1486043,103.5319703,102.9454283,102.3861774,101.8517905,101.3401505,100.8493996,100.377899,99.92419507,99.48699321,99.06513496,98.65757979,98.26338951,97.88171535,97.51178689
Offshore Wind,Class 4,OM-fixed,adv tech,106.5620393,102.0027243,98.27749278,95.1278544,92.39951352,89.99294632,87.8401986,85.8928014,84.11496706,82.47951799,80.96532867,79.55565213,78.23698779,76.99829305,75.83042059,74.72570801,73.67767287,72.6807822,71.73027567,70.82202812,69.95244133,69.11835794,68.31699226,67.54587412,66.80280294,66.08580988,65.3931264,64.723158,64.07446207,63.44572921
Offshore Wind,Class 4,OM-fixed,central,112.6017189,108.5512244,105.2417294,102.4435912,100.0197337,97.88173982,95.96923914,94.23917183,92.65974412,91.20681147,89.86160595,88.60924958,87.43774842,86.33729224,85.29975456,84.31832811,83.38725388,82.50161639,81.65718657,80.85029961,80.07775886,79.33675934,78.62482622,77.939765,77.2796207,76.64264419,76.02726432,75.43206452,74.85576317,74.29719701
Offshore Wind,Class 4,OM-fixed,low tech,124.0247574,121.3172,119.1049644,117.234546,115.6143158,114.1851715,112.9067583,111.750293,110.6945228,109.7233084,108.8241043,107.9869654,107.2038742,106.468273,105.7747299,105.1186943,104.4963167,103.9043114,103.3398513,102.8004869,102.2840812,101.7887593,101.3128668,100.8549369,100.4136627,99.98787508,99.57652374,99.17866179,98.79343253,98.42005838
