# File: NREL_ATB_capital_2023.csv
# Title: Technology overnight capital cost assumptions by year from NREL 2023 ATB
# Units: $2021/kW for 2021-20
# Source: NREL 2023 Annual Technology Baseline for 2021-2050 (https://data.openei.org/submissions/5716
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# -------------
tech_type,tech_detail,input,case,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Offshore Wind,Class 1,capital,adv tech,2079.59638,2256.222894,2076.435253,1825.881407,1775.397748,1732.714422,1695.740443,1663.127083,1633.953438,1607.562666,1583.469779,1561.306471,1540.786453,1521.682774,1503.812475,1487.02591,1471.199115,1456.228251,1442.02547,1428.515789,1415.634698,1403.326292,1391.541811,1380.238465,1369.378503,1358.92845,1348.858485,1339.141926,1329.754805,1320.675516
Offshore Wind,Class 1,capital,central,2242.180831,2450.208271,2267.618016,2003.295327,1955.762404,1915.57389,1880.761016,1850.053885,1822.58542,1797.737171,1775.052497,1754.18462,1734.863983,1716.876901,1700.051109,1684.245707,1669.343978,1655.248151,1641.875513,1629.155464,1617.027264,1605.438276,1594.342589,1583.699916,1573.474712,1563.635458,1554.154076,1545.005443,1536.166993,1527.618382
Offshore Wind,Class 1,capital,low tech,2555.48864,2838.292481,2659.426708,2373.28994,2337.036435,2306.384533,2279.832648,2256.412226,2235.461944,2216.510109,2199.208439,2183.292445,2168.556537,2154.837735,2142.004652,2129.949824,2118.58423,2107.8333,2097.633948,2087.932328,2078.682113,2069.843157,2061.380443,2053.263244,2045.464449,2037.96002,2030.728541,2023.750851,2017.009739,2010.489687
Offshore Wind,Class 2,capital,adv tech,2085.966183,2263.133704,2082.795374,1831.474081,1780.83579,1738.021726,1700.934496,1668.221241,1638.958237,1612.48663,1588.319947,1566.088753,1545.505882,1526.343688,1508.418652,1491.580669,1475.705397,1460.688678,1446.442393,1432.891332,1419.970786,1407.62468,1395.804103,1384.466135,1373.572909,1363.090848,1352.990038,1343.243717,1333.827844,1324.720744
Offshore Wind,Class 2,capital,central,2249.04863,2457.713259,2274.563729,2009.43142,1961.752904,1921.441293,1886.521787,1855.720599,1828.167999,1803.243639,1780.489482,1759.557687,1740.177871,1722.135694,1705.258365,1689.404551,1674.457178,1660.318175,1646.904577,1634.145566,1621.980218,1610.355733,1599.22606,1588.550789,1578.294265,1568.424873,1558.914449,1549.737794,1540.872272,1532.297477
Offshore Wind,Class 2,capital,low tech,2563.316101,2846.98617,2667.572532,2380.559326,2344.194777,2313.448988,2286.815775,2263.323616,2242.309163,2223.299279,2205.944614,2189.979869,2175.198825,2161.438002,2148.565612,2136.47386,2125.073452,2114.289592,2104.059,2094.327664,2085.049115,2076.183086,2067.69445,2059.552388,2051.729706,2044.202291,2036.948662,2029.949599,2023.187839,2016.647816
Offshore Wind,Class 3,capital,adv tech,2194.465177,2380.847851,2191.129442,1926.735977,1873.463798,1828.422812,1789.406535,1754.99174,1724.206656,1696.358161,1670.934477,1647.546954,1625.89349,1605.734598,1586.877214,1569.163424,1552.462418,1536.664623,1521.677335,1507.421432,1493.82884,1480.840566,1468.405155,1456.477456,1445.017633,1433.99036,1423.364169,1413.110905,1403.205277,1393.624482
Offshore Wind,Class 3,capital,central,2366.030159,2585.548224,2392.872395,2113.949551,2063.791095,2021.382724,1984.646923,1952.243649,1923.257933,1897.037164,1873.099477,1851.078939,1830.691106,1811.710487,1793.955304,1777.276874,1761.552031,1746.677606,1732.566315,1719.14366,1706.345546,1694.116428,1682.407859,1671.177326,1660.387321,1650.004585,1639.999488,1630.34552,1621.018869,1611.998066
Offshore Wind,Class 3,capital,low tech,2696.64387,2995.068693,2806.323072,2504.381224,2466.125217,2433.780223,2405.761716,2381.04764,2358.940147,2338.941486,2320.684139,2303.889008,2288.339146,2273.86257,2260.320638,2247.599949,2235.606563,2224.261794,2213.49907,2203.26157,2193.500409,2184.173224,2175.243062,2166.677501,2158.447931,2150.528987,2142.898069,2135.534958,2128.421493,2121.541299
Offshore Wind,Class 4,capital,adv tech,2291.438938,2486.057891,2287.955795,2011.878742,1956.252457,1909.221102,1868.48069,1832.5451,1800.399619,1771.320494,1744.773333,1720.352312,1697.741979,1676.692262,1657.001566,1638.505001,1621.065976,1604.570073,1588.920495,1574.034622,1559.84137,1546.279143,1533.294209,1520.839424,1508.873189,1497.358619,1486.262855,1475.556498,1465.213138,1455.208967
Offshore Wind,Class 4,capital,central,2470.585403,2699.804006,2498.613801,2207.365314,2154.990347,2110.707944,2072.348781,2038.513602,2008.247003,1980.867534,1955.872036,1932.878408,1911.589633,1891.770258,1873.230471,1855.815018,1839.395291,1823.863563,1809.128692,1795.112888,1781.749223,1768.979698,1756.753726,1745.026914,1733.760097,1722.918546,1712.471322,1702.390744,1692.651947,1683.232513
Offshore Wind,Class 4,capital,low tech,2815.808985,3127.421248,2930.334929,2615.050223,2575.103677,2541.329353,2512.072703,2486.266509,2463.182082,2442.299677,2423.235535,2405.698225,2389.461212,2374.344914,2360.204562,2346.921743,2334.398368,2322.552271,2311.313941,2300.624044,2290.431536,2280.692181,2271.367394,2262.423319,2253.830084,2245.5612,2237.593071,2229.904583,2222.476773,2215.292542
Offshore Wind,Class 5,capital,adv tech,2331.874978,2529.928288,2328.33037,2047.381504,1990.773605,1942.912309,1901.452968,1864.883238,1832.170499,1802.578228,1775.5626,1750.710632,1727.701304,1706.280131,1686.241963,1667.418997,1649.672232,1632.885233,1616.959494,1601.810936,1587.367222,1573.565668,1560.351595,1547.677025,1535.499627,1523.781865,1512.490299,1501.595011,1491.069126,1480.888416
Offshore Wind,Class 5,capital,central,2514.182764,2747.44629,2542.705768,2246.317743,2193.018538,2147.954702,2108.918632,2074.486378,2043.685677,2015.823054,1990.386472,1966.987085,1945.322636,1925.153517,1906.286566,1888.56379,1871.854312,1856.048502,1841.053611,1826.790476,1813.190988,1800.196125,1787.754406,1775.820656,1764.355019,1753.322152,1742.69057,1732.432104,1722.521451,1712.935796
Offshore Wind,Class 5,capital,low tech,2865.49836,3182.60951,2982.045293,2661.196893,2620.545427,2586.175103,2556.402173,2530.140588,2506.6488,2485.397893,2465.997334,2448.15055,2431.62701,2416.243961,2401.85408,2388.336865,2375.592495,2363.537356,2352.100707,2341.222171,2330.8498,2320.938578,2311.449241,2302.347334,2293.602457,2285.187656,2277.078916,2269.254753,2261.695868,2254.38486
Offshore Wind,Class 6,capital,adv tech,2353.462598,2553.349411,2349.885176,2066.335391,2009.203437,1960.899059,1919.055903,1882.147624,1849.132043,1819.265817,1792.00009,1766.918051,1743.695711,1722.07623,1701.852555,1682.855334,1664.944276,1648.00187,1631.928696,1616.639898,1602.06247,1588.133146,1574.796742,1562.004836,1549.714704,1537.888463,1526.492364,1515.496211,1504.872882,1494.597923
Offshore Wind,Class 6,capital,central,2537.458121,2772.881112,2566.24518,2267.113306,2213.320677,2167.839657,2128.442206,2093.691191,2062.605349,2034.484784,2008.81272,1985.19671,1963.3317,1942.975863,1923.934249,1906.047401,1889.183234,1873.231099,1858.097391,1843.702214,1829.976827,1816.861662,1804.304762,1792.260534,1780.688752,1769.553747,1758.823742,1748.470308,1738.467905,1728.79351
Offshore Wind,Class 6,capital,low tech,2892.026064,3212.07291,3009.651945,2685.833251,2644.805449,2610.116937,2580.068381,2553.563676,2529.85441,2508.40677,2488.826608,2470.814606,2454.138096,2438.612637,2424.08954,2410.447187,2397.584835,2385.418094,2373.875569,2362.896323,2352.427929,2342.424953,2332.847767,2323.661598,2314.835765,2306.343062,2298.159255,2290.262659,2282.633796,2275.255105
Offshore Wind,Class 7,capital,adv tech,2568.442431,2786.588142,2564.538225,2255.087248,2192.736509,2140.01971,2094.354341,2054.074631,2018.043203,1985.448812,1955.692464,1928.319277,1902.975665,1879.381326,1857.310296,1836.57775,1817.030586,1798.540555,1780.999158,1764.313787,1748.404767,1733.203052,1718.648419,1704.688021,1691.275232,1678.368709,1665.93162,1653.931011,1642.337281,1631.123743
Offshore Wind,Class 7,capital,central,2769.245243,3026.173227,2800.66189,2474.205461,2415.49908,2365.863543,2322.867284,2284.941897,2251.016481,2220.32721,2192.310101,2166.536858,2142.674563,2120.459298,2099.678305,2080.157563,2061.752917,2044.343616,2027.827502,2012.11738,1997.138231,1982.825046,1969.121121,1955.976699,1943.347879,1931.195734,1919.485584,1908.186402,1897.270318,1886.712204
Offshore Wind,Class 7,capital,low tech,3156.201615,3505.48352,3284.572172,2931.173876,2886.398341,2848.541165,2815.747788,2786.82198,2760.946962,2737.540162,2716.171427,2696.514097,2678.314252,2661.370601,2645.520875,2630.632345,2616.595066,2603.31694,2590.720049,2578.737891,2567.313249,2556.396539,2545.944514,2535.919223,2526.287184,2517.018705,2508.087338,2499.469418,2491.143688,2483.090982
