# File: OTAQ_trn_data_DECARB_high_elec.csv
# Title: OTAQ-specific assumptions to layer into UCD_trn_data_CORE.csv database
# Units: Various
# Column types: ccccccccnnnnnnnnnnnnnnnnnnnn
# Source: 2021.10.05 Vehicle tables.xlsx workbook. BEV 3-wheeler data from UCD_trn_data_CORE file of CMP 316
# ----------
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
USA,Passenger,LDV_4W,Compact Car,BEV,Electricity,intensity,MJ/vkm,0.7796,0.7769,0.7742,0.7715,0.768833333,0.766166667,0.7635,0.7609,0.7583,0.7557,0.7557,0.7557,0.7557,0.7557,0.7557,0.7557,0.7557,0.7557,0.7557,0.7557
USA,Passenger,LDV_4W,Compact Car,FCEV,Hydrogen,intensity,MJ/vkm,1.4156,1.3298,1.244,1.1582,1.138233333,1.118266667,1.0983,1.0803,1.0623,1.0443,1.0443,1.0443,1.0443,1.0443,1.0443,1.0443,1.0443,1.0443,1.0443,1.0443
USA,Passenger,LDV_4W,Compact Car,Hybrid Liquids,Liquids,intensity,MJ/vkm,2.1862,2.128166667,1.883821333,1.690164,1.393469667,1.323796184,1.310558222,1.306189695,1.301821167,1.29745264,1.29745264,1.29745264,1.29745264,1.29745264,1.29745264,1.29745264,1.29745264,1.29745264,1.29745264,1.29745264
USA,Passenger,LDV_4W,Compact Car,Liquids,Liquids,intensity,MJ/vkm,2.9139,2.806,2.455271,2.061028907,1.830561415,1.847091005,1.865755168,1.893903445,1.922051723,1.9502,1.9502,1.9502,1.9502,1.9502,1.9502,1.9502,1.9502,1.9502,1.9502,1.9502
USA,Passenger,LDV_4W,Compact Car,NG,Natural Gas,intensity,MJ/vkm,2.9383,2.8346,2.7309,2.6272,2.543366667,2.459533333,2.3757,2.3065,2.2373,2.1681,2.1681,2.1681,2.1681,2.1681,2.1681,2.1681,2.1681,2.1681,2.1681,2.1681
USA,Passenger,LDV_4W,Large Car,BEV,Electricity,intensity,MJ/vkm,1.0457,1.042033333,1.038366667,1.0833,1.079566667,1.075833333,1.0721,1.068433333,1.064766667,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611
USA,Passenger,LDV_4W,Large Car,FCEV,Hydrogen,intensity,MJ/vkm,1.8594,1.7467,1.634,1.5878,1.560433333,1.533066667,1.5057,1.481033333,1.456366667,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317
USA,Passenger,LDV_4W,Large Car,Hybrid Liquids,Liquids,intensity,MJ/vkm,2.9022,2.825133333,2.500740667,2.34276,1.931484,1.8349098,1.816560702,1.8105055,1.804450297,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095
USA,Passenger,LDV_4W,Large Car,Liquids,Liquids,intensity,MJ/vkm,3.8682,3.724933333,3.259316667,2.759066881,2.399733252,2.387314772,2.390673151,2.396946315,2.403219478,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642
USA,Passenger,LDV_4W,Large Car,NG,Natural Gas,intensity,MJ/vkm,3.9006,3.762933333,3.625266667,3.6416,3.525366667,3.409133333,3.2929,3.197,3.1011,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052
USA,Passenger,LDV_4W,Light Truck and SUV,BEV,Electricity,intensity,MJ/vkm,1.0948,1.090966667,1.087133334,1.0833,1.079566667,1.075833333,1.0721,1.068433333,1.064766667,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611,1.0611
USA,Passenger,LDV_4W,Light Truck and SUV,FCEV,Hydrogen,intensity,MJ/vkm,1.9407,1.823066667,1.705433334,1.5878,1.560433333,1.533066667,1.5057,1.481033333,1.456366667,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317,1.4317
USA,Passenger,LDV_4W,Light Truck and SUV,Hybrid Liquids,Liquids,intensity,MJ/vkm,3.0303,2.949866667,2.611184333,2.34276,1.931484,1.8349098,1.816560702,1.8105055,1.804450297,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095,1.798395095
USA,Passenger,LDV_4W,Light Truck and SUV,Liquids,Liquids,intensity,MJ/vkm,4.039,3.8894,3.403218,2.759066881,2.399733252,2.387314772,2.390673151,2.396946315,2.403219478,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642,2.409492642
USA,Passenger,LDV_4W,Light Truck and SUV,NG,Natural Gas,intensity,MJ/vkm,4.0728,3.929066667,3.785333334,3.6416,3.525366667,3.409133333,3.2929,3.197,3.1011,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052
USA,Passenger,LDV_4W,Midsize Car,BEV,Electricity,intensity,MJ/vkm,1.003,0.9995,0.996,0.9925,0.989066667,0.985633333,0.9822,0.978866667,0.975533333,0.9722,0.9722,0.9722,0.9722,0.9722,0.9722,0.9722,0.9722,0.9722,0.9722,0.9722
USA,Passenger,LDV_4W,Midsize Car,FCEV,Hydrogen,intensity,MJ/vkm,1.8103,1.700566667,1.590833334,1.4811,1.455566667,1.430033333,1.4045,1.3815,1.3585,1.3355,1.3355,1.3355,1.3355,1.3355,1.3355,1.3355,1.3355,1.3355,1.3355,1.3355
USA,Passenger,LDV_4W,Midsize Car,Hybrid Liquids,Liquids,intensity,MJ/vkm,2.7969,2.722633333,2.410013667,2.162244,1.782668,1.6935346,1.676599254,1.67101059,1.665421925,1.659833261,1.659833261,1.659833261,1.659833261,1.659833261,1.659833261,1.659833261,1.659833261,1.659833261,1.659833261,1.659833261
USA,Passenger,LDV_4W,Midsize Car,Liquids,Liquids,intensity,MJ/vkm,3.7279,3.589833333,3.141107667,2.005261781,1.792006084,1.811478605,1.828705407,1.842561277,1.856417148,1.870273018,1.870273018,1.870273018,1.870273018,1.870273018,1.870273018,1.870273018,1.870273018,1.870273018,1.870273018,1.870273018
USA,Passenger,LDV_4W,Midsize Car,NG,Natural Gas,intensity,MJ/vkm,3.7591,3.626433333,3.493766667,3.3611,3.253833333,3.146566667,3.0393,2.950766667,2.862233333,2.7737,2.7737,2.7737,2.7737,2.7737,2.7737,2.7737,2.7737,2.7737,2.7737,2.7737
Africa,Passenger,LDV_4W,Compact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Passenger,LDV_4W,Mini Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Passenger,LDV_4W,Multipurpose Vehicle,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Passenger,LDV_4W,Subcompact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia_NZ,Passenger,LDV_4W,Compact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia_NZ,Passenger,LDV_4W,Large Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia_NZ,Passenger,LDV_4W,Light Truck and SUV,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia_NZ,Passenger,LDV_4W,Midsize Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Passenger,LDV_4W,Compact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Passenger,LDV_4W,Large Car and SUV,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Passenger,LDV_4W,Mini Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Passenger,LDV_4W,Subcompact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Passenger,LDV_4W,Light Truck and SUV,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Passenger,LDV_4W,Midsize Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Passenger,LDV_4W,Van,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Passenger,LDV_4W,Compact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Passenger,LDV_4W,Large Car and SUV,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Passenger,LDV_4W,Mini Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Passenger,LDV_4W,Subcompact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Europe,Passenger,LDV_4W,Compact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Europe,Passenger,LDV_4W,Large Car and SUV,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Europe,Passenger,LDV_4W,Subcompact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Europe,Passenger,LDV_4W,Van,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Soviet Union,Passenger,LDV_4W,Compact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Soviet Union,Passenger,LDV_4W,Large Car and SUV,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Soviet Union,Passenger,LDV_4W,Midsize Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Soviet Union,Passenger,LDV_4W,Subcompact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Passenger,LDV_4W,Compact Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Passenger,LDV_4W,Mini Car,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Passenger,LDV_4W,Multipurpose Vehicle,FCEV,Hydrogen,Capital costs (infrastructure),2005$/veh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
