# File: Rt_Nfert_bilateral_trade.csv
# Title: Nitrogenous fertilizer bilateral trade data (~2021)
# Source: Chatham House (2025) - https://resourcetrade.earth/
# Units: Value (1000 USD) Weight (1000 kg)
# Column types: icccicccciinnnnnnnnnnn
# ----------
Exporter M.49,Exporter ISO3,Exporter,Exporter region,Importer M.49,Importer ISO3,Importer,Importer region,Resource,HS 1996,Year,Value (1000USD),Weight (1000kg),Quarantine code (value),Quarantine code (weight),"Export value, where quarantined","Import value, where quarantined","Export weight, where quarantined","Import weight, where quarantined",Embodied CO2 (1000kg),Embodied land (ha),Embodied blue water (m_)
4,AFG,Afghanistan,Central and Southern Asia,276,DEU,Germany,Europe,"Ammonium sulphate-nitrate mix, double salts, pack> 10 kg",310229,2017,,,,,,1.088744,,25.7,,,
4,AFG,Afghanistan,Central and Southern Asia,203,CZE,Czech Republic,Europe,"Urea, including aqueous solution in packs > 10 kg",310210,2019,9.543,24,,,,,,,33.91828,,
4,AFG,Afghanistan,Central and Southern Asia,508,MOZ,Mozambique,Sub-Saharan Africa,"Ammonium nitrate, including solution, in pack > 10 kg",310230,2019,,,,,,10.330397,,34,,,
4,AFG,Afghanistan,Central and Southern Asia,762,TJK,Tajikistan,Central and Southern Asia,"Urea, including aqueous solution in packs > 10 kg",310210,2021,109.25,254.24106,,,,,,,359.30917,,
8,ALB,Albania,Europe,124,CAN,Canada,Northern America,"Urea, including aqueous solution in packs > 10 kg",310210,2017,1.600424,3.702,,,,,,,5.231895,,
8,ALB,Albania,Europe,36,AUS,Australia,Australia and New Zealand,"Urea, including aqueous solution in packs > 10 kg",310210,2018,8021.2305,23458.76,,,,,,,33153.367,,
8,ALB,Albania,Europe,36,AUS,Australia,Australia and New Zealand,"Urea, including aqueous solution in packs > 10 kg",310210,2019,3172.6785,10249.7,,,,,,,14485.51,,
8,ALB,Albania,Europe,372,IRL,Ireland,Europe,"Urea, including aqueous solution in packs > 10 kg",310210,2019,4.312218,12,,,,,,,16.95914,,
8,ALB,Albania,Europe,466,MLI,Mali,Sub-Saharan Africa,"Urea, including aqueous solution in packs > 10 kg",310210,2019,17.94884,50,,,,,,,70.663086,,
8,ALB,Albania,Europe,842,USA,United States,Northern America,"Urea, including aqueous solution in packs > 10 kg",310210,2019,8.627,24,,,,,,,33.91828,,
8,ALB,Albania,Europe,686,SEN,Senegal,Sub-Saharan Africa,"Calcium-ammonium nitrate mix, double salts pack > 10 kg",310260,2020,,,,,,7.675677,,48,,,
8,ALB,Albania,Europe,688,SRB,Serbia,Europe,"Urea, including aqueous solution in packs > 10 kg",310210,2020,243.61847,800.72,,,,,,,1131.627,,
8,ALB,Albania,Europe,381,ITA,Italy,Europe,"Urea, including aqueous solution in packs > 10 kg",310210,2021,21.052778,24,,,,,,,33.91828,,
8,ALB,Albania,Europe,688,SRB,Serbia,Europe,"Ammonium nitrate, including solution, in pack > 10 kg",310230,2021,615.91235,1131.9,,,,,,,1599.671,,
8,ALB,Albania,Europe,784,ARE,United Arab Emirates,Northern Africa and Western Asia,"Urea, including aqueous solution in packs > 10 kg",310210,2021,0.019986,0.06,,,,,,,0.084795706,,
8,ALB,Albania,Europe,842,USA,United States,Northern America,"Urea, including aqueous solution in packs > 10 kg",310210,2021,435.095,952,,,,,,,1345.4252,,
12,DZA,Algeria,Northern Africa and Western Asia,56,BEL,Belgium,Europe,"Urea, including aqueous solution in packs > 10 kg",310210,2017,11900.113,44609.07,,,,,,,63044.293,,
12,DZA,Algeria,Northern Africa and Western Asia,76,BRA,Brazil,Latin America and the Caribbean,"Urea, including aqueous solution in packs > 10 kg",310210,2017,90275.59,371487.56,,,,,,,525009.2,,
12,DZA,Algeria,Northern Africa and Western Asia,124,CAN,Canada,Northern America,"Ammonium nitrate, including solution, in pack > 10 kg",310230,2017,1.700595,3.39,,,,,,,4.7909575,,
