# File: H2ALite_TEA_mapping.csv
# Title: Mapping H2ALite technoeconomic analysis data of hydrogen production technologies
# Units: Indicated in column names
# Source: Misho Penev email 12/23/2024
# Column types: ccccc
# ----------
sector.name,subsector.name,technology,TechnologyH2A,WaterTechnology
H2 central production,hybrid,electrolysis,Hybrid PEM,Solar PV electrolysis and Wind electrolysis
H2 central production,electricity,electrolysis,Grid ALK,Wind electrolysis
H2 central production,nuclear,electrolysis,Grid ALK,Nuclear electrolysis
H2 central production,gas,natural gas steam reforming,NG-SMR,Conventional SMR
H2 central production,gas,gas ATR CCS,NG-ATR+CCS,SMR with CCS
H2 central production,biomass,biomass to H2,Biomass gasification,Conventional SMR
H2 central production,biomass,biomass to H2 CCS,Biomass gasification + CCS,SMR with CCS
H2 industrial,onsite production,electrolysis,Grid ALK,Wind electrolysis
H2 LDV,onsite production,electrolysis,Grid PEM,Wind electrolysis
H2 LDV,onsite production,natural gas steam reforming,NG-SMR,Conventional SMR
H2 MHDV,onsite production,electrolysis,Grid PEM,Wind electrolysis
H2 MHDV,onsite production,natural gas steam reforming,NG-SMR,Conventional SMR
LH2,onsite production,electrolysis,Grid ALK,Wind electrolysis
LH2,onsite production,natural gas steam reforming,NG-SMR,Conventional SMR
