# File: steel_intensity.csv
# Title: IO in steel production by subsector and technology and ratio of IO coefficients relative to conventional tech
# Units: GJ/t
# Description: Energy coefficient in steel production
# Source: Literature
# Column types: cccncnc
# ----------
subsector,technology,fuel,value,Unit,ratio,steel_thermal_fuel
BLASTFUR,Biomass-based,biomass,23.6,GJ/t,,gas
BLASTFUR,Biomass-based,refined liquids,0.1,GJ/t,1,gas
BLASTFUR,Biomass-based,electricity,1.6,GJ/t,1,gas
BLASTFUR,Biomass-based,gas,0.1,GJ/t,1,gas
BLASTFUR,BLASTFUR,coal,17.1,GJ/t,1,gas
BLASTFUR,BLASTFUR,refined liquids,0.1,GJ/t,1,gas
BLASTFUR,BLASTFUR,electricity,1.6,GJ/t,1,gas
BLASTFUR,BLASTFUR,gas,6.6,GJ/t,1,gas
BLASTFUR,BLASTFUR CCS,coal,13.7,GJ/t,0.798074348,gas
BLASTFUR,BLASTFUR CCS,refined liquids,0.1,GJ/t,1,gas
BLASTFUR,BLASTFUR CCS,electricity,2.3,GJ/t,1.935511997,gas
BLASTFUR,BLASTFUR CCS,gas,6.6,GJ/t,1,gas
BLASTFUR,BLASTFUR with hydrogen,coal,14,GJ/t,0.814041123,gas
BLASTFUR,BLASTFUR with hydrogen,electricity,1.6,GJ/t,1,gas
BLASTFUR,BLASTFUR with hydrogen,Hydrogen,3.2,GJ/t,,gas
BLASTFUR,BLASTFUR with hydrogen,refined liquids,0.1,GJ/t,1,gas
BLASTFUR,BLASTFUR with hydrogen,gas,6.6,GJ/t,1,gas
BLASTFUR,BLASTFUR CCS with hydrogen,coal,14,GJ/t,0.612115471,gas
BLASTFUR,BLASTFUR CCS with hydrogen,electricity,1.6,GJ/t,1.935511997,gas
BLASTFUR,BLASTFUR CCS with hydrogen,Hydrogen,3.2,GJ/t,,gas
BLASTFUR,BLASTFUR CCS with hydrogen,refined liquids,0.1,GJ/t,1,gas
BLASTFUR,BLASTFUR CCS with hydrogen,gas,6.6,GJ/t,1,gas
EAF with DRI,EAF with DRI,coal,0.1,GJ/t,1,gas
EAF with DRI,EAF with DRI,refined liquids,0.1,GJ/t,1,gas
EAF with DRI,EAF with DRI,electricity,3.4,GJ/t,1,gas
EAF with DRI,EAF with DRI,gas,18.3,GJ/t,1,gas
EAF with DRI,EAF with DRI CCS,coal,0.1,GJ/t,1,gas
EAF with DRI,EAF with DRI CCS,refined liquids,0.1,GJ/t,1,gas
EAF with DRI,EAF with DRI CCS,electricity,3.4,GJ/t,1,gas
