# File: A44.bld_flsp.csv
# Title: Assumed GCAM-USA floorspace
# Units: billion square meters
# Source: USA region values downscaled by prior GCAM-USA floorspace projections
# Column types: ccccnnnnnnn
# ----------
region,gcam.consumer,nodeInput,building.node.input,2021,2025,2030,2035,2040,2045,2050
AK,comm,comm,comm_building,0.016322676,0.017294682,0.018193302,0.018728992,0.019191017,0.019614435,0.019998882
AK,resid,resid,resid_building,0.040679553,0.043067552,0.045259693,0.046686322,0.047967652,0.049192705,0.050358457
AL,comm,comm,comm_building,0.111398468,0.116962356,0.123034948,0.127273702,0.131373308,0.134957606,0.138285209
AL,resid,resid,resid_building,0.309019557,0.324719943,0.340521245,0.352179529,0.363706792,0.374139215,0.384274329
AR,comm,comm,comm_building,0.077477679,0.080079642,0.082680343,0.084589369,0.086146345,0.087328383,0.088376667
AR,resid,resid,resid_building,0.172357212,0.180335063,0.188373601,0.194992947,0.201076569,0.206637414,0.212087703
AZ,comm,comm,comm_building,0.132357184,0.142917437,0.153396437,0.162570995,0.17111479,0.179335715,0.187401218
AZ,resid,resid,resid_building,0.453603536,0.484009626,0.510725352,0.534513914,0.556271917,0.576661268,0.596705445
CA,comm,comm,comm_building,0.869413133,0.884913175,0.919106449,0.960807447,0.999188113,1.036198985,1.07130011
CA,resid,resid,resid_building,1.862878046,1.907634064,1.985945558,2.082572005,2.173348425,2.262710542,2.34935673
CO,comm,comm,comm_building,0.105769019,0.11525767,0.12448649,0.131519798,0.137969665,0.144163409,0.15015916
CO,resid,resid,resid_building,0.362483512,0.386268246,0.407836636,0.425275639,0.440949974,0.45562466,0.469877774
CT,comm,comm,comm_building,0.089297604,0.092435322,0.096201807,0.099942748,0.103423977,0.106407357,0.109012853
CT,resid,resid,resid_building,0.258148633,0.267629029,0.278515365,0.290095198,0.301549791,0.312185624,0.322211189
DC,comm,comm,comm_building,0.016498981,0.016943477,0.017622824,0.018339344,0.01898525,0.019605954,0.0201686
DC,resid,resid,resid_building,0.045088717,0.046524764,0.048247545,0.050009981,0.05159829,0.05312018,0.054511823
DE,comm,comm,comm_building,0.024781088,0.025901449,0.026846887,0.027748667,0.028567288,0.029274675,0.029956482
DE,resid,resid,resid_building,0.067722391,0.07113726,0.073762091,0.076310628,0.078674104,0.080760611,0.082807109
FL,comm,comm,comm_building,0.538361134,0.589366578,0.62086295,0.64078989,0.658161967,0.673630275,0.688020808
FL,resid,resid,resid_building,1.217400316,1.350897031,1.43451134,1.491432722,1.543609857,1.592542718,1.639235995
GA,comm,comm,comm_building,0.266098759,0.278852643,0.288633496,0.297079249,0.304360836,0.310686401,0.3164941
GA,resid,resid,resid_building,0.727201175,0.765823811,0.793650893,0.818787315,0.841235743,0.86144384,0.880506739
HI,comm,comm,comm_building,0.03213229,0.032870323,0.033932144,0.035202851,0.036368863,0.037477029,0.038513407
HI,resid,resid,resid_building,0.080080484,0.082144733,0.08479913,0.08810729,0.09121464,0.094238673,0.097150929
IA,comm,comm,comm_building,0.079782674,0.079686966,0.08126955,0.083686127,0.085794139,0.087626302,0.089255326
IA,resid,resid,resid_building,0.251629156,0.252627872,0.257312707,0.264755819,0.27149046,0.277612674,0.283397279
ID,comm,comm,comm_building,0.034662058,0.037927855,0.040728945,0.042868334,0.044843779,0.046709287,0.048518916
ID,resid,resid,resid_building,0.118791154,0.128669096,0.136029418,0.141482147,0.146429889,0.150959117,0.155368581
IL,comm,comm,comm_building,0.29171452,0.293625586,0.302230607,0.314090454,0.325067973,0.335387302,0.345057333
IL,resid,resid,resid_building,0.947192319,0.950399466,0.972485657,1.007034447,1.039097131,1.069321371,1.098360839
IN,comm,comm,comm_building,0.156629955,0.161116699,0.166681598,0.172630212,0.178099775,0.183143582,0.18782959
IN,resid,resid,resid_building,0.508573774,0.522814304,0.538273474,0.555643447,0.57168484,0.586525247,0.60070244
KS,comm,comm,comm_building,0.073296235,0.075892296,0.078379238,0.080622865,0.082544116,0.084183644,0.0856225
KS,resid,resid,resid_building,0.231171,0.239471498,0.247316832,0.255011542,0.262011137,0.268461203,0.27452823
KY,comm,comm,comm_building,0.099425866,0.102817454,0.107350697,0.111029725,0.114569352,0.11763462,0.120520923
KY,resid,resid,resid_building,0.27580854,0.285476652,0.297119291,0.307156149,0.317008305,0.325827853,0.334506102
LA,comm,comm,comm_building,0.118374946,0.120619953,0.124333439,0.127441324,0.129994334,0.13205769,0.133892816
LA,resid,resid,resid_building,0.263338739,0.274214242,0.288160353,0.299156379,0.309305168,0.318867132,0.328196121
MA,comm,comm,comm_building,0.173256773,0.176015251,0.182574466,0.190441212,0.197876645,0.204439434,0.210222643
MA,resid,resid,resid_building,0.500864434,0.510196912,0.528314948,0.551299111,0.573988182,0.595283578,0.615339721
MD,comm,comm,comm_building,0.15228089,0.155135347,0.159669552,0.165200261,0.170101915,0.174519422,0.178617338
MD,resid,resid,resid_building,0.41615774,0.425821678,0.438706887,0.454909041,0.46968144,0.483352683,0.496322395
ME,comm,comm,comm_building,0.034165657,0.035614966,0.03687383,0.037801178,0.038604039,0.039193565,0.039642116
ME,resid,resid,resid_building,0.098768505,0.103384127,0.107250732,0.11040902,0.113460273,0.116117226,0.118514144
MI,comm,comm,comm_building,0.230746828,0.236691087,0.244840619,0.253436311,0.261322584,0.268567571,0.275309756
MI,resid,resid,resid_building,0.749233347,0.766344726,0.788461294,0.814167225,0.838003465,0.860137421,0.881385472
MN,comm,comm,comm_building,0.142652765,0.14549241,0.149743699,0.154392015,0.158475917,0.162071723,0.16525903
MN,resid,resid,resid_building,0.44991668,0.459995329,0.472757734,0.487512845,0.501023994,0.513539464,0.525308639
MO,comm,comm,comm_building,0.153939937,0.158605528,0.163711251,0.168728937,0.173086093,0.176890236,0.18023392
MO,resid,resid,resid_building,0.48551551,0.501214887,0.517225128,0.534077545,0.549506265,0.563886562,0.57737057
MS,comm,comm,comm_building,0.065060074,0.066762061,0.06957426,0.071715833,0.073747878,0.075483713,0.077061047
MS,resid,resid,resid_building,0.180476989,0.185447862,0.192833904,0.198888336,0.204814158,0.210118708,0.215221575
MT,comm,comm,comm_building,0.020135555,0.022006991,0.023573266,0.02461644,0.025564898,0.026410524,0.027236821
MT,resid,resid,resid_building,0.069006776,0.07431103,0.07814976,0.080675186,0.082930965,0.08484226,0.086744236
NC,comm,comm,comm_building,0.260592501,0.27670135,0.287963779,0.295490195,0.301851648,0.307207609,0.312061858
NC,resid,resid,resid_building,0.712153507,0.759976311,0.792266017,0.815331197,0.835717219,0.853741663,0.870636835
ND,comm,comm,comm_building,0.01940923,0.020731766,0.021715313,0.022149911,0.022493701,0.02275051,0.022959174
ND,resid,resid,resid_building,0.061215248,0.065200532,0.068331687,0.069941967,0.071353939,0.072581624,0.073710894
NE,comm,comm,comm_building,0.04900438,0.051410521,0.053412531,0.05492857,0.056224303,0.05734099,0.058295749
NE,resid,resid,resid_building,0.154556787,0.162012695,0.168191172,0.173293522,0.177914918,0.182192714,0.186131573
NH,comm,comm,comm_building,0.034381444,0.035361456,0.036551255,0.037656928,0.038645343,0.039448529,0.040107347
NH,resid,resid,resid_building,0.099392248,0.102572141,0.106028031,0.109509191,0.112875177,0.115928593,0.118733597
NJ,comm,comm,comm_building,0.212501355,0.219628282,0.228922406,0.239297662,0.248630204,0.257510837,0.265793206
NJ,resid,resid,resid_building,0.683010466,0.703088142,0.728073232,0.757867923,0.785059833,0.811299382,0.836646314
NM,comm,comm,comm_building,0.038527849,0.042799168,0.046514736,0.048724939,0.050723896,0.052545252,0.05427929
NM,resid,resid,resid_building,0.132039369,0.14198606,0.15058585,0.15630417,0.161466678,0.166103868,0.170611885
NV,comm,comm,comm_building,0.057267805,0.061363292,0.065524274,0.069441925,0.073080357,0.076597221,0.080059014
NV,resid,resid,resid_building,0.196263645,0.207391545,0.217653555,0.227728339,0.236908029,0.245556379,0.254094251
NY,comm,comm,comm_building,0.455176556,0.457096944,0.470916483,0.491410242,0.509816674,0.52712094,0.543216744
NY,resid,resid,resid_building,1.124799282,1.131329718,1.163836398,1.214904624,1.261956196,1.307427705,1.351292628
OH,comm,comm,comm_building,0.270448834,0.276550819,0.287232646,0.297902032,0.307754294,0.316890893,0.325434657
OH,resid,resid,resid_building,0.878142882,0.896724111,0.92560333,0.957010727,0.986191493,1.013385339,1.039530738
OK,comm,comm,comm_building,0.102119722,0.10925638,0.114703939,0.117366782,0.119493857,0.12114844,0.122602102
OK,resid,resid,resid_building,0.2271748,0.248911207,0.26717786,0.27705058,0.286077029,0.294504609,0.30271379
OR,comm,comm,comm_building,0.094536172,0.09704196,0.100571638,0.104490564,0.108055602,0.111397866,0.114527344
OR,resid,resid,resid_building,0.235604932,0.242519706,0.251314199,0.261490311,0.270960453,0.280054623,0.288820263
PA,comm,comm,comm_building,0.298344648,0.30620138,0.317762783,0.330355504,0.341500197,0.351766386,0.361220433
PA,resid,resid,resid_building,0.958924142,0.979583772,1.010025723,1.046868813,1.080205857,1.111632917,1.141875097
RI,comm,comm,comm_building,0.027185342,0.027692067,0.028731161,0.029916829,0.031033764,0.032025538,0.032900382
RI,resid,resid,resid_building,0.078589466,0.080374223,0.0834748,0.087197785,0.090918767,0.094473063,0.097838673
SC,comm,comm,comm_building,0.128083852,0.137614969,0.14393071,0.147826035,0.151141729,0.15395915,0.156524055
SC,resid,resid,resid_building,0.350031908,0.378224671,0.396447038,0.40853495,0.419295705,0.4289061,0.43794222
SD,comm,comm,comm_building,0.02236098,0.023478104,0.024412021,0.024993446,0.025452816,0.025840681,0.026138813
SD,resid,resid,resid_building,0.070524988,0.074253217,0.077071444,0.078969575,0.080571583,0.082037895,0.083301477
TN,comm,comm,comm_building,0.153601665,0.162059759,0.170509807,0.177127262,0.183586571,0.18939785,0.194906324
TN,resid,resid,resid_building,0.426091121,0.450341835,0.4720019,0.489396681,0.506530169,0.522238031,0.537627425
TX,comm,comm,comm_building,0.756275847,0.835379602,0.887383105,0.913554417,0.935528147,0.953994769,0.970836574
TX,resid,resid,resid_building,1.672459588,1.890169851,2.046235333,2.132478651,2.212291534,2.288017161,2.362230119
UT,comm,comm,comm_building,0.060774018,0.06624926,0.071470915,0.075551208,0.079338964,0.082989479,0.086528692
UT,resid,resid,resid_building,0.208279539,0.223785825,0.236809859,0.247049507,0.256370085,0.265106909,0.273574204
VA,comm,comm,comm_building,0.213496984,0.221596147,0.229003318,0.235577419,0.241211531,0.246066955,0.250523075
VA,resid,resid,resid_building,0.583448179,0.608096875,0.629421705,0.649342739,0.667115404,0.683085405,0.698172908
VT,comm,comm,comm_building,0.01603459,0.016285528,0.016640864,0.016980555,0.017277538,0.017482545,0.017623186
VT,resid,resid,resid_building,0.046354096,0.047278837,0.048377777,0.049540909,0.050686641,0.051663322,0.05251957
WA,comm,comm,comm_building,0.171937008,0.184338303,0.194675193,0.202124922,0.208807054,0.215082289,0.220938271
WA,resid,resid,resid_building,0.428505218,0.458376376,0.482819462,0.501651771,0.51895587,0.535604781,0.551643075
WI,comm,comm,comm_building,0.135163326,0.138070548,0.142521087,0.147099994,0.151267517,0.15507358,0.158595272
WI,resid,resid,resid_building,0.438875321,0.448411738,0.460426539,0.473617744,0.48567091,0.496705427,0.507245493
WV,comm,comm,comm_building,0.044025523,0.045412122,0.046546614,0.047268738,0.047803738,0.048156941,0.048468109
WV,resid,resid,resid_building,0.120313612,0.125141124,0.129107986,0.131842366,0.134145713,0.136017006,0.137784744
WY,comm,comm,comm_building,0.010547619,0.01168507,0.012670328,0.013259641,0.013785702,0.014265907,0.014722758
WY,resid,resid,resid_building,0.036147865,0.038833685,0.041003534,0.042424229,0.043671372,0.044775533,0.04584166
