# File: Scout_bld_calibration.csv
# Title: Buildings sector calibration from Scout model
# Units: unitless shares
# Comments: Scout output data processed to compute shares of service/technology within state/sector/fuel
# Source:  LBNL team (Aven Satre-Meloy) provided for DECARB project
# Column types: cccccinn
# ----------
state,sector,fuel,service,technology,year,share,energy
Alabama,comm,electricity,cooking,electric range,2015,0.0163922,0.0014723
Alabama,comm,electricity,cooling,air conditioning,2015,0.1385748,0.0124462
Alabama,comm,electricity,heating,electric furnace,2015,0.0096627,8.679e-4
Alabama,comm,electricity,heating,electric heat pump,2015,0.0045031,4.045e-4
Alabama,comm,electricity,hot water,electric heat pump water heater,2015,5.14e-5,4.6e-6
Alabama,comm,electricity,hot water,electric resistance water heater,2015,0.0056203,5.048e-4
Alabama,comm,electricity,lighting,lighting,2015,0.1086722,0.0097605
Alabama,comm,electricity,office,office equipment,2015,0.1021778,0.0091772
Alabama,comm,electricity,other,electricity,2015,0.4119504,0.0369996
Alabama,comm,electricity,refrigeration,refrigeration,2015,0.1193925,0.0107233
Alabama,comm,electricity,ventilation,ventilation,2015,0.0830026,0.0074549
Alabama,comm,gas,cooking,gas range,2015,0.1482354,0.003882
Alabama,comm,gas,cooling,gas cooling,2015,0.019256,5.043e-4
Alabama,comm,gas,heating,gas furnace,2015,0.5216209,0.0136603
Alabama,comm,gas,hot water,gas water heater,2015,0.239568,0.0062739
Alabama,comm,gas,other,gas,2015,0.0713197,0.0018677
Alabama,comm,refined liquids,heating,fuel furnace,2015,0.2504007,4.307e-4
Alabama,comm,refined liquids,hot water,fuel water heater,2015,0.0017173,3e-6
Alabama,comm,refined liquids,other,refined liquids,2015,0.747882,0.0012863
Alabama,resid,biomass,heating,wood furnace,2015,1,0.0050245
Alabama,resid,electricity,clothes dryers,clothes dryer,2015,0.0399628,0.0037342
Alabama,resid,electricity,clothes washers,clothes washer,2015,0.0059175,5.53e-4
Alabama,resid,electricity,computers,electricity,2015,0.0182655,0.0017068
Alabama,resid,electricity,cooking,electric oven,2015,0.0106978,9.996e-4
Alabama,resid,electricity,cooling,air conditioning,2015,0.1872573,0.0174978
Alabama,resid,electricity,dishwashers,dishwasher,2015,0.0039137,3.657e-4
Alabama,resid,electricity,freezers,freezer,2015,0.0114433,0.0010693
Alabama,resid,electricity,furnace fans,electricity,2015,0.0148638,0.0013889
Alabama,resid,electricity,heating,electric furnace,2015,0.0950485,0.0088816
Alabama,resid,electricity,heating,electric heat pump,2015,0.05171,0.0048319
Alabama,resid,electricity,hot water,electric resistance water heater,2015,0.1454495,0.0135912
Alabama,resid,electricity,lighting,lighting,2015,0.0714611,0.0066775
Alabama,resid,electricity,other,electricity,2015,0.2961715,0.0276751
Alabama,resid,electricity,refrigerators,refrigerator,2015,0.0478376,0.0044701
Alabama,resid,gas,clothes dryers,clothes dryer,2015,0.0040937,1.965e-4
Alabama,resid,gas,cooking,gas oven,2015,0.0229712,0.0011025
Alabama,resid,gas,cooling,air conditioning,2015,0.0583987,0.0028029
Alabama,resid,gas,heating,gas furnace,2015,0.6374783,0.0305964
Alabama,resid,gas,hot water,gas water heater,2015,0.19871,0.0095373
Alabama,resid,gas,other,gas,2015,0.0783482,0.0037604
Alabama,resid,refined liquids,cooking,lpg oven,2015,0.0391938,1.945e-4
Alabama,resid,refined liquids,heating,fuel furnace,2015,0.6863775,0.0034061
Alabama,resid,refined liquids,hot water,fuel water heater,2015,0.1468427,7.287e-4
Alabama,resid,refined liquids,other,refined liquids,2015,0.127586,6.331e-4
Arizona,comm,electricity,cooking,electric range,2015,0.0165021,0.0017737
Arizona,comm,electricity,cooling,air conditioning,2015,0.0978957,0.0105221
Arizona,comm,electricity,heating,electric furnace,2015,0.0061585,6.619e-4
Arizona,comm,electricity,heating,electric heat pump,2015,0.0024657,2.65e-4
Arizona,comm,electricity,hot water,electric heat pump water heater,2015,1.08e-5,1.2e-6
Arizona,comm,electricity,hot water,electric resistance water heater,2015,0.0023952,2.574e-4
Arizona,comm,electricity,lighting,lighting,2015,0.0818918,0.008802
Arizona,comm,electricity,office,office equipment,2015,0.1000137,0.0107498
Arizona,comm,electricity,other,electricity,2015,0.5257371,0.0565079
Arizona,comm,electricity,refrigeration,refrigeration,2015,0.0851693,0.0091543
Arizona,comm,electricity,ventilation,ventilation,2015,0.08176,0.0087878
Arizona,comm,gas,cooking,gas range,2015,0.0704891,0.0029907000000000002
Arizona,comm,gas,cooling,gas cooling,2015,0.0044842,1.903e-4
Arizona,comm,gas,heating,gas furnace,2015,0.4845447,0.0205583
Arizona,comm,gas,hot water,gas water heater,2015,0.2045157,0.0086772
Arizona,comm,gas,other,gas,2015,0.2359663,0.0100116
Arizona,comm,refined liquids,heating,fuel furnace,2015,0,0
Arizona,comm,refined liquids,hot water,fuel water heater,2015,2.529e-4,0
Arizona,comm,refined liquids,other,refined liquids,2015,0.9997471,5.3e-6
