# File: bld_tech_scenarios.csv
# Title: Parameter adjustments to define the buildings scenarios
# Units: various
# Comments: This is intended as a single control table for scenario differentiation
# Source: harmonization exercise with Scout
# Column types: cccccccni
# ----------
scenario,gcam.consumer,supplysector,subsector,technology,variable,value,adj_factor,rule_number
Stated Policies,,resid cooking,electricity,,logit.exponent,-2,,
Stated Policies,,resid freezers,electricity,,efficiency,,1.07,
Stated Policies,,resid heating,,,logit.exponent,-1.5,,
Stated Policies,,resid hot water,gas,,input.cost,,0.85,
Stated Policies,,comm other,electricity,,input.cost,,0.8,
Stated Policies,,comm non-building,,,input.cost,,0.6,
Stated Policies,,comm heating,refined liquids,,from.year,2025,,1
Stated Policies,,comm heating,refined liquids,,to.value,0,,1
Stated Policies,,comm heating,refined liquids,,to.year,2080,,1
Stated Policies,,comm heating,refined liquids,,interpolation.function,linear,,1
Stated Policies,,comm other,refined liquids,,from.year,2025,,1
Stated Policies,,comm other,refined liquids,,to.value,0,,1
Stated Policies,,comm other,refined liquids,,to.year,2080,,1
Stated Policies,,comm other,refined liquids,,interpolation.function,linear,,1
MidTech,,comm cooking,electricity,,input.cost,,0.9,
MidTech,,comm cooking,gas,,from.year,2025,,1
MidTech,,comm cooking,gas,,to.value,0,,1
MidTech,,comm cooking,gas,,to.year,2080,,1
MidTech,,comm cooking,gas,,interpolation.function,linear,,1
MidTech,,comm heating,gas,,from.year,2025,,1
MidTech,,comm heating,gas,,to.value,0,,1
MidTech,,comm heating,gas,,to.year,2080,,1
MidTech,,comm heating,gas,,interpolation.function,linear,,1
MidTech,,comm heating,refined liquids,,from.year,2025,,1
MidTech,,comm heating,refined liquids,,to.value,0,,1
MidTech,,comm heating,refined liquids,,to.year,2080,,1
MidTech,,comm heating,refined liquids,,interpolation.function,linear,,1
MidTech,,comm heating,biomass,,from.year,2025,,1
MidTech,,comm heating,biomass,,to.value,0,,1
MidTech,,comm heating,biomass,,to.year,2080,,1
MidTech,,comm heating,biomass,,interpolation.function,linear,,1
MidTech,,comm lighting,electricity,,efficiency,,1.15,
MidTech,,comm office,electricity,,efficiency,,1.1,
MidTech,,comm refrigeration,electricity,,efficiency,,1.15,
MidTech,,comm other,electricity,,input.cost,,0.8,
MidTech,,comm other,refined liquids,,from.year,2025,,1
MidTech,,comm other,refined liquids,,to.value,0,,1
MidTech,,comm other,refined liquids,,to.year,2080,,1
MidTech,,comm other,refined liquids,,interpolation.function,linear,,1
MidTech,,comm non-building,,,input.cost,,0.6,
MidTech,,resid clothes washers,electricity,,efficiency,,1.15,
MidTech,,resid computers,electricity,,efficiency,,1.05,
MidTech,,resid cooking,electricity,,efficiency,,1.05,
MidTech,,resid cooking,gas,,from.year,2025,,1
MidTech,,resid cooking,gas,,to.value,0,,1
MidTech,,resid cooking,gas,,to.year,2060,,1
MidTech,,resid cooking,gas,,interpolation.function,linear,,1
MidTech,,resid dishwashers,electricity,dishwasher hi-eff,share.weight,1.4,,
MidTech,,resid freezers,electricity,,efficiency,,1.07,
MidTech,,resid heating,electricity,electric furnace,share.weight,0,,
MidTech,,resid heating,electricity,electric heat pump,efficiency,,1.05,
MidTech,,resid heating,refined liquids,,from.year,2025,,1
MidTech,,resid heating,refined liquids,,to.value,0,,1
MidTech,,resid heating,refined liquids,,to.year,2051,,1
MidTech,,resid heating,refined liquids,,interpolation.function,linear,,1
MidTech,,resid heating,biomass,,from.year,2025,,1
MidTech,,resid heating,biomass,,to.value,0,,1
MidTech,,resid heating,biomass,,to.year,2051,,1
MidTech,,resid heating,biomass,,interpolation.function,linear,,1
MidTech,,resid heating,,,logit.exponent,-5,,
MidTech,,resid hot water,gas,,from.year,2025,,1
MidTech,,resid hot water,gas,,to.value,0,,1
MidTech,,resid hot water,gas,,to.year,2051,,1
MidTech,,resid hot water,gas,,interpolation.function,linear,,1
MidTech,,resid hot water,refined liquids,,from.year,2025,,1
MidTech,,resid hot water,refined liquids,,to.value,0,,1
MidTech,,resid hot water,refined liquids,,to.year,2051,,1
MidTech,,resid hot water,refined liquids,,interpolation.function,linear,,1
MidTech,,resid refrigerators,electricity,,efficiency,,1.07,
HiTech,comm,,,,shell.conductance,,0.85,
HiTech,resid,,,,shell.conductance,,0.85,
HiTech,,comm cooking,electricity,,input.cost,,0.8,
HiTech,,comm cooking,gas,,from.year,2025,,1
HiTech,,comm cooking,gas,,to.value,0,,1
HiTech,,comm cooking,gas,,to.year,2051,,1
HiTech,,comm cooking,gas,,interpolation.function,linear,,1
HiTech,,comm heating,electricity,electric furnace,from.year,2025,,1
HiTech,,comm heating,electricity,electric furnace,to.value,0,,1
HiTech,,comm heating,electricity,electric furnace,to.year,2051,,1
HiTech,,comm heating,electricity,electric furnace,interpolation.function,linear,,1
HiTech,,comm heating,gas,,from.year,2025,,1
HiTech,,comm heating,gas,,to.value,0,,1
HiTech,,comm heating,gas,,to.year,2036,,1
HiTech,,comm heating,gas,,interpolation.function,linear,,1
HiTech,,comm heating,gas,,from.year,2035,,2
HiTech,,comm heating,gas,,to.value,0,,2
HiTech,,comm heating,gas,,to.year,2100,,2
HiTech,,comm heating,gas,,interpolation.function,fixed,,2
HiTech,,comm heating,refined liquids,,from.year,2025,,1
HiTech,,comm heating,refined liquids,,to.value,0,,1
HiTech,,comm heating,refined liquids,,to.year,2036,,1
HiTech,,comm heating,refined liquids,,interpolation.function,linear,,1
HiTech,,comm heating,refined liquids,,from.year,2035,,2
