INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechRESSecondaryOutput,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,res.secondary.output,output.ratio,pMult,new.vintage.only
AK,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
AK,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
AK,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
AK,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
AK,electricity,wind,wind,1975,ELEC_RPS,1,1,1
AK,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
AK,electricity,solar,PV,1975,ELEC_RPS,1,1,1
AK,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
AK,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
AK,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
AK,electricity,geothermal,geothermal,1975,ELEC_RPS,1,1,1
AK,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
AL,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
AL,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
AL,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
AL,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
AL,electricity,wind,wind,1975,ELEC_RPS,1,1,1
AL,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
AL,electricity,solar,PV,1975,ELEC_RPS,1,1,1
AL,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
AL,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
AL,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
AL,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
AR,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
AR,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
AR,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
AR,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
AR,electricity,wind,wind,1975,ELEC_RPS,1,1,1
AR,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
AR,electricity,solar,PV,1975,ELEC_RPS,1,1,1
AR,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
AR,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
AR,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
AR,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
AZ,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
AZ,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
AZ,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
AZ,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
AZ,electricity,wind,wind,1975,ELEC_RPS,1,1,1
