INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechCoef,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,coefficient,market.name,new.vintage.only
AK,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,AK,1
AK,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,AK,1
AK,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,AK,1
AK,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,AK,1
AK,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,AK,1
AK,electricity,gas,gas (CC),1975,ELEC_RPS,0,AK,1
AK,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,AK,1
AK,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,AK,1
AK,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,AK,1
AK,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,AK,1
AK,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,AK,1
AK,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,AK,1
AK,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,AK,1
AK,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,AK,1
AK,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,AK,1
AK,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,AK,1
AK,electricity,wind,wind,1975,ELEC_RPS,0,AK,1
AK,electricity,wind,wind_storage,1975,ELEC_RPS,0,AK,1
AK,electricity,solar,PV,1975,ELEC_RPS,0,AK,1
AK,electricity,solar,PV_storage,1975,ELEC_RPS,0,AK,1
AK,electricity,solar,CSP,1975,ELEC_RPS,0,AK,1
AK,electricity,solar,CSP_storage,1975,ELEC_RPS,0,AK,1
AK,electricity,geothermal,geothermal,1975,ELEC_RPS,0,AK,1
AK,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,AK,1
AL,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,AL,1
AL,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,AL,1
AL,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,AL,1
AL,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,AL,1
AL,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,AL,1
AL,electricity,gas,gas (CC),1975,ELEC_RPS,0,AL,1
AL,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,AL,1
AL,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,AL,1
AL,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,AL,1
AL,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,AL,1
AL,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,AL,1
AL,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,AL,1
AL,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,AL,1
AL,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,AL,1
AL,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,AL,1
AL,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,AL,1
AL,electricity,wind,wind,1975,ELEC_RPS,0,AL,1
AL,electricity,wind,wind_storage,1975,ELEC_RPS,0,AL,1
AL,electricity,solar,PV,1975,ELEC_RPS,0,AL,1
AL,electricity,solar,PV_storage,1975,ELEC_RPS,0,AL,1
AL,electricity,solar,CSP,1975,ELEC_RPS,0,AL,1
AL,electricity,solar,CSP_storage,1975,ELEC_RPS,0,AL,1
AL,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,AL,1
AR,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,AR,1
AR,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,AR,1
AR,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,AR,1
AR,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,AR,1
AR,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,AR,1
AR,electricity,gas,gas (CC),1975,ELEC_RPS,0,AR,1
AR,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,AR,1
AR,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,AR,1
AR,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,AR,1
AR,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,AR,1
AR,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,AR,1
AR,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,AR,1
AR,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,AR,1
AR,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,AR,1
