"Net generation for commercial non-cogen"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=1&linechart=ELEC.GEN.COW-CT-4.A&columnchart=ELEC.GEN.COW-CT-4.A&map=ELEC.GEN.COW-CT-4.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Fri Aug 18 2017 17:49:19 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Net generation for commercial non-cogen","thousand megawatthours",,,,,,,,
"United States",,"ELEC.GEN..A",,,,,,,
"New England",,"ELEC.GEN..A",,,,,,,
"Connecticut",,"ELEC.GEN..A",,,,,,,
"Connecticut : all fuels (utility-scale)",,"ELEC.GEN.ALL-CT-4.A",,,,,,,
"Connecticut : coal","thousand megawatthours","ELEC.GEN.COW-CT-4.A","--","--","--","--","--","--","--"
"Connecticut : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CT-4.A","--","--",0,1,0,0,"NM"
"Connecticut : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CT-4.A","--","--","--","--","--","--","--"
"Connecticut : natural gas","thousand megawatthours","ELEC.GEN.NG-CT-4.A",0,"--",4,3,0,2,"--"
"Connecticut : other gases","thousand megawatthours","ELEC.GEN.OOG-CT-4.A","--","--","--","--","--","--","--"
"Connecticut : nuclear","thousand megawatthours","ELEC.GEN.NUC-CT-4.A","--","--","--","--","--","--","--"
"Connecticut : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CT-4.A","--","--","--","--","--","--","--"
"Connecticut : other renewables",,"ELEC.GEN.AOR-CT-4.A",,,,,,,
"Connecticut : wind","thousand megawatthours","ELEC.GEN.WND-CT-4.A","--","--","--","--","--","--","--"
"Connecticut : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CT-4.A","--","--","--","--","--","--","--"
"Connecticut : geothermal","thousand megawatthours","ELEC.GEN.GEO-CT-4.A","--","--","--","--","--","--","--"
"Connecticut : biomass","thousand megawatthours","ELEC.GEN.BIO-CT-4.A","--","--","--",26,21,4,"--"
"Connecticut : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-CT-4.A","--","--","--","--","--","--","--"
"Connecticut : other","thousand megawatthours","ELEC.GEN.OTH-CT-4.A","--","--","--",23,18,3,"--"
"Connecticut : all solar",,"ELEC.GEN.TSN-CT-4.A",,,,,,,
"Connecticut : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-CT-4.A","--","--","--","--","--","--","--"
"Connecticut : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CT-4.A","--","--","--","--","--","--","--"
"Maine",,"ELEC.GEN..A",,,,,,,
"Maine : all fuels (utility-scale)",,"ELEC.GEN.ALL-ME-4.A",,,,,,,
"Maine : coal","thousand megawatthours","ELEC.GEN.COW-ME-4.A","--","--","--","--","--","--","--"
"Maine : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-ME-4.A",3,3,2,2,2,3,"NM"
"Maine : petroleum coke","thousand megawatthours","ELEC.GEN.PC-ME-4.A","--","--","--","--","--","--","--"
"Maine : natural gas","thousand megawatthours","ELEC.GEN.NG-ME-4.A",0,0,0,0,0,0,"NM"
"Maine : other gases","thousand megawatthours","ELEC.GEN.OOG-ME-4.A","--","--","--","--","--","--","--"
"Maine : nuclear","thousand megawatthours","ELEC.GEN.NUC-ME-4.A","--","--","--","--","--","--","--"
"Maine : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-ME-4.A","--","--","--","--","--","--","--"
"Maine : other renewables",,"ELEC.GEN.AOR-ME-4.A",,,,,,,
"Maine : wind","thousand megawatthours","ELEC.GEN.WND-ME-4.A","--","--","--","--","--","--","--"
"Maine : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ME-4.A","--","--","--","--","--","--","--"
"Maine : geothermal","thousand megawatthours","ELEC.GEN.GEO-ME-4.A","--","--","--","--","--","--","--"
"Maine : biomass","thousand megawatthours","ELEC.GEN.BIO-ME-4.A",99,89,92,91,93,91,"NM"
"Maine : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-ME-4.A","--","--","--","--","--","--","--"
"Maine : other","thousand megawatthours","ELEC.GEN.OTH-ME-4.A",78,84,88,86,87,86,92
"Maine : all solar",,"ELEC.GEN.TSN-ME-4.A",,,,,,,
"Maine : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-ME-4.A","--","--","--","--","--","--","--"
"Maine : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ME-4.A","--","--","--","--","--","--","--"
"Massachusetts",,"ELEC.GEN..A",,,,,,,
"Massachusetts : all fuels (utility-scale)",,"ELEC.GEN.ALL-MA-4.A",,,,,,,
"Massachusetts : coal","thousand megawatthours","ELEC.GEN.COW-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MA-4.A","--","--","--","--",0,0,"NM"
"Massachusetts : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : natural gas","thousand megawatthours","ELEC.GEN.NG-MA-4.A","--","--","--","--","--",0,"NM"
"Massachusetts : other gases","thousand megawatthours","ELEC.GEN.OOG-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : nuclear","thousand megawatthours","ELEC.GEN.NUC-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : other renewables",,"ELEC.GEN.AOR-MA-4.A",,,,,,,
"Massachusetts : wind","thousand megawatthours","ELEC.GEN.WND-MA-4.A","--",7,8,14,23,24,26
"Massachusetts : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MA-4.A","--","--","--","--",4,2,7
"Massachusetts : geothermal","thousand megawatthours","ELEC.GEN.GEO-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : biomass","thousand megawatthours","ELEC.GEN.BIO-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : other","thousand megawatthours","ELEC.GEN.OTH-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : all solar",,"ELEC.GEN.TSN-MA-4.A",,,,,,,
"Massachusetts : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MA-4.A","--","--","--","--",4,2,7
"New Hampshire",,"ELEC.GEN..A",,,,,,,
"New Hampshire : all fuels (utility-scale)",,"ELEC.GEN.ALL-NH-4.A",,,,,,,
"New Hampshire : coal","thousand megawatthours","ELEC.GEN.COW-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : natural gas","thousand megawatthours","ELEC.GEN.NG-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : other gases","thousand megawatthours","ELEC.GEN.OOG-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : nuclear","thousand megawatthours","ELEC.GEN.NUC-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : other renewables",,"ELEC.GEN.AOR-NH-4.A",,,,,,,
"New Hampshire : wind","thousand megawatthours","ELEC.GEN.WND-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : geothermal","thousand megawatthours","ELEC.GEN.GEO-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : biomass","thousand megawatthours","ELEC.GEN.BIO-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NH-4.A","--","--","--","--","--","--","--"
